sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
AXP,2026-05-14,1.128,gap_1_2,PMH,early,09:37,0.93,SL,-0.5,-0.391,-0.339,-0.131,-0.182,1,SL,-0.5
AXP,2026-05-22,1.153,gap_1_2,PMH,early,09:41,0.8,SL,-0.5,-0.647,-0.418,-0.366,-0.065,1,SL,-0.5
AXP,2026-05-27,1.001,gap_1_2,PDH,early,09:39,1.13,SL,-0.5,-0.01,0.801,-0.054,-0.399,1,SL,-0.5
AXP,2026-06-04,1.717,gap_1_2,PMH,early,09:31,1.04,TP,1.0,2.24,1.699,2.805,2.528,1,TP,1.0
AXP,2026-06-12,1.046,gap_1_2,PMH,early,09:32,0.77,SL,-0.5,-0.695,-0.118,0.529,0.521,0,,
AXP,2026-06-15,1.315,gap_1_2,PMH,early,09:31,1.19,TP,1.0,2.239,1.844,2.311,1.982,0,,
BAC,2026-02-11,1.047,gap_1_2,PMH,early,09:32,1.27,SL,-0.5,-1.4,-1.792,-2.635,-3.282,0,,
BAC,2026-03-17,1.264,gap_1_2,PDH,early,09:31,0.72,SL,-0.5,-0.021,-0.409,-0.597,-0.629,1,SL,-0.5
BAC,2026-03-30,1.278,gap_1_2,PMH,early,09:36,0.81,SL,-0.5,-1.051,-0.82,-0.284,-0.568,1,SL,-0.5
BAC,2026-04-17,1.262,gap_1_2,PMH,mid,10:24,1.05,SL,-0.5,-0.111,-0.387,0.269,0.166,1,SL,-0.5
BAC,2026-05-06,1.28,gap_1_2,PMH,early,09:38,0.69,SL,-0.5,-0.452,-0.84,-0.646,-0.701,1,SL,-0.5
BAC,2026-06-04,1.354,gap_1_2,PMH,early,09:32,1.32,TP,1.0,0.808,0.103,1.503,1.672,1,TP,1.0
BAC,2026-06-15,1.114,gap_1_2,PDH,early,09:41,0.79,SL,-0.5,-0.124,-0.293,-0.151,-0.08,1,SL,-0.5
BKNG,2026-03-05,6.432,gap_2plus,PMH,early,09:31,1.33,SL,-0.5,-0.178,-1.264,-0.657,0.109,1,SL,-0.5
BKNG,2026-04-08,4.399,gap_2plus,PMH,early,09:31,7.89,TP,1.0,0.852,-0.239,-0.482,-0.615,1,SL,-0.5
BKNG,2026-04-15,1.259,gap_1_2,PMH,early,09:33,2.1,SL,-0.5,-0.298,-0.119,0.487,0.571,1,SL,-0.5
BKNG,2026-04-17,2.342,gap_2plus,PMH,early,09:35,2.23,SL,-0.5,0.87,0.997,1.15,1.139,1,SL,-0.5
BKNG,2026-05-26,1.074,gap_1_2,PMH,early,09:32,0.83,TP,1.0,1.256,-0.921,0.018,-0.354,0,,
BKNG,2026-06-04,2.409,gap_2plus,PDH,early,09:35,0.95,TP,1.0,1.148,0.763,1.293,0.472,1,TP,1.0
BKNG,2026-06-12,1.645,gap_1_2,PDH,early,09:37,1.02,SL,-0.5,-1.597,-1.373,-1.162,-0.387,1,SL,-0.5
BLK,2026-03-13,1.1,gap_1_2,PMH,early,09:34,1.45,SL,-0.5,0.003,0.567,-0.052,-0.68,1,SL,-0.5
BLK,2026-03-17,1.572,gap_1_2,PMH,early,09:50,1.43,SL,-0.5,-0.413,-0.191,-0.15,0.521,1,SL,-0.5
BLK,2026-03-23,1.994,gap_1_2,PDH,early,09:39,0.8,TP,1.0,1.305,1.173,1.112,0.178,1,TP,1.0
BLK,2026-03-25,1.224,gap_1_2,PDH,mid,10:18,0.64,SL,-0.5,-0.371,-1.296,-0.542,0.078,0,,
BLK,2026-03-31,1.742,gap_1_2,PMH,mid,10:04,0.69,SL,-0.5,-0.44,-0.405,-0.813,0.618,0,,
