symbol,entry_time,exit_time,entry,exit,pnl,slack,tier,result
AAPL,2026-01-15 17:35:00+00:00,2026-01-15 17:37:00+00:00,258.42,258.67841999999996,0.4,1.583146854975848,core,win
AAPL,2026-01-15 18:11:00+00:00,2026-01-15 18:19:00+00:00,259.19,259.060405,-0.1,0.6691598833904919,expanded,loss
AAPL,2026-01-15 18:43:00+00:00,2026-01-15 18:56:00+00:00,259.595,259.854595,0.2,0.6744767672081591,expanded,win
AAPL,2026-01-15 19:05:00+00:00,2026-01-15 19:19:00+00:00,258.635,258.5056825,-0.1,1.1679276948025181,expanded,loss
AAPL,2026-01-15 19:45:00+00:00,2026-01-15 19:48:00+00:00,257.6501,257.9077501,0.2,0.8006432077281135,expanded,win
AAPL,2026-01-15 20:10:00+00:00,2026-01-15 20:14:00+00:00,257.655,257.5261725,-0.1,0.9198010936168564,expanded,loss
AAPL,2026-01-15 20:21:00+00:00,2026-01-15 20:28:00+00:00,257.26,257.51725999999996,0.2,1.1806665992220757,expanded,win
AAPL,2026-01-16 09:10:00+00:00,2026-01-16 09:18:00+00:00,258.35,258.60835,0.4,2.7691159103696843,core,win
AAPL,2026-01-16 14:06:00+00:00,2026-01-16 14:25:00+00:00,257.7,257.9577,0.2,1.0548543055495103,expanded,win
AAPL,2026-01-16 14:49:00+00:00,2026-01-16 14:54:00+00:00,257.31,257.181345,-0.1,0.9418972138386065,expanded,loss
AAPL,2026-01-16 15:36:00+00:00,2026-01-16 15:39:00+00:00,256.425,256.29678750000005,-0.1,0.6921794298680949,expanded,loss
AAPL,2026-01-16 16:01:00+00:00,2026-01-16 16:11:00+00:00,256.651,256.52267450000005,-0.1,0.6972317048813085,expanded,loss
AAPL,2026-01-16 16:20:00+00:00,2026-01-16 16:24:00+00:00,256.64,256.89663999999993,0.2,0.6587641049902174,expanded,win
AAPL,2026-01-16 16:45:00+00:00,2026-01-16 16:55:00+00:00,256.4909,256.74739089999997,0.2,0.6683291715889635,expanded,win
AAPL,2026-01-16 17:01:00+00:00,2026-01-16 17:08:00+00:00,256.3009,256.17274955000005,-0.1,0.7395626669815476,expanded,loss
AAPL,2026-01-16 17:32:00+00:00,2026-01-16 17:37:00+00:00,255.57,255.442215,-0.1,1.1092392456053364,expanded,loss
