entry_bar,exit_bar,hold_bars,entry_price,exit_price,pnl_pct,exit_type,direction,slack,model,symbol
2760,2819,59,1.734,1.7625574010996388,0.016469089446158467,time,long,0.7272727272727004,Trend (+40/-20%),AAPL
2786,2842,56,1.734,1.2149370491803286,-0.29934426229508154,sl,short,0.7066246056780767,Trend (+40/-20%),AAPL
2861,2920,59,1.734,1.8509076186324136,0.0674207719910113,time,short,0.6200692041522438,Trend (+40/-20%),AAPL
2944,3003,59,1.734,1.6970608667907492,-0.02130284498803391,time,short,0.6319444444444483,Trend (+40/-20%),AAPL
2970,3029,59,1.734,1.564511286814532,-0.09774435593164238,time,short,0.703703703703711,Trend (+40/-20%),AAPL
3017,3076,59,1.734,1.8494376048620087,0.06657301318454943,time,short,0.7410207939507517,Trend (+40/-20%),AAPL
3023,3082,59,1.734,1.8697316353976479,0.07827660634235749,time,short,0.7808764940238135,Trend (+40/-20%),AAPL
3122,3181,59,1.734,1.575745346246657,-0.09126565960400398,time,short,0.6086956521739382,Trend (+40/-20%),AAPL
3141,3200,59,1.734,1.5856380526577258,-0.08556052326544068,time,long,0.6592797783932322,Trend (+40/-20%),AAPL
3166,3225,59,1.734,1.6106902611122218,-0.07111288286492398,time,short,0.7858627858627233,Trend (+40/-20%),AAPL
3189,3248,59,1.734,1.479042472524742,-0.14703432957050636,time,short,0.6666666666665538,Trend (+40/-20%),AAPL
3195,3254,59,1.734,1.4374955005811065,-0.17099452100282206,time,long,0.6866485013621934,Trend (+40/-20%),AAPL
3197,3256,59,1.734,1.4330431790717733,-0.1735621804661054,time,short,0.7147147147149875,Trend (+40/-20%),AAPL
3219,3278,59,1.734,1.508595014987011,-0.12999134083794053,time,long,0.7179487179487354,Trend (+40/-20%),AAPL
3220,3279,59,1.734,1.5646554110478477,-0.0976612393034327,time,short,0.6324435318275932,Trend (+40/-20%),AAPL
3229,3288,59,1.734,1.4739069350753222,-0.14999600053326284,time,long,0.7604938271605326,Trend (+40/-20%),AAPL
3296,3355,59,1.734,1.749531590893828,0.00895708817406462,time,long,0.7746135069161445,Trend (+40/-20%),AAPL
3344,3403,59,1.734,1.4642226729348553,-0.1555809267965079,time,short,0.706730769230725,Trend (+40/-20%),AAPL
3363,3422,59,1.734,1.5739173817667214,-0.09231984903879967,time,long,0.6629086809469474,Trend (+40/-20%),AAPL
3430,3489,59,1.734,1.6614425531914847,-0.04184397163120835,time,long,0.6386861313868724,Trend (+40/-20%),AAPL
3450,3509,59,1.734,1.8087491814946608,0.043107947805456064,time,long,0.6757164404222004,Trend (+40/-20%),AAPL
3520,3579,59,1.734,1.6562716314260622,-0.04482604877389725,time,long,0.7463235294117104,Trend (+40/-20%),AAPL
3526,3585,59,1.734,1.639070599358436,-0.05474590579098268,time,long,0.6528497409324973,Trend (+40/-20%),AAPL
3549,3608,59,1.734,1.76178341241337,0.0160227291887947,time,short,0.6206896551726417,Trend (+40/-20%),AAPL
3669,3728,59,1.734,1.404787846647078,-0.18985706652417647,time,long,0.687237026648006,Trend (+40/-20%),AAPL
3675,3719,44,1.734,1.3486994836752755,-0.22220329661172117,sl,short,0.6891991182953225,Trend (+40/-20%),AAPL
82,141,59,1.734,1.8496728963191085,0.06670870606638321,time,long,0.6170798898071771,Trend (+40/-20%),NVDA
131,144,13,1.734,1.349554178866503,-0.22171039281055185,sl,short,0.6278026905829706,Trend (+40/-20%),NVDA
161,220,59,1.734,1.6215100336109893,-0.06487310633737639,time,short,0.6333853354133514,Trend (+40/-20%),NVDA
180,239,59,1.734,1.722515515039246,-0.006623117047724365,time,long,0.6334841628959466,Trend (+40/-20%),NVDA
216,275,59,1.734,1.8121930256410268,0.04509401709401777,time,short,0.7578347578347445,Trend (+40/-20%),NVDA
238,297,59,1.734,1.936003315476771,0.11649556832570421,time,short,0.7938144329896456,Trend (+40/-20%),NVDA
266,325,59,1.734,1.9823882577565648,0.1432458233890224,time,long,0.6100917431192568,Trend (+40/-20%),NVDA
306,365,59,1.734,1.774053288227336,0.02309878213802544,time,long,0.7156549520766501,Trend (+40/-20%),NVDA
355,414,59,1.734,1.7912372413793105,0.033008789722785765,time,long,0.6849315068493286,Trend (+40/-20%),NVDA
397,449,52,1.734,2.4254481626360875,0.39875903266210355,tp,long,0.6170798898071357,Trend (+40/-20%),NVDA
416,448,32,1.734,2.4207255670799372,0.3960355058131126,tp,short,0.7373096446700371,Trend (+40/-20%),NVDA
454,513,59,1.734,1.4458091349221236,-0.1662000375304939,time,short,0.6923636363636404,Trend (+40/-20%),NVDA
509,568,59,1.734,1.6640177903682722,-0.04035882908404138,time,long,0.6168032786885314,Trend (+40/-20%),NVDA
534,593,59,1.734,1.8648420760887507,0.07545679128532339,time,short,0.7454739084131976,Trend (+40/-20%),NVDA
545,573,28,1.734,1.3491416560509528,-0.22194829524166504,sl,short,0.6975088967970751,Trend (+40/-20%),NVDA
570,629,59,1.734,1.8036564662541925,0.04017097246493225,time,long,0.6822033898305585,Trend (+40/-20%),NVDA
