symbol,date,direction,tp,sl,pnl
SPY,2025-12-02,short,0.005,0.005,-0.001717229536347965
SPY,2025-12-02,short,0.0075,0.0025,-0.001717229536347965
SPY,2025-12-02,short,0.0075,0.004,-0.001717229536347965
SPY,2025-12-02,short,0.0075,0.005,-0.001717229536347965
SPY,2025-12-02,short,0.0025,0.0025,-0.0025
SPY,2025-12-02,short,0.0025,0.004,-0.0025118246717001622
SPY,2025-12-02,short,0.0025,0.005,-0.0025118246717001622
SPY,2025-12-02,short,0.005,0.0025,-0.0025
SPY,2025-12-02,short,0.005,0.004,-0.0025118246717001622
SPY,2025-12-02,short,0.005,0.005,-0.0025118246717001622
SPY,2025-12-02,short,0.0075,0.0025,-0.0025
SPY,2025-12-02,short,0.0075,0.004,-0.0025118246717001622
SPY,2025-12-02,short,0.0075,0.005,-0.0025118246717001622
SPY,2025-12-02,short,0.0025,0.0025,-0.0025
SPY,2025-12-02,short,0.0025,0.004,-0.0017196019929745575
SPY,2025-12-02,short,0.0025,0.005,-0.0017196019929745575
SPY,2025-12-02,short,0.005,0.0025,-0.0025
SPY,2025-12-02,short,0.005,0.004,-0.0017196019929745575
SPY,2025-12-02,short,0.005,0.005,-0.0017196019929745575
SPY,2025-12-02,short,0.0075,0.0025,-0.0025
SPY,2025-12-02,short,0.0075,0.004,-0.0017196019929745575
SPY,2025-12-02,short,0.0075,0.005,-0.0017196019929745575
SPY,2025-12-02,long,0.0025,0.0025,2.9334976091967806e-05
SPY,2025-12-02,long,0.0025,0.004,2.9334976091967806e-05
SPY,2025-12-02,long,0.0025,0.005,2.9334976091967806e-05
SPY,2025-12-02,long,0.005,0.0025,2.9334976091967806e-05
SPY,2025-12-02,long,0.005,0.004,2.9334976091967806e-05
SPY,2025-12-02,long,0.005,0.005,2.9334976091967806e-05
SPY,2025-12-02,long,0.0075,0.0025,2.9334976091967806e-05
SPY,2025-12-02,long,0.0075,0.004,2.9334976091967806e-05
SPY,2025-12-02,long,0.0075,0.005,2.9334976091967806e-05
SPY,2025-12-02,long,0.0025,0.0025,-0.0008205609119949288
SPY,2025-12-02,long,0.0025,0.004,-0.0008205609119949288
SPY,2025-12-02,long,0.0025,0.005,-0.0008205609119949288
SPY,2025-12-02,long,0.005,0.0025,-0.0008205609119949288
SPY,2025-12-02,long,0.005,0.004,-0.0008205609119949288
SPY,2025-12-02,long,0.005,0.005,-0.0008205609119949288
SPY,2025-12-02,long,0.0075,0.0025,-0.0008205609119949288
SPY,2025-12-02,long,0.0075,0.004,-0.0008205609119949288
SPY,2025-12-02,long,0.0075,0.005,-0.0008205609119949288
SPY,2025-12-03,long,0.0025,0.0025,0.0019777322004102295
SPY,2025-12-03,long,0.0025,0.004,0.0019777322004102295
SPY,2025-12-03,long,0.0025,0.005,0.0019777322004102295
SPY,2025-12-03,long,0.005,0.0025,0.0019777322004102295
SPY,2025-12-03,long,0.005,0.004,0.0019777322004102295
SPY,2025-12-03,long,0.005,0.005,0.0019777322004102295
SPY,2025-12-03,long,0.0075,0.0025,0.0019777322004102295
SPY,2025-12-03,long,0.0075,0.004,0.0019777322004102295
SPY,2025-12-03,long,0.0075,0.005,0.0019777322004102295
SPY,2025-12-03,long,0.0025,0.0025,0.0014994258296213067
SPY,2025-12-03,long,0.0025,0.004,0.0014994258296213067
SPY,2025-12-03,long,0.0025,0.005,0.0014994258296213067
SPY,2025-12-03,long,0.005,0.0025,0.0014994258296213067
SPY,2025-12-03,long,0.005,0.004,0.0014994258296213067
SPY,2025-12-03,long,0.005,0.005,0.0014994258296213067
SPY,2025-12-03,long,0.0075,0.0025,0.0014994258296213067
SPY,2025-12-03,long,0.0075,0.004,0.0014994258296213067
SPY,2025-12-03,long,0.0075,0.005,0.0014994258296213067
SPY,2025-12-03,long,0.0025,0.0025,0.001067485559698791
SPY,2025-12-03,long,0.0025,0.004,0.001067485559698791
SPY,2025-12-03,long,0.0025,0.005,0.001067485559698791
SPY,2025-12-03,long,0.005,0.0025,0.001067485559698791
SPY,2025-12-03,long,0.005,0.004,0.001067485559698791
SPY,2025-12-03,long,0.005,0.005,0.001067485559698791
SPY,2025-12-03,long,0.0075,0.0025,0.001067485559698791
SPY,2025-12-03,long,0.0075,0.004,0.001067485559698791
SPY,2025-12-03,long,0.0075,0.005,0.001067485559698791
SPY,2025-12-03,long,0.0025,0.0025,-0.0005097030628946934
SPY,2025-12-03,long,0.0025,0.004,-0.0005097030628946934
SPY,2025-12-03,long,0.0025,0.005,-0.0005097030628946934
SPY,2025-12-03,long,0.005,0.0025,-0.0005097030628946934
SPY,2025-12-03,long,0.005,0.004,-0.0005097030628946934
SPY,2025-12-03,long,0.005,0.005,-0.0005097030628946934
SPY,2025-12-03,long,0.0075,0.0025,-0.0005097030628946934
SPY,2025-12-03,long,0.0075,0.004,-0.0005097030628946934
SPY,2025-12-03,long,0.0075,0.005,-0.0005097030628946934
SPY,2025-12-03,long,0.0025,0.0025,-0.0009420940779527811
SPY,2025-12-03,long,0.0025,0.004,-0.0009420940779527811
SPY,2025-12-03,long,0.0025,0.005,-0.0009420940779527811
SPY,2025-12-03,long,0.005,0.0025,-0.0009420940779527811
SPY,2025-12-03,long,0.005,0.004,-0.0009420940779527811
SPY,2025-12-03,long,0.005,0.005,-0.0009420940779527811
SPY,2025-12-03,long,0.0075,0.0025,-0.0009420940779527811
SPY,2025-12-03,long,0.0075,0.004,-0.0009420940779527811
SPY,2025-12-03,long,0.0075,0.005,-0.0009420940779527811
SPY,2025-12-03,long,0.0025,0.0025,1.4474107430065217e-05
SPY,2025-12-03,long,0.0025,0.004,1.4474107430065217e-05
SPY,2025-12-03,long,0.0025,0.005,1.4474107430065217e-05
SPY,2025-12-03,long,0.005,0.0025,1.4474107430065217e-05
SPY,2025-12-03,long,0.005,0.004,1.4474107430065217e-05
SPY,2025-12-03,long,0.005,0.005,1.4474107430065217e-05
SPY,2025-12-03,long,0.0075,0.0025,1.4474107430065217e-05
SPY,2025-12-03,long,0.0075,0.004,1.4474107430065217e-05
SPY,2025-12-03,long,0.0075,0.005,1.4474107430065217e-05
SPY,2025-12-04,short,0.0025,0.0025,-0.0014046587849700378
SPY,2025-12-04,short,0.0025,0.004,-0.0014046587849700378
SPY,2025-12-04,short,0.0025,0.005,-0.0014046587849700378
SPY,2025-12-04,short,0.005,0.0025,-0.0014046587849700378
SPY,2025-12-04,short,0.005,0.004,-0.0014046587849700378
SPY,2025-12-04,short,0.005,0.005,-0.0014046587849700378
SPY,2025-12-04,short,0.0075,0.0025,-0.0014046587849700378
SPY,2025-12-04,short,0.0075,0.004,-0.0014046587849700378
SPY,2025-12-04,short,0.0075,0.005,-0.0014046587849700378
SPY,2025-12-04,long,0.0025,0.0025,-0.0025
SPY,2025-12-04,long,0.0025,0.004,-0.004
SPY,2025-12-04,long,0.0025,0.005,-0.0008697241001279404
SPY,2025-12-04,long,0.005,0.0025,-0.0025
SPY,2025-12-04,long,0.005,0.004,-0.004
SPY,2025-12-04,long,0.005,0.005,-0.0008697241001279404
SPY,2025-12-04,long,0.0075,0.0025,-0.0025
SPY,2025-12-04,long,0.0075,0.004,-0.004
SPY,2025-12-04,long,0.0075,0.005,-0.0008697241001279404
SPY,2025-12-04,long,0.0025,0.0025,-0.0025
SPY,2025-12-04,long,0.0025,0.004,-0.004
SPY,2025-12-04,long,0.0025,0.005,0.00016952000993735862
SPY,2025-12-04,long,0.005,0.0025,-0.0025
SPY,2025-12-04,long,0.005,0.004,-0.004
SPY,2025-12-04,long,0.005,0.005,0.00016952000993735862
SPY,2025-12-04,long,0.0075,0.0025,-0.0025
SPY,2025-12-04,long,0.0075,0.004,-0.004
SPY,2025-12-04,long,0.0075,0.005,0.00016952000993735862
SPY,2025-12-04,short,0.0025,0.0025,-0.0013465253790761066
SPY,2025-12-04,short,0.0025,0.004,-0.0013465253790761066
SPY,2025-12-04,short,0.0025,0.005,-0.0013465253790761066
SPY,2025-12-04,short,0.005,0.0025,-0.0013465253790761066
SPY,2025-12-04,short,0.005,0.004,-0.0013465253790761066
SPY,2025-12-04,short,0.005,0.005,-0.0013465253790761066
SPY,2025-12-04,short,0.0075,0.0025,-0.0013465253790761066
SPY,2025-12-04,short,0.0075,0.004,-0.0013465253790761066
SPY,2025-12-04,short,0.0075,0.005,-0.0013465253790761066
SPY,2025-12-05,long,0.0025,0.0025,-0.0025
SPY,2025-12-05,long,0.0025,0.004,0.0025
SPY,2025-12-05,long,0.0025,0.005,0.0025
SPY,2025-12-05,long,0.005,0.0025,-0.0025
SPY,2025-12-05,long,0.005,0.004,0.0031133795114837636
SPY,2025-12-05,long,0.005,0.005,0.0031133795114837636
SPY,2025-12-05,long,0.0075,0.0025,-0.0025
SPY,2025-12-05,long,0.0075,0.004,0.0031133795114837636
SPY,2025-12-05,long,0.0075,0.005,0.0031133795114837636
SPY,2025-12-05,long,0.0025,0.0025,0.0025
SPY,2025-12-05,long,0.0025,0.004,0.0025
SPY,2025-12-05,long,0.0025,0.005,0.0025
SPY,2025-12-05,long,0.005,0.0025,-0.00023321575372411767
SPY,2025-12-05,long,0.005,0.004,-0.00023321575372411767
SPY,2025-12-05,long,0.005,0.005,-0.00023321575372411767
SPY,2025-12-05,long,0.0075,0.0025,-0.00023321575372411767
SPY,2025-12-05,long,0.0075,0.004,-0.00023321575372411767
SPY,2025-12-05,long,0.0075,0.005,-0.00023321575372411767
SPY,2025-12-05,short,0.0025,0.0025,-0.0008528567054947829
SPY,2025-12-05,short,0.0025,0.004,-0.0008528567054947829
SPY,2025-12-05,short,0.0025,0.005,-0.0008528567054947829
SPY,2025-12-05,short,0.005,0.0025,-0.0008528567054947829
SPY,2025-12-05,short,0.005,0.004,-0.0008528567054947829
SPY,2025-12-05,short,0.005,0.005,-0.0008528567054947829
SPY,2025-12-05,short,0.0075,0.0025,-0.0008528567054947829
SPY,2025-12-05,short,0.0075,0.004,-0.0008528567054947829
SPY,2025-12-05,short,0.0075,0.005,-0.0008528567054947829
SPY,2025-12-05,short,0.0025,0.0025,-0.000744846902306245
SPY,2025-12-05,short,0.0025,0.004,-0.000744846902306245
SPY,2025-12-05,short,0.0025,0.005,-0.000744846902306245
SPY,2025-12-05,short,0.005,0.0025,-0.000744846902306245
SPY,2025-12-05,short,0.005,0.004,-0.000744846902306245
SPY,2025-12-05,short,0.005,0.005,-0.000744846902306245
SPY,2025-12-05,short,0.0075,0.0025,-0.000744846902306245
SPY,2025-12-05,short,0.0075,0.004,-0.000744846902306245
SPY,2025-12-05,short,0.0075,0.005,-0.000744846902306245
SPY,2025-12-05,short,0.0025,0.0025,0.0006201499783763949
SPY,2025-12-05,short,0.0025,0.004,0.0006201499783763949
SPY,2025-12-05,short,0.0025,0.005,0.0006201499783763949
SPY,2025-12-05,short,0.005,0.0025,0.0006201499783763949
SPY,2025-12-05,short,0.005,0.004,0.0006201499783763949
SPY,2025-12-05,short,0.005,0.005,0.0006201499783763949
SPY,2025-12-05,short,0.0075,0.0025,0.0006201499783763949
SPY,2025-12-05,short,0.0075,0.004,0.0006201499783763949
SPY,2025-12-05,short,0.0075,0.005,0.0006201499783763949
SPY,2025-12-05,short,0.0025,0.0025,0.0012245969035193046
SPY,2025-12-05,short,0.0025,0.004,0.0012245969035193046
SPY,2025-12-05,short,0.0025,0.005,0.0012245969035193046
SPY,2025-12-05,short,0.005,0.0025,0.0012245969035193046
SPY,2025-12-05,short,0.005,0.004,0.0012245969035193046
SPY,2025-12-05,short,0.005,0.005,0.0012245969035193046
SPY,2025-12-05,short,0.0075,0.0025,0.0012245969035193046
SPY,2025-12-05,short,0.0075,0.004,0.0012245969035193046
SPY,2025-12-05,short,0.0075,0.005,0.0012245969035193046
SPY,2025-12-05,short,0.0025,0.0025,4.840673320157359e-05
SPY,2025-12-05,short,0.0025,0.004,4.840673320157359e-05
SPY,2025-12-05,short,0.0025,0.005,4.840673320157359e-05
SPY,2025-12-05,short,0.005,0.0025,4.840673320157359e-05
SPY,2025-12-05,short,0.005,0.004,4.840673320157359e-05
SPY,2025-12-05,short,0.005,0.005,4.840673320157359e-05
SPY,2025-12-05,short,0.0075,0.0025,4.840673320157359e-05
SPY,2025-12-05,short,0.0075,0.004,4.840673320157359e-05
SPY,2025-12-05,short,0.0075,0.005,4.840673320157359e-05
SPY,2025-12-08,long,0.0025,0.0025,-0.0025
SPY,2025-12-08,long,0.0025,0.004,-0.004
SPY,2025-12-08,long,0.0025,0.005,-0.004214157823485715
SPY,2025-12-08,long,0.005,0.0025,-0.0025
SPY,2025-12-08,long,0.005,0.004,-0.004
SPY,2025-12-08,long,0.005,0.005,-0.004214157823485715
SPY,2025-12-08,long,0.0075,0.0025,-0.0025
SPY,2025-12-08,long,0.0075,0.004,-0.004
SPY,2025-12-08,long,0.0075,0.005,-0.004214157823485715
SPY,2025-12-08,short,0.0025,0.0025,-0.0025
SPY,2025-12-08,short,0.0025,0.004,1.1718349470533036e-05
SPY,2025-12-08,short,0.0025,0.005,1.1718349470533036e-05
SPY,2025-12-08,short,0.005,0.0025,-0.0025
SPY,2025-12-08,short,0.005,0.004,1.1718349470533036e-05
SPY,2025-12-08,short,0.005,0.005,1.1718349470533036e-05
SPY,2025-12-08,short,0.0075,0.0025,-0.0025
SPY,2025-12-08,short,0.0075,0.004,1.1718349470533036e-05
SPY,2025-12-08,short,0.0075,0.005,1.1718349470533036e-05
SPY,2025-12-08,short,0.0025,0.0025,-0.0011715946868180286
SPY,2025-12-08,short,0.0025,0.004,-0.0011715946868180286
SPY,2025-12-08,short,0.0025,0.005,-0.0011715946868180286
SPY,2025-12-08,short,0.005,0.0025,-0.0011715946868180286
SPY,2025-12-08,short,0.005,0.004,-0.0011715946868180286
SPY,2025-12-08,short,0.005,0.005,-0.0011715946868180286
SPY,2025-12-08,short,0.0075,0.0025,-0.0011715946868180286
SPY,2025-12-08,short,0.0075,0.004,-0.0011715946868180286
SPY,2025-12-08,short,0.0075,0.005,-0.0011715946868180286
SPY,2025-12-08,short,0.0025,0.0025,-0.0012889097221205276
SPY,2025-12-08,short,0.0025,0.004,-0.0012889097221205276
SPY,2025-12-08,short,0.0025,0.005,-0.0012889097221205276
SPY,2025-12-08,short,0.005,0.0025,-0.0012889097221205276
SPY,2025-12-08,short,0.005,0.004,-0.0012889097221205276
SPY,2025-12-08,short,0.005,0.005,-0.0012889097221205276
SPY,2025-12-08,short,0.0075,0.0025,-0.0012889097221205276
SPY,2025-12-08,short,0.0075,0.004,-0.0012889097221205276
SPY,2025-12-08,short,0.0075,0.005,-0.0012889097221205276
SPY,2025-12-08,short,0.0025,0.0025,-0.0025
SPY,2025-12-08,short,0.0025,0.004,-0.003297621315824186
SPY,2025-12-08,short,0.0025,0.005,-0.003297621315824186
SPY,2025-12-08,short,0.005,0.0025,-0.0025
SPY,2025-12-08,short,0.005,0.004,-0.003297621315824186
SPY,2025-12-08,short,0.005,0.005,-0.003297621315824186
SPY,2025-12-08,short,0.0075,0.0025,-0.0025
SPY,2025-12-08,short,0.0075,0.004,-0.003297621315824186
SPY,2025-12-08,short,0.0075,0.005,-0.003297621315824186
SPY,2025-12-08,short,0.0025,0.0025,-0.0011852404570659907
SPY,2025-12-08,short,0.0025,0.004,-0.0011852404570659907
SPY,2025-12-08,short,0.0025,0.005,-0.0011852404570659907
SPY,2025-12-08,short,0.005,0.0025,-0.0011852404570659907
SPY,2025-12-08,short,0.005,0.004,-0.0011852404570659907
SPY,2025-12-08,short,0.005,0.005,-0.0011852404570659907
SPY,2025-12-08,short,0.0075,0.0025,-0.0011852404570659907
SPY,2025-12-08,short,0.0075,0.004,-0.0011852404570659907
SPY,2025-12-08,short,0.0075,0.005,-0.0011852404570659907
SPY,2025-12-09,long,0.0025,0.0025,0.00043853237830719855
SPY,2025-12-09,long,0.0025,0.004,0.00043853237830719855
SPY,2025-12-09,long,0.0025,0.005,0.00043853237830719855
SPY,2025-12-09,long,0.005,0.0025,0.00043853237830719855
SPY,2025-12-09,long,0.005,0.004,0.00043853237830719855
SPY,2025-12-09,long,0.005,0.005,0.00043853237830719855
SPY,2025-12-09,long,0.0075,0.0025,0.00043853237830719855
SPY,2025-12-09,long,0.0075,0.004,0.00043853237830719855
SPY,2025-12-09,long,0.0075,0.005,0.00043853237830719855
SPY,2025-12-09,long,0.0025,0.0025,5.846927439625156e-05
SPY,2025-12-09,long,0.0025,0.004,5.846927439625156e-05
SPY,2025-12-09,long,0.0025,0.005,5.846927439625156e-05
SPY,2025-12-09,long,0.005,0.0025,5.846927439625156e-05
SPY,2025-12-09,long,0.005,0.004,5.846927439625156e-05
SPY,2025-12-09,long,0.005,0.005,5.846927439625156e-05
SPY,2025-12-09,long,0.0075,0.0025,5.846927439625156e-05
SPY,2025-12-09,long,0.0075,0.004,5.846927439625156e-05
SPY,2025-12-09,long,0.0075,0.005,5.846927439625156e-05
SPY,2025-12-09,long,0.0025,0.0025,-0.00011696419433606872
SPY,2025-12-09,long,0.0025,0.004,-0.00011696419433606872
SPY,2025-12-09,long,0.0025,0.005,-0.00011696419433606872
SPY,2025-12-09,long,0.005,0.0025,-0.00011696419433606872
SPY,2025-12-09,long,0.005,0.004,-0.00011696419433606872
SPY,2025-12-09,long,0.005,0.005,-0.00011696419433606872
SPY,2025-12-09,long,0.0075,0.0025,-0.00011696419433606872
SPY,2025-12-09,long,0.0075,0.004,-0.00011696419433606872
SPY,2025-12-09,long,0.0075,0.005,-0.00011696419433606872
SPY,2025-12-09,short,0.0025,0.0025,-0.0019757928783643696
SPY,2025-12-09,short,0.0025,0.004,-0.0019757928783643696
SPY,2025-12-09,short,0.0025,0.005,-0.0019757928783643696
SPY,2025-12-09,short,0.005,0.0025,-0.0019757928783643696
SPY,2025-12-09,short,0.005,0.004,-0.0019757928783643696
