date,sym,setup,side,gap_pct,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,open_pos
2026-04-07,SPY,A,short,-0.325,653.8,0.28754970939125046,0.01664117467116664,0.28754970939125046,0.14989293361884648,0.28754970939125046,0.23554603854390904,True,False,False,
2026-04-10,SPY,A,long,0.216,681.7,0.011750036673008968,0.18776587941911196,0.011750036673008968,0.18776587941911196,0.04840839078772586,0.18776587941911196,False,False,False,
2026-04-14,SPY,A,long,0.264,689.67,0.2000956979424936,0.026099438862057216,0.2000956979424936,0.026099438862057216,0.2914292342714655,0.026099438862057216,True,False,False,
2026-04-15,SPY,A,long,0.154,695.95,0.15662044687117152,0.02442704217258032,0.16093110137222566,0.02442704217258032,0.21409584021840777,0.02442704217258032,False,False,False,
2026-04-16,SPY,A,long,0.214,701.265,0.1090885756454388,0.010694958396602111,0.15614639259053673,0.08627266439933809,0.17611031493087687,0.08627266439933809,False,False,False,
2026-04-17,SPY,A,long,0.65,709.645,0.2064412487934153,0.0007045776409325018,0.2381472426354099,0.0007045776409325018,0.2381472426354099,0.0007045776409325018,False,False,False,
2026-04-22,SPY,A,long,0.79,709.72,0.13808262413346364,0.029589133742889642,0.13808262413346364,0.03592966240207342,0.13808262413346364,0.060573183790787216,False,False,False,
2026-04-24,SPY,A,long,0.39,713.45,0.09671315439062875,0.1219426729273256,0.09671315439062875,0.1219426729273256,0.09671315439062875,0.1219426729273256,False,False,False,
2026-04-28,SPY,A,short,-0.438,709.6,0.02536640360767526,0.07750845546786281,0.031003382187151533,0.09723788049604579,0.031003382187151533,0.1395152198421659,False,False,False,
2026-04-29,SPY,A,short,-0.066,710.615,0.07176881996580299,0.05417842291536077,0.07176881996580299,0.06965797231975183,0.19771606284696674,0.06965797231975183,False,False,False,
2026-05-01,SPY,A,long,0.346,723.3,0.1866445458316083,0.0069127609567198305,0.21706069404120698,0.0069127609567198305,0.21706069404120698,0.13825521913452232,False,False,False,
2026-05-05,SPY,A,long,0.563,722.7,0.03182510031823779,0.07748720077488018,0.09547530095474482,0.12591670125917834,0.13421890134217707,0.12591670125917834,False,False,False,
2026-05-06,SPY,A,long,0.609,729.65,0.05070924415815864,0.12882889056396093,0.1151236894401469,0.12882889056396093,0.39882135270334657,0.12882889056396093,True,False,False,
2026-05-07,SPY,A,long,0.191,735.97,0.021740016576758316,0.10462382977566773,0.021740016576758316,0.22691142301996992,0.021740016576758316,0.22962892509206279,False,False,False,
2026-05-08,SPY,A,long,0.553,737.02,0.058343057176204666,0.035277197362349855,0.058343057176204666,0.050202165477192556,0.058343057176204666,0.1317331958427219,False,False,False,
2026-05-12,SPY,A,short,-0.314,735.35,0.09519276534983959,0.08404161283741594,0.09519276534983959,0.14006935472903687,0.24614129326172013,0.14006935472903687,False,False,False,
2026-05-13,SPY,A,long,0.111,739.185,0.02502756414159637,0.06696564459504602,0.06155427937526342,0.06696564459504602,0.14813612289210784,0.06696564459504602,False,False,False,
2026-05-14,SPY,A,long,0.163,745.69,0.09119070927596588,0.021456637476710408,0.20652013571322714,0.021456637476710408,0.3580576378924163,0.021456637476710408,True,False,False,
2026-05-19,SPY,A,short,-0.473,734.06,0.23567555785629304,0.149851510775689,0.3160504590905289,0.149851510775689,0.3446584747840739,0.149851510775689,True,False,False,
2026-05-20,SPY,A,long,0.326,737.99,0.13414815918915013,0.20596485047222618,0.13414815918915013,0.20596485047222618,0.5257523814685829,0.20596485047222618,True,True,False,
2026-05-21,SPY,A,short,-0.277,737.78,0.04608419854155957,0.20127951421833254,0.04608419854155957,0.20127951421833254,0.10165632031228823,0.21008972864540487,False,False,False,
2026-05-22,SPY,A,long,0.431,747.28,0.04014559469008514,0.26629911144417207,0.04014559469008514,0.37469221710737,0.04014559469008514,0.37469221710737,False,False,False,
2026-05-29,SPY,A,long,0.166,756.88,0.0713455237289879,0.07663037733855313,0.0713455237289879,0.07663037733855313,0.07729098403974691,0.07663037733855313,False,False,False,
2026-06-03,SPY,A,short,-0.186,755.47,0.006618396494906246,0.16281255377447393,0.006618396494906246,0.1998755741458947,0.006618396494906246,0.20384661204282944,False,False,False,
2026-06-05,SPY,A,short,-0.621,749.69,0.19541410449652943,0.06269257959955629,0.19541410449652943,0.1694033533860638,0.19541410449652943,0.1694033533860638,False,False,False,
2026-06-10,SPY,A,short,-0.476,729.265,0.10627138283065514,0.44496856423933745,0.10627138283065514,0.44496856423933745,0.10627138283065514,0.44496856423933745,False,False,False,
