date,side,level,gap_regime,gap_pct,entry,bar_idx,ep,bars_waited,conf_close,mfe15,mfe30,mfe60,hit_>=0.40%,hit_>=0.50%,hit_>=0.60%,hit_>=0.75%
2026-01-22,long,1H/4H_Sup,Gap Up,0.926,C,75,620.53,2,620.34,0.029007461363683252,0.049151531755122824,0.1547064606062618,False,False,False,False
2026-01-22,long,1H/4H_Sup,Gap Up,0.926,A,96,620.28,0,620.3,0.1313116656993723,0.16926226865286317,0.22409234539240122,False,False,False,False
2026-01-22,long,1H/4H_Sup,Gap Up,0.926,B,101,620.42,5,620.3,0.13539215370233582,0.16279294671351519,0.20147641919989684,False,False,False,False
2026-01-22,long,1H/4H_Sup,Gap Up,0.926,C,101,620.42,5,620.3,0.13539215370233582,0.16279294671351519,0.20147641919989684,False,False,False,False
2026-01-22,short,PMH,Gap Up,0.926,A,146,620.82,0,620.85,0.04349086691796261,0.04349086691796261,0.04349086691796261,False,False,False,False
2026-01-22,short,PDH,Gap Up,0.926,A,54,618.09,0,618.1,0.029121972528282882,0.029121972528282882,0.029121972528282882,False,False,False,False
2026-01-22,short,1H/4H_Res,Gap Up,0.926,A,54,618.09,0,618.1,0.029121972528282882,0.029121972528282882,0.029121972528282882,False,False,False,False
2026-01-30,long,PML,Gap Down,-0.634,A,8,626.78,0,626.73,0.23548932639841716,0.23548932639841716,0.23548932639841716,False,False,False,False
2026-01-30,long,PML,Gap Down,-0.634,B,9,627.75,1,626.73,0.08060533651931052,0.08060533651931052,0.08060533651931052,False,False,False,False
2026-01-30,long,PML,Gap Down,-0.634,C,9,627.75,1,626.73,0.08060533651931052,0.08060533651931052,0.08060533651931052,False,False,False,False
2026-01-30,long,1H/4H_Sup,Gap Down,-0.634,A,64,625.01,0,625.02,0.49599206412697766,0.49599206412697766,0.49599206412697766,True,False,False,False
2026-01-30,long,1H/4H_Sup,Gap Down,-0.634,B,65,626.8686,1,625.02,0.1980319320508315,0.1980319320508315,0.1980319320508315,False,False,False,False
2026-01-30,long,1H/4H_Sup,Gap Down,-0.634,C,76,627.81,12,625.02,0.04778515792995783,0.04778515792995783,0.04778515792995783,False,False,False,False
2026-01-30,long,1H/4H_Sup,Gap Down,-0.634,A,120,625.1,0,625.1,0.1919692849144028,0.1919692849144028,0.1919692849144028,False,False,False,False
2026-01-30,long,1H/4H_Sup,Gap Down,-0.634,B,127,625.63,7,625.1,0.10709205121237138,0.10709205121237138,0.10709205121237138,False,False,False,False
2026-01-30,long,1H/4H_Sup,Gap Down,-0.634,C,128,625.69,8,625.1,0.09749236842524252,0.09749236842524252,0.09749236842524252,False,False,False,False
2026-01-30,short,PMH,Gap Down,-0.634,A,141,624.32,0,624.32,0.3275403639159562,0.3507816504356827,0.3507816504356827,False,False,False,False
2026-01-30,short,PMH,Gap Down,-0.634,B,147,624.05,6,624.32,0.3076676548353432,0.3076676548353432,0.3076676548353432,False,False,False,False
2026-01-30,short,PMH,Gap Down,-0.634,C,147,624.05,6,624.32,0.008813396362481159,0.08973639932698649,0.11377293486099455,False,False,False,False
2026-02-03,long,PDL,Flat,0.395,A,80,620.63,0,620.62,0.05156051109357427,0.05156051109357427,0.05156051109357427,False,False,False,False
2026-02-03,long,PDL,Flat,0.395,B,86,620.7,6,620.62,0.040277106492669565,0.040277106492669565,0.040277106492669565,False,False,False,False
2026-02-03,long,PDL,Flat,0.395,C,86,620.7,6,620.62,0.040277106492669565,0.040277106492669565,0.040277106492669565,False,False,False,False
2026-02-03,short,PMH,Flat,0.395,A,14,623.87,0,623.89,0.615512847227793,0.859153349255456,1.0883677689262128,True,True,True,True
2026-02-03,short,PMH,Flat,0.395,B,24,623.07,10,623.89,0.6628468711380736,0.9613687065658768,0.9613687065658768,True,True,True,True
2026-02-03,short,PMH,Flat,0.395,C,24,623.07,10,623.89,0.030494165984550833,0.030494165984550833,0.030494165984550833,False,False,False,False
2026-02-03,short,PDH,Flat,0.395,A,14,623.87,0,623.89,0.615512847227793,0.859153349255456,1.0883677689262128,True,True,True,True
2026-02-03,short,PDH,Flat,0.395,B,24,623.07,10,623.89,0.6628468711380736,0.9613687065658768,0.9613687065658768,True,True,True,True
2026-02-03,short,PDH,Flat,0.395,C,24,623.07,10,623.89,0.030494165984550833,0.030494165984550833,0.030494165984550833,False,False,False,False
2026-02-04,short,PMH,Flat,-0.285,A,21,612.8,0,612.76,0.7359660574412518,0.7359660574412518,0.7359660574412518,True,True,True,False
2026-02-04,short,PMH,Flat,-0.285,B,22,612.4,1,612.76,0.6711299804049663,0.6711299804049663,0.6711299804049663,True,True,True,False
2026-02-04,short,PMH,Flat,-0.285,C,22,612.4,1,612.76,0.14043109079033533,0.14043109079033533,0.14043109079033533,False,False,False,False
2026-02-05,long,PML,Gap Down,-0.988,A,8,602.99,0,602.96,0.30182921773162674,0.30182921773162674,0.30182921773162674,False,False,False,False
2026-02-05,long,PML,Gap Down,-0.988,B,9,603.39,1,602.96,0.23533701254577621,0.23533701254577621,0.23533701254577621,False,False,False,False
2026-02-05,long,PML,Gap Down,-0.988,C,9,603.39,1,602.96,0.23533701254577621,0.23533701254577621,0.23533701254577621,False,False,False,False
