direction,window,tp1,runner,stop,n,wr,pf,ev,total,max_dd,worst_streak
LONG,9:30-12:00,0.40%,2.00%,0.40%,38,0.5789473684210527,1.328694372403545,0.0005799025312193844,0.02203629618633661,-0.017892297974936244,2
LONG,9:30-10:00,0.40%,1.50%,0.50%,21,0.6190476190476191,1.31951852468165,0.000618837266820531,0.01299558260323115,-0.013091291053708336,3
LONG,9:30-11:00,0.40%,1.00%,0.40%,31,0.6129032258064516,1.3193212074597376,0.0005092854232697544,0.015787848121362386,-0.012292297974936243,2
LONG,9:30-12:00,0.50%,1.00%,0.40%,38,0.5789473684210527,1.2757655635029608,0.0004865223189832206,0.018487848121362383,-0.013955307397895342,2
LONG,9:30-10:30,0.50%,1.50%,0.50%,26,0.5769230769230769,1.2729954685550253,0.0005971502011621567,0.015525905230216073,-0.017160968426723405,3
BOTH,9:30-10:00,0.60%,2.00%,0.40%,46,0.41304347826086957,1.2497116020734724,0.000569731573775445,0.02620765239367047,-0.05020939977115473,9
LONG,9:30-11:00,0.40%,1.50%,0.50%,31,0.6129032258064516,1.2495932241687806,0.0004785901995592456,0.014836296186336613,-0.01929229797493624,2
LONG,9:30-10:30,0.60%,1.00%,0.50%,26,0.5384615384615384,1.2356286521423023,0.0005372463998121727,0.013968406395116493,-0.01472397784968251,3
LONG,9:30-10:30,0.40%,1.50%,0.40%,26,0.5769230769230769,1.224565140374546,0.0004048425088544644,0.010525905230216074,-0.014160968426723413,3
LONG,9:30-10:30,0.40%,1.00%,0.30%,26,0.5384615384615384,1.207104139772394,0.0003249941885659109,0.008449848902713683,-0.010251586112210678,3
LONG,9:30-12:00,0.50%,1.50%,0.50%,38,0.5789473684210527,1.1978765998796888,0.0004220077943772791,0.016036296186336604,-0.021892297974936248,2
LONG,9:30-12:00,0.40%,1.00%,0.30%,38,0.5526315789473685,1.1839057263753372,0.00027973028906564437,0.010629750984494486,-0.013600000000000001,4
LONG,9:30-12:00,0.40%,1.50%,0.40%,38,0.5789473684210527,1.1795339283687851,0.0003167446364825424,0.012036296186336611,-0.017892297974936244,2
LONG,9:30-12:00,0.60%,1.00%,0.50%,38,0.5526315789473685,1.1794922250626931,0.00039417887766413236,0.01497879735123703,-0.01745530739789534,3
LONG,9:30-10:00,0.40%,1.00%,0.50%,21,0.6190476190476191,1.1585137795650486,0.00030700640658366324,0.006447134538256928,-0.013091291053708336,3
LONG,9:30-10:30,0.40%,2.00%,0.50%,26,0.5769230769230769,1.14112128899492,0.0003086886627006185,0.00802590523021608,-0.020160968426723408,3
BOTH,9:30-10:00,0.50%,2.00%,0.40%,46,0.45652173913043476,1.1248746098530014,0.000266424405550663,0.0122555226553305,-0.04766152950949469,6
BOTH,9:30-10:00,0.60%,2.00%,0.50%,46,0.43478260869565216,1.124158933405825,0.00032538191584115304,0.01496756812869304,-0.05444948403613217,9
LONG,9:30-10:30,0.50%,1.00%,0.50%,26,0.5769230769230769,1.1138945799069322,0.0002491329678939172,0.006477457165241847,-0.017160968426723405,3
BOTH,9:30-10:00,0.60%,1.50%,0.40%,46,0.41304347826086957,1.1067886887641247,0.00024364461725370564,0.01120765239367046,-0.05020939977115473,9
BOTH,9:30-10:00,0.60%,2.00%,0.30%,46,0.3695652173913043,1.1039639682231202,0.00021692486434188112,0.009978543759726531,-0.04143850840509866,9
LONG,9:30-12:00,0.40%,2.00%,0.50%,38,0.5789473684210527,1.0991622346270513,0.00021148147858780547,0.008036296186336608,-0.026892297974936242,2
LONG,9:30-11:00,0.40%,1.00%,0.50%,31,0.6129032258064516,1.0973698324343553,0.0001867047781084641,0.005787848121362387,-0.01929229797493624,2
LONG,9:30-10:30,0.40%,1.00%,0.40%,26,0.5769230769230769,1.0848571412254624,0.00015297912174007112,0.003977457165241849,-0.014160968426723413,3
BOTH,9:30-10:00,0.50%,2.00%,0.30%,46,0.41304347826086957,1.0668326251635794,0.0001310090004649252,0.00602641402138656,-0.03989063814343863,6
LONG,9:30-12:00,0.50%,1.00%,0.50%,38,0.5789473684210527,1.055376884831316,0.0001181012663516416,0.004487848121362381,-0.021892297974936248,2
LONG,9:30-12:00,0.40%,1.00%,0.40%,38,0.5789473684210527,1.0445668752490838,7.862758214111539e-05,0.002987848121362385,-0.017892297974936244,2
BOTH,9:30-10:00,0.40%,2.00%,0.30%,46,0.43478260869565216,1.0233533872753429,4.405247872579483e-05,0.002026414021386562,-0.03839063814343862,6
BOTH,9:30-10:00,0.40%,2.00%,0.40%,46,0.5,1.0208755937781655,4.160786794757237e-05,0.0019139619255883291,-0.04150309023923687,6
BOTH,9:30-10:00,0.50%,2.00%,0.50%,46,0.4782608695652174,1.0134415738550306,3.294431283376227e-05,0.0015154383903530641,-0.05140161377447214,6
LONG,9:30-10:30,0.40%,1.50%,0.50%,26,0.5769230769230769,1.0092471094348148,2.0227124239079895e-05,0.0005259052302160772,-0.020160968426723408,3
BOTH,9:30-10:00,0.60%,1.50%,0.30%,46,0.3695652173913043,0.99977645276348,-4.664400059451686e-07,-2.1456240273477756e-05,-0.04143850840509866,9
BOTH,9:30-10:00,0.60%,1.50%,0.50%,46,0.43478260869565216,0.9997309712228997,-7.05040680586465e-07,-3.243187130697739e-05,-0.05444948403613217,9
BOTH,9:30-10:00,0.50%,1.50%,0.40%,46,0.45652173913043476,0.9975089587044071,-5.314724884119647e-06,-0.00024447734466950376,-0.04766152950949469,6
LONG,9:30-12:00,0.40%,1.50%,0.50%,38,0.5789473684210527,0.9757692780612542,-5.16764161490366e-05,-0.001963703813663391,-0.026892297974936242,2
BOTH,9:30-10:00,0.60%,1.00%,0.40%,46,0.41304347826086957,0.9688690515620138,-7.102707322937147e-05,-0.0032672453685510874,-0.05117058027962005,9
BOTH,9:30-10:00,0.50%,1.50%,0.30%,46,0.41304347826086957,0.9559331334817874,-8.638230388290091e-05,-0.003973585978613442,-0.03989063814343863,6
BOTH,9:30-11:00,0.60%,2.00%,0.40%,76,0.3815789473684211,0.9426072066927974,-0.00013987504222682384,-0.010630503209238612,-0.06824010425661421,11
BOTH,9:30-10:00,0.40%,2.00%,0.50%,46,0.5217391304347826,0.920917639520273,-0.0001810026595519369,-0.008326122339389097,-0.04474317450421431,6
BOTH,9:30-11:00,0.50%,2.00%,0.30%,76,0.39473684210526316,0.9169000153054256,-0.00016670077159328925,-0.012669258641089982,-0.049377920371337494,8
BOTH,9:30-10:00,0.40%,1.50%,0.40%,46,0.5,0.9118055360143537,-0.0001757834364002538,-0.008086038074411675,-0.04150309023923687,6
BOTH,9:30-10:00,0.40%,1.50%,0.30%,46,0.43478260869565216,0.908108491469877,-0.00017333882562203129,-0.007973585978613439,-0.03839063814343862,6
BOTH,9:30-11:00,0.60%,2.00%,0.30%,76,0.34210526315789475,0.9047833744915074,-0.00020680432766776325,-0.015717128902750007,-0.05492579063299753,11
BOTH,9:30-10:00,0.50%,1.50%,0.50%,46,0.4782608695652174,0.9025695817915752,-0.00023879481760102038,-0.010984561609646937,-0.05140161377447214,6
BOTH,9:30-10:00,0.60%,1.00%,0.30%,46,0.3695652173913043,0.9010598470554837,-0.0002064424783151093,-0.009496354002495027,-0.042399688913563986,9
LONG,9:30-10:30,0.40%,1.00%,0.50%,26,0.5769230769230769,0.8941042806400903,-0.0002316362628753133,-0.006022542834758146,-0.020160968426723408,3
BOTH,9:30-10:00,0.50%,1.00%,0.40%,46,0.45652173913043476,0.8852874171371138,-0.0002447433608353421,-0.011258194598425735,-0.04766152950949469,6
BOTH,9:30-11:00,0.50%,2.00%,0.40%,76,0.42105263157894735,0.8849185511251918,-0.00026349806981500076,-0.020025853305940058,-0.06373545435331567,8
BOTH,9:30-10:00,0.60%,1.00%,0.50%,46,0.43478260869565216,0.8796588357989386,-0.0003153767311636636,-0.014507329633528526,-0.0554106645445975,9
LONG,9:30-12:00,0.40%,1.00%,0.50%,38,0.5789473684210527,0.8641178021543309,-0.0002897934704904636,-0.011012151878637617,-0.026892297974936242,2
BOTH,9:30-12:00,0.60%,2.00%,0.40%,90,0.37777777777777777,0.8632978893911533,-0.00033579976557002254,-0.030221978901302026,-0.08749553971196633,11
BOTH,9:30-10:00,0.50%,1.00%,0.30%,46,0.41304347826086957,0.8615164419053809,-0.0002714631137471668,-0.012487303232369674,-0.03989063814343863,6
BOTH,9:30-11:00,0.60%,2.00%,0.50%,76,0.39473684210526316,0.8610514302574415,-0.00037997108970219646,-0.028877802817366932,-0.07648740386474256,11
BOTH,9:30-11:00,0.40%,2.00%,0.30%,76,0.40789473684210525,0.8546253365375692,-0.00028512182422486804,-0.02166925864108997,-0.049877920371337495,8
