symbol,direction,entry,entry_time,mfe_pct,mae_pct,final_pct,hold_bars,tier
TOST,long,25.8952,2026-02-13 08:25:00-05:00,10.039698476937819,0.9468936327968138,5.840850814050478,115,core
TOST,short,27.61,2026-02-17 09:55:00-05:00,1.3219847881202407,3.6580948931546597,0.018109380659177853,84,core
TOST,short,28.1362,2026-02-18 09:55:00-05:00,2.3677682131915465,0.724333776416151,1.2499911146494462,83,core
TOST,short,27.54,2026-02-19 07:55:00-05:00,2.3238925199709533,0.7984749455337657,-0.7625272331154715,98,expanded
TOST,long,27.55,2026-02-20 09:55:00-05:00,1.7785843920145132,2.0689655172413803,-1.644283121597094,79,core
TOST,long,25.35,2026-02-23 11:00:00-05:00,2.169625246548312,1.420118343195278,-0.9672583826430001,80,expanded
TOST,long,24.75,2026-02-24 09:55:00-05:00,4.025858585858591,1.3737373737373733,2.828282828282825,84,expanded
TOST,short,25.96,2026-02-25 11:25:00-05:00,0.19260400616333093,3.890600924499222,-3.043143297380582,69,expanded
TOST,long,27.42,2026-02-26 11:05:00-05:00,3.3187454412837223,1.5317286652078836,1.2035010940918973,83,expanded
TOST,long,27.51,2026-02-27 11:35:00-05:00,0.8724100327153705,1.944747364594693,-0.7633587786259572,67,expanded
TOST,short,27.07,2026-03-02 10:40:00-05:00,0.9050609530845991,2.308828961950499,-0.8496490579977851,72,expanded
TOST,short,26.91,2026-03-03 05:20:00-05:00,1.3377926421404662,10.739502043849871,-8.695652173913043,120,expanded
TOST,short,28.8,2026-03-04 09:55:00-05:00,0.3819444444444425,2.6388888888888817,-2.326388888888882,89,core
TOST,short,30.11,2026-03-05 10:05:00-05:00,2.12553968781136,1.461308535370313,-1.2952507472600483,87,expanded
TOST,long,29.83,2026-03-06 10:10:00-05:00,4.089842440496153,0.033523298692584684,1.542071739859205,82,expanded
