symbol,date,entry_time,score,support,touches,entry_price,mfe,mae,pnl
META,2026-02-09,2026-02-09 14:34:00+00:00,13,662.1,71,668.48367,0.003494969443307552,-0.014515941728239957,-0.013588469558276545
META,2026-02-11,2026-02-11 14:32:00+00:00,13,675.3,47,679.2958319999999,-0.00019996000799830713,-0.01957296272649573,-0.014634024723413713
META,2026-03-04,2026-03-04 13:30:00+00:00,12,656.69,55,658.68171,0.0011056781886353206,-0.002370963055889237,-0.0008831427853066242
META,2026-04-01,2026-04-01 13:35:00+00:00,14,577.15,75,581.876352,0.005368233284036267,-0.01384547072983634,-0.00838898501927776
META,2026-04-07,2026-04-07 22:37:00+00:00,12,582.05,30,585.6170999999999,0.02114504511565674,-0.00019996000799829224,0.017729844295871936
META,2026-04-10,2026-04-10 13:34:00+00:00,13,635.0808,51,636.452265,0.0033431179634501413,-0.01075047631419777,-0.008535227696927168
META,2026-06-03,2026-06-03 13:32:00+00:00,14,601.93,71,606.601296,0.012872877211920628,-0.0009912540641852626,0.012592627233687877
NVDA,2025-12-15,2025-12-15 13:02:00+00:00,14,176.92,80,176.14552206,0.007405683237043387,-0.0012803167367671372,0.005589003503958873
NVDA,2026-01-05,2026-01-05 14:31:00+00:00,12,191.74,73,192.71843598,0.004730030188157953,-0.017270978581132957,-0.013223623194329443
NVDA,2026-01-06,2026-01-06 13:06:00+00:00,12,189.195,79,189.667926,0.0005908959008704872,-0.0013071582804148275,0.0005908959008704872
NVDA,2026-01-29,2026-01-29 21:21:00+00:00,9,190.83,45,192.88857,-9.627320063590423e-05,-0.005799047605568215,-0.005464657651824553
NVDA,2026-02-04,2026-02-04 21:12:00+00:00,10,175.375,53,177.33546,0.003465409568960301,-0.005162306512188957,0.001153407220417057
NVDA,2026-02-19,2026-02-19 15:04:00+00:00,12,186.8846,60,187.46808611999998,0.004384286931237441,-0.0015367208678685063,0.0041373115608783215
NVDA,2026-02-25,2026-02-25 21:34:00+00:00,13,196.59,52,201.700332,0.008872905573601169,-0.01165259361100114,-0.0029763560329687942
NVDA,2026-03-16,2026-03-16 12:03:00+00:00,12,182.36,79,182.92657799999998,0.0024240435963330965,-0.005885301150716238,0.0014187222154236794
NVDA,2026-03-25,2026-03-25 12:03:00+00:00,11,177.65,80,178.175628,0.0010909011641031822,-0.008337997832116474,-0.004858285107321113
NVDA,2026-04-01,2026-04-01 11:22:00+00:00,12,175.63,65,176.820357,0.0027126005632937956,-0.0012462196306956162,0.0009594087630985145
NVDA,2026-04-07,2026-04-07 22:37:00+00:00,13,178.33,48,180.7351398,0.011922751726003718,-0.0009690412179602653,0.00865830630242497
NVDA,2026-04-14,2026-04-14 20:03:00+00:00,13,195.91,53,196.66932599999998,0.0012237495541120263,-0.012846568661144392,-0.0012987587093270026
NVDA,2026-04-20,2026-04-20 20:09:00+00:00,11,201.1101,59,202.40277246,-0.00011251061298826427,-0.0025828325059297896,-0.0013476715594590268
