sym,date,gap_pct,gap_bucket,rvol,ret_2h
DASH,2024-02-22,6.573,gap_2plus,1.5,-1.5295
DASH,2024-10-31,5.846,gap_2plus,2.7,-0.2355
DDOG,2022-01-26,5.694,gap_2plus,1.59,-1.1934
DDOG,2022-04-22,1.602,gap_1_2,1.54,-1.9635
DDOG,2022-05-10,4.088,gap_2plus,1.52,-6.8709
DDOG,2022-05-17,3.262,gap_2plus,1.72,-8.3571
DDOG,2022-07-27,5.178,gap_2plus,1.54,2.0134
DDOG,2022-10-20,3.405,gap_2plus,1.55,5.7496
DDOG,2022-12-13,7.932,gap_2plus,1.51,-2.2538
DDOG,2023-01-26,3.435,gap_2plus,1.73,-1.555
DDOG,2023-02-01,1.791,gap_1_2,1.72,0.0065
DDOG,2023-02-02,4.825,gap_2plus,1.6,0.2647
DDOG,2023-05-04,6.89,gap_2plus,3.13,4.8228
DDOG,2023-05-10,3.593,gap_2plus,2.0,0.7688
DDOG,2023-07-12,3.111,gap_2plus,1.69,0.1409
DDOG,2023-07-25,3.848,gap_2plus,1.88,0.8355
DDOG,2023-11-02,2.148,gap_2plus,1.84,-5.3666
DDOG,2023-11-07,24.344,gap_2plus,6.78,0.9776
DDOG,2023-12-14,1.467,gap_1_2,1.72,-1.9406
DDOG,2024-02-02,3.982,gap_2plus,1.75,0.8991
DDOG,2024-04-11,1.558,gap_1_2,2.42,1.4861
DDOG,2024-04-23,2.851,gap_2plus,2.0,0.3966
DDOG,2024-05-08,1.437,gap_1_2,1.86,1.7217
DDOG,2024-06-12,2.054,gap_2plus,1.65,0.2329
DDOG,2024-06-13,1.125,gap_1_2,1.53,-0.5962
DDOG,2024-08-08,6.437,gap_2plus,2.56,-3.7111
DDOG,2024-10-04,1.727,gap_1_2,2.12,1.1743
DDOG,2024-10-08,1.095,gap_1_2,1.52,0.0161
DDOG,2024-11-21,4.851,gap_2plus,2.03,1.0927
DDOG,2024-11-22,3.24,gap_2plus,3.04,1.118
DDOG,2024-12-04,2.033,gap_2plus,1.77,2.691
DHR,2022-07-21,7.747,gap_2plus,2.38,0.6621
DHR,2022-09-15,2.406,gap_2plus,1.9,-0.336
DHR,2023-04-18,1.462,gap_1_2,1.72,-1.321
DHR,2023-10-02,1.158,gap_1_2,2.84,-2.7753
DHR,2023-12-14,1.748,gap_1_2,1.96,-1.736
DHR,2024-01-26,4.059,gap_2plus,2.67,1.0273
DHR,2024-01-30,4.298,gap_2plus,2.12,-0.6459
ENPH,2022-01-04,1.681,gap_1_2,1.74,-7.7874
ENPH,2022-04-27,10.187,gap_2plus,3.37,-2.5877
ENPH,2022-07-27,8.828,gap_2plus,4.12,5.052
ENPH,2022-07-28,6.527,gap_2plus,2.88,0.2819
ENPH,2022-09-06,1.431,gap_1_2,1.55,3.2942
ENPH,2023-01-09,1.177,gap_1_2,1.51,-1.2694
ENPH,2023-02-08,8.053,gap_2plus,3.22,-4.5444
ENPH,2023-03-20,3.121,gap_2plus,1.52,1.9813
ENPH,2023-03-21,2.259,gap_2plus,1.59,4.6162
ENPH,2023-04-27,1.698,gap_1_2,2.11,-1.3812
ENPH,2023-09-19,1.98,gap_1_2,1.95,1.8343
ENPH,2023-12-19,2.097,gap_2plus,2.16,1.9602
ENPH,2024-02-07,18.932,gap_2plus,4.25,-3.4837
ENPH,2024-03-27,1.235,gap_1_2,1.59,4.4868
ENPH,2024-04-04,1.677,gap_1_2,1.66,2.5556
ENPH,2024-07-11,4.88,gap_2plus,1.59,-1.0821
ENPH,2024-07-24,5.474,gap_2plus,3.79,6.7092
ENPH,2024-10-24,1.569,gap_1_2,1.81,1.5362
FANG,2022-01-04,1.126,gap_1_2,2.62,2.432
FANG,2022-05-03,5.123,gap_2plus,1.88,1.788
FANG,2022-12-12,1.026,gap_1_2,1.52,1.6039
FANG,2023-09-27,1.407,gap_1_2,1.87,1.1923
FANG,2023-10-12,1.16,gap_1_2,1.76,0.2618
FANG,2024-02-12,5.599,gap_2plus,5.1,3.3369
FANG,2024-02-14,1.201,gap_1_2,1.87,0.3376
FANG,2024-08-06,3.879,gap_2plus,1.63,-0.0996
FANG,2024-09-27,1.015,gap_1_2,1.63,0.4832
FANG,2024-11-06,2.082,gap_2plus,1.62,1.1563
FAST,2022-01-19,3.861,gap_2plus,2.11,-0.607
FAST,2023-04-12,1.11,gap_1_2,1.73,-1.0514
FAST,2023-10-12,4.809,gap_2plus,5.87,1.5748
FAST,2024-01-18,4.163,gap_2plus,4.67,0.5666
FAST,2024-11-06,3.436,gap_2plus,2.42,1.1162
FCX,2022-01-12,4.683,gap_2plus,1.84,-1.0382
FCX,2022-03-01,1.246,gap_1_2,1.51,0.4646
FCX,2022-04-27,4.699,gap_2plus,1.51,0.6832
FCX,2022-11-04,9.967,gap_2plus,1.9,0.3912
FCX,2023-01-06,2.211,gap_2plus,1.68,2.5851
FCX,2023-01-09,2.207,gap_2plus,1.71,0.8177
FCX,2023-01-18,2.512,gap_2plus,1.81,0.2305
FCX,2023-07-25,2.106,gap_2plus,1.59,1.5666
FCX,2023-12-01,1.445,gap_1_2,1.97,3.0698
FCX,2023-12-08,1.852,gap_1_2,1.91,1.6339
FCX,2024-01-23,1.795,gap_1_2,2.05,-0.3519
FCX,2024-04-02,1.115,gap_1_2,1.62,-0.9446
FCX,2024-09-26,5.709,gap_2plus,3.01,0.6159
