symbol,date,score,tp,sl,pnl,exit_type,entry_price,mfe,mae
QQQ,2026-05-11,6,0.005,0.0025,-0.00070894055541515,avg,712.26,0.0002107376519809,0.0016286187628112
QQQ,2026-05-12,7,0.005,0.0025,-0.0025,sl,706.28,0.0018123123973494,0.0071218213739592
QQQ,2026-05-12,6,0.005,0.0025,-0.0025,sl,705.89,0.0012608196744535,0.0040941223136749
QQQ,2026-05-12,6,0.005,0.0025,-0.0025,sl,706.85,0.0021645327863054,0.0047110419466646
QQQ,2026-05-15,6,0.005,0.0025,-0.0025,sl,708.52,0.0023146841302997,0.0121944334669451
QQQ,2026-05-15,6,0.005,0.0025,-0.0025,sl,707.31,0.0024883007450764,0.004297974014223
QQQ,2026-05-18,6,0.005,0.0025,0.0019861326651195,avg,702.37,0.0043139655737004,0.0003417002434614
QQQ,2026-05-19,6,0.005,0.0025,0.005,tp,699.41,0.0059478703478645,0.0002716575399265
QQQ,2026-05-20,6,0.005,0.0025,-0.0025,sl,704.85,0.0010498687664042,0.0047953465276299
QQQ,2026-05-20,6,0.005,0.0025,-0.0025,sl,710.24,0.0009715025906736,0.0035199369227303
QQQ,2026-05-21,6,0.005,0.0025,0.00126876718122225,avg,709.35,0.0036371325861704,0.0010995982237259
QQQ,2026-05-22,6,0.005,0.0025,0.00080797949403765,avg,717.84,0.0026328986960882,0.0010169397080129
QQQ,2026-05-29,6,0.005,0.0025,0.00023062730627310005,avg,737.12,0.0010988712828305,0.0006376166702843
QQQ,2026-06-02,6,0.005,0.0025,-0.0025,sl,740.55,0.001782458983188,0.00425359530079
QQQ,2026-06-03,6,0.005,0.0025,0.005,tp,746.39,0.0072080279746513,0.0007233483835528
QQQ,2026-06-03,6,0.005,0.0025,0.005,tp,746.39,0.0072080279746513,0.0007233483835528
QQQ,2026-06-05,7,0.005,0.0025,0.0009417738104986499,avg,732.66,0.0023339611825402,0.0004504135615429
QQQ,2026-06-08,6,0.005,0.0025,-0.0025,sl,715.775,0.0037791205336871,0.0038769166288288
QQQ,2026-06-09,6,0.005,0.0025,0.00041589264424555,avg,721.34,0.0012615410208779,0.0004297557323868
QQQ,2026-06-09,6,0.005,0.0025,-0.0025,sl,721.7,0.001829014826105,0.0054870444783149
QQQ,2026-06-09,6,0.005,0.0025,-0.0025,sl,702.77,0.0022624756321414,0.002845881298291
QQQ,2026-06-10,6,0.005,0.0025,0.0003653556845046998,avg,697.95,0.0028368794326241,0.0021061680636147
QQQ,2026-06-10,6,0.005,0.0025,-0.0025,sl,699.87,0.0003572091959935,0.0132881820909596
QQQ,2026-06-10,6,0.005,0.0025,-0.0025,sl,697.28,0.0015775585130794,0.007687012391005
QQQ,2026-06-10,6,0.005,0.0025,-0.0025,sl,697.98,0.0026505057451503,0.0026505057451503
QQQ,2026-06-10,6,0.005,0.0025,0.0016558783682072,avg,697.515,0.0038780528017319,0.0005662960653175
QQQ,2026-06-11,6,0.005,0.0025,-0.0025,sl,701.45,0.0027086748877326,0.0041913179841755
NVDA,2025-12-15,6,0.005,0.0025,0.005,tp,177.23,0.0087456976809794,0.006545167296733
NVDA,2025-12-15,6,0.005,0.0025,0.005,tp,177.0042,0.0074811784127155,0.0056823510402577
NVDA,2025-12-15,6,0.005,0.0025,0.005,tp,177.0042,0.0074811784127155,0.0056823510402577
NVDA,2025-12-15,6,0.005,0.0025,-0.00019135234175189988,avg,177.1601,0.001976178609066,0.0023588832925698
NVDA,2025-12-16,6,0.005,0.0025,-0.0025,sl,176.325,0.0003334751169714,0.003686374592372
NVDA,2025-12-17,6,0.005,0.0025,0.005,tp,173.43,0.013838436256703,0.000115320302139
NVDA,2025-12-17,6,0.005,0.0025,-0.0025,sl,171.1,0.0021624780829924,0.007948568088837
NVDA,2025-12-17,6,0.005,0.0025,0.0008292552843094001,avg,170.9968,0.0022620306344913,0.0006035200658725
NVDA,2025-12-18,6,0.005,0.0025,0.005,tp,173.85,0.0116767328156456,0.001243600805292
NVDA,2025-12-19,7,0.005,0.0025,0.00147400646295135,avg,176.39,0.0037417087136458,0.0007936957877431
NVDA,2025-12-22,7,0.005,0.0025,0.00026410074242865,avg,183.2634,0.0013827092589136,0.0008545077740563
NVDA,2025-12-23,6,0.005,0.0025,7.950810982720001e-05,avg,188.66,0.0008480865048234,0.000689070285169
NVDA,2025-12-30,6,0.005,0.0025,0.005,tp,188.12,0.0055283861365085,0.001294918137359
NVDA,2025-12-30,6,0.005,0.0025,0.0014178111359523498,avg,187.86,0.0041520281060364,0.0013164058341317
NVDA,2025-12-30,7,0.005,0.0025,0.0014178111359523498,avg,187.86,0.0041520281060364,0.0013164058341317
NVDA,2025-12-30,6,0.005,0.0025,0.00021279425455505004,avg,187.975,0.0009309748636785,0.0005053863545684
NVDA,2025-12-31,6,0.005,0.0025,0.005,tp,189.11,0.0053936862143726,0.0004753846967373
NVDA,2026-01-02,6,0.005,0.0025,0.00024205806433885,avg,189.2108,0.0009555479919751,0.0004714318632974
NVDA,2026-01-05,6,0.005,0.0025,0.005,tp,191.77,0.0124107003180895,0.0096991187359857
NVDA,2026-01-05,6,0.005,0.0025,0.005,tp,191.12,0.0090519045625785,0.0012086647132691
NVDA,2026-01-05,7,0.005,0.0025,-0.0025,sl,187.46,0.0024805291795583,0.0030406486717165
NVDA,2026-01-05,6,0.005,0.0025,0.0010119840213049,avg,187.75,0.0028229027962716,0.0007989347536618
