pnl,result,slack
-25.0,loss,0.6343221465891834
-25.0,loss,1.1238608933447038
100.0,win,0.7159149256498251
-25.0,loss,0.6371781075234921
100.0,win,0.6345075348295877
-25.0,loss,0.6087759512749019
-25.0,loss,0.6195695235895005
-25.0,loss,1.33238285381419
-25.0,loss,0.7966678300672863
100.0,win,0.6527162040339459
-25.0,loss,0.67650912456715
100.0,win,1.677288240393445
-25.0,loss,0.6623155797285337
-25.0,loss,0.9077115292687841
-25.0,loss,0.8472053168462644
-25.0,loss,0.7593341997402655
100.0,win,1.4855438216153423
-25.0,loss,0.7017854110531626
-25.0,loss,0.6282730153775615
-25.0,loss,0.9757926757402309
-25.0,loss,0.9219212533438323
-25.0,loss,1.0270028915753397
-25.0,loss,0.847751827500177
100.0,win,0.7353921616869418
-25.0,loss,4.627299024569293
-25.0,loss,1.0325021741348879
100.0,win,0.6307568385750144
100.0,win,0.6338250009147823
-25.0,loss,0.9400967929674274
-25.0,loss,1.0794952263363122
-25.0,loss,0.7435417309733547
-25.0,loss,0.920771270246052
-25.0,loss,0.7717160879658889
-25.0,loss,0.9107342169894868
-25.0,loss,1.4034976056637913
-25.0,loss,0.6750929065862947
-25.0,loss,0.8383523520417735
-25.0,loss,1.2736315345053224
-25.0,loss,0.6798989692206909
-25.0,loss,0.7211256966628199
100.0,win,0.7623290124407345
100.0,win,0.6458921590445084
100.0,win,0.7644283928549743
-25.0,loss,1.7035125614694913
-25.0,loss,0.6048735289530776
-25.0,loss,0.7876230234067423
-25.0,loss,0.6363511705109373
-25.0,loss,1.451745164216458
-25.0,loss,0.8250515137637796
100.0,win,0.9849549295370612
-25.0,loss,1.108773091277145
-25.0,loss,0.7091239792780876
-25.0,loss,0.9498807309896831
100.0,win,1.3641485966319042
-25.0,loss,0.7611056130267465
-25.0,loss,0.6825691705042535
-25.0,loss,1.0521473596618502
100.0,win,0.9303408247513311
-25.0,loss,0.9178940569553008
-25.0,loss,4.305960431943796
-25.0,loss,0.8679343215586288
-25.0,loss,0.674790745976265
-25.0,loss,0.6338006749487659
-25.0,loss,0.940709069727879
-25.0,loss,1.1363737719283475
-25.0,loss,0.6564411179300289
-25.0,loss,0.9303750596651754
-25.0,loss,0.7291501461377431
-25.0,loss,0.9281327839439265
-25.0,loss,0.6770770763885888
100.0,win,0.6623025239359419
100.0,win,0.6779430531156284
100.0,win,0.6167168455273779
-25.0,loss,1.184532172644776
-25.0,loss,0.7704079607209399
-25.0,loss,0.6802211481357214
-25.0,loss,1.0956232370745151
100.0,win,0.8487665918576804
100.0,win,0.7351266217181353
-25.0,loss,0.690683675966268
100.0,win,0.7581737871692726
-25.0,loss,2.9834862907132464
-25.0,loss,2.120112019746547
-25.0,loss,0.7467165487745909
100.0,win,0.8259021615770472
-25.0,loss,2.20442975023016
-25.0,loss,1.09123645908653
-25.0,loss,1.2128556861275253
100.0,win,0.7381719986128575
-25.0,loss,0.9995836162035064
-25.0,loss,0.8527291719314752
-25.0,loss,0.871426083247322
-25.0,loss,1.5774422821005762
-25.0,loss,0.6531086444677753
-25.0,loss,0.6183326380353177
-25.0,loss,1.0903717761037899
-25.0,loss,1.2348502346085501
-25.0,loss,0.6276995614338065
-25.0,loss,0.6097321973672231
100.0,win,0.685448408894945
-25.0,loss,0.7580535152930459
-25.0,loss,1.1192076260473236
100.0,win,0.6334898148807383
-25.0,loss,1.2966542345866763
-25.0,loss,3.9952423473778307
-25.0,loss,0.8629427351763356
-25.0,loss,0.8143824781830009
100.0,win,0.6713129539538601
-25.0,loss,0.9863423195485589
100.0,win,0.6104589490804659
-25.0,loss,0.734462947217862
100.0,win,0.6066975834272468
-25.0,loss,0.605067679879227
-25.0,loss,0.6495918244910881
-25.0,loss,1.3007192073100426
-25.0,loss,0.9559135822727681
