date,mfe_15m_long,mfe_30m_long,mfe_60m_long,mfe_15m_short,mfe_30m_short,mfe_60m_short,mfe_60m_best,pm_high_broken,pm_low_broken,pm_high,pm_low,pm_range,pm_vol,pm_open,prev_close,rth_open,gap_pct,pm_vol_ma20,pm_vol_ratio
2026-01-09,0.23818142329689163,0.23818142329689163,0.38948816332441244,0.02751031636862968,0.02751031636862968,0.21284297400999455,0.38948816332441244,True,True,692.4,690.63,0.25628773728334736,2650.0,690.75,689.81,690.65,0.12177266203737723,1801.0,1.4714047751249306
2026-01-12,0.36920136676899123,0.46620721607691373,0.46620721607691373,0.007239242485659716,0.007239242485659716,0.007239242485659716,0.46620721607691373,True,False,690.58,690.23,0.050707735102795116,889.0,690.55,,690.68,,1769.15,0.5025012011417912
2026-01-13,0.08195307108351306,0.08195307108351306,0.08195307108351306,0.08914193696802458,0.2027260179434047,0.4931561996779316,0.4931561996779316,False,True,697.28,694.37,0.41908492590405233,4100.0,694.37,695.18,695.52,0.048908196438337104,1884.65,2.1754702464648608
2026-01-14,0.10419681620839759,0.10419681620839759,0.10419681620839759,0.25759768451519144,0.4819102749638265,0.4819102749638265,0.4819102749638265,True,True,691.4,690.77,0.09120257104390687,2091.0,691.35,693.91,691.0,-0.41936274156590453,1856.5,1.1263129544842445
2026-01-15,0.017276876340758245,0.017276876340758245,0.021596095425943714,0.14829318859151508,0.20012381761378983,0.20012381761378983,0.20012381761378983,True,False,693.93,692.75,0.17033561891013352,1546.0,692.8,690.64,694.57,0.5690374145720004,1890.7,0.8176865711112287
2026-01-16,0.08361324549137789,0.08361324549137789,0.08361324549137789,0.08073003012959268,0.27246385168739984,0.32003690515661826,0.32003690515661826,True,True,693.36,693.21,0.021638464534553346,130.0,693.21,692.15,693.67,0.2196055768258299,1650.95,0.07874254217268845
2026-01-20,0.2611923872690682,0.267061879117806,0.3712453594330031,0.014673729621861325,0.014673729621861325,0.08510763180678234,0.3712453594330031,True,False,682.69,680.61,0.3056082044048781,3600.0,682.41,,681.49,,1728.25,2.0830319687545207
2026-01-21,0.15449128227765294,0.4634738468329254,0.5546972706540104,0.10005149709408519,0.10005149709408519,0.10005149709408519,0.5546972706540104,True,False,680.16,676.22,0.5826506166632073,2570.0,676.82,677.64,679.65,0.29661767310076015,1599.45,1.606802338303792
2026-01-22,0.11886642023627401,0.11886642023627401,0.11886642023627401,0.13481191563384265,0.37689352757846234,0.42473001377111885,0.42473001377111885,True,True,690.03,688.81,0.17711705695330024,1695.0,689.23,685.66,689.85,0.611090044628541,1612.5,1.0511627906976744
2026-01-23,0.07701809198575496,0.15258301242462663,0.24705369468866095,0.14386398314321136,0.14386398314321136,0.14386398314321136,0.24705369468866095,True,True,688.58,687.35,0.17894813413836008,660.0,688.56,688.81,688.15,-0.09581742425341797,1538.65,0.4289474539368927
2026-01-26,0.28531290280533944,0.3128303908931551,0.42434863209117696,0.0796558865700274,0.0796558865700274,0.0796558865700274,0.42434863209117696,True,False,689.1,689.1,0.0,40.0,689.1,,690.47,,1500.45,0.026658669065946883
2026-01-27,0.03169206833962766,0.18727131291596824,0.18727131291596824,0.08787346221439685,0.08787346221439685,0.08787346221439685,0.18727131291596824,True,True,694.58,694.02,0.08068931731074884,400.0,694.58,692.67,694.18,0.21799702600083606,1493.2,0.2678810608090008
2026-01-28,0.11189854531892325,0.11189854531892325,0.11189854531892325,0.015780564083421794,0.022953547757720738,0.14776346369035273,0.14776346369035273,True,True,696.95,696.68,0.03875523913419296,688.0,696.74,695.35,697.06,0.24591932120513735,1473.25,0.46699473952146614
2026-01-29,0.10196022115314463,0.10196022115314463,0.10196022115314463,0.5198535219358088,0.8573274933582289,1.1201263732318616,1.1201263732318616,True,True,696.76,696.19,0.08187420100833627,880.0,696.62,694.11,696.35,0.32271541974615103,1453.75,0.6053310404127257
2026-01-30,0.278990430483689,0.278990430483689,0.3281390037295068,0.06504958223711756,0.08066148197403694,0.1286536182023167,0.3281390037295068,True,False,692.12,690.24,0.27236903106165905,2532.0,691.96,694.25,691.78,-0.35577961829312604,1566.6,1.6162389888931445
2026-02-02,0.456799791177235,0.6177673366396924,0.8831462629426489,0.02247745004206711,0.02247745004206711,0.02247745004206711,0.8831462629426489,True,False,689.75,688.29,0.2121198913248829,1717.0,688.64,,689.58,,1625.3,1.0564203531655694
2026-02-03,0.10772611711983454,0.10772611711983454,0.10772611711983454,0.1874434437885212,0.4933856164088506,0.7770643914910849,0.7770643914910849,False,True,697.26,696.38,0.126367787702116,1502.0,697.17,694.95,696.21,0.18130800777034187,1657.4,0.9062386871002774
2026-02-04,0.1361628159629088,0.1593394654885236,0.1593394654885236,0.19690012312596158,0.45918736872601906,0.5562395886144755,0.5562395886144755,True,True,690.81,689.71,0.15948732075798655,644.0,690.12,689.67,690.35,0.09859788014558611,1634.4,0.39402838962310327
2026-02-05,0.3553910770405555,0.40385349663700176,0.40385349663700176,0.32161423914002035,0.32161423914002035,0.6997679678092196,0.6997679678092196,True,True,683.37,680.63,0.40256820886531736,2187.0,683.22,686.53,680.94,-0.8142397273243585,1648.15,1.3269423292782816
2026-02-06,0.6471399641945188,0.741055968068552,0.741055968068552,0.08951369119244176,0.08951369119244176,0.08951369119244176,0.741055968068552,True,False,681.66,680.71,0.13956016512170114,970.0,680.72,677.69,681.46,0.5563015538077855,1574.55,0.6160490298815535
2026-02-09,0.31185634301298065,0.32128455803429434,0.5091236111514014,0.15665341881580563,0.15665341881580563,0.15665341881580563,0.5091236111514014,True,True,691.2,689.22,0.28728127448420215,1226.0,690.76,,689.42,,1503.35,0.8155120231483022
2026-02-10,0.08633714655729319,0.17411324555722318,0.21368443772931864,0.21512339017195548,0.21512339017195548,0.21512339017195548,0.21512339017195548,True,False,694.86,693.32,0.22211965614722834,1474.0,693.32,694.23,694.95,0.10371202627371724,1532.6,0.9617643220670756
2026-02-11,0.10194850882357688,0.10194850882357688,0.10194850882357688,0.1845124420257554,0.37692230374912056,1.041023505592809,1.041023505592809,True,True,696.37,692.94,0.494992351430131,2435.0,692.94,692.38,696.43,0.5849389063808825,1449.35,1.6800634767309484
2026-02-12,0.15411649478597253,0.15411649478597253,0.15411649478597253,0.09794319294808292,0.2823068502621309,0.30535230742639924,0.30535230742639924,True,True,695.16,693.65,0.21768903625747726,1670.0,693.73,692.01,694.28,0.3280299417638447,1428.3,1.1692221522089197
2026-02-13,0.12175800962328967,0.24058209130385227,0.32419903767164016,0.6102570120877785,0.6102570120877785,0.6102570120877785,0.6102570120877785,True,True,682.69,678.84,0.5671439514465887,2802.0,680.42,681.03,681.68,0.09544366621147046,1491.1,1.879149621085105
2026-02-17,0.3940481091572002,0.3940481091572002,0.3940481091572002,0.013232958889612397,0.5660765747221113,0.5660765747221113,0.5660765747221113,True,True,680.16,677.3,0.4222648752399253,2270.0,678.34,,680.12,,1598.1,1.4204367686627872
2026-02-18,0.21198520489467193,0.3786494349497861,0.6513062674522363,0.172512097776341,0.172512097776341,0.172512097776341,0.6513062674522363,True,True,685.5,683.83,0.24421274293317916,930.0,685.41,682.81,684.01,0.17574435055140458,1464.6,0.6349856616140926
2026-02-19,0.13014359664258568,0.2866083701342433,0.33925072383235405,0.20325797677887086,0.20325797677887086,0.20325797677887086,0.33925072383235405,True,True,684.35,683.2,0.16832552693208097,1409.0,684.08,686.03,683.86,-0.3163126976954301,1406.55,1.0017418506274218
2026-02-20,0.4440731621526516,0.47558330402157406,1.0376362996834223,0.08646969164029074,0.08646969164029074,0.08646969164029074,1.0376362996834223,True,True,684.54,682.15,0.3503628234259307,1390.0,684.54,684.45,682.32,-0.3111987727372336,1391.3,0.999065622080069
2026-02-23,0.31694338635107294,0.31694338635107294,0.31694338635107294,0.08432438719433004,0.25877409787444355,0.5146840743217778,0.5146840743217778,True,True,687.06,686.43,0.09177920545430641,340.0,686.43,,687.82,,1375.3,0.24721878862793573
2026-02-24,0.3900865229505746,0.5220706848511599,0.6763455052060371,0.2786332306789819,0.2786332306789819,0.2786332306789819,0.6763455052060371,True,True,683.58,682.14,0.21110036062979073,2438.0,682.4,682.32,681.9,-0.06155469574394312,1495.2,1.6305510968432315
2026-02-25,0.18980280792244822,0.26079775134382627,0.26079775134382627,0.013039887567196254,0.013039887567196254,0.013039887567196254,0.26079775134382627,True,False,690.55,689.48,0.15518941811219128,3577.0,689.74,687.43,690.19,0.4014954249887414,1654.05,2.162570659895408
2026-02-26,0.0057696745903642556,0.0057696745903642556,0.0057696745903642556,0.363489499192243,0.42264308792982996,1.2318255250403825,1.2318255250403825,False,True,693.98,693.48,0.0721001326642441,1690.0,693.6,693.04,693.28,0.03463003578437163,1704.15,0.9916967403104187
2026-02-27,0.17421602787457247,0.17421602787457247,0.35575205692033846,0.20788803326207933,0.20788803326207933,0.20788803326207933,0.35575205692033846,False,True,685.53,682.75,0.4071768582936613,5090.0,685.42,689.28,683.06,-0.9023909006499575,1914.65,2.6584493249418952
2026-03-02,0.6085162811256807,0.688080153234118,0.9812877560041208,0.10019154265508524,0.10019154265508524,0.10019154265508524,0.9812877560041208,True,True,680.62,678.21,0.3553471638577974,3144.0,678.64,,678.7,,1945.25,1.6162446986248553
2026-03-03,0.30368120879935834,0.30368120879935834,0.30368120879935834,0.3066439522998202,0.45922524257461067,0.7984593733797477,0.7984593733797477,True,True,677.01,673.76,0.48236760864402756,8804.0,676.79,686.2496,675.05,-1.6320009512573896,2299.6,3.8284919116368066
2026-03-04,0.2769831140061373,0.2769831140061373,0.6865894987016343,0.2948813872628832,0.2948813872628832,0.2948813872628832,0.6865894987016343,True,True,683.3,681.27,0.2979729035477818,2595.0,681.27,680.19,681.63,0.2117055528602215,2354.25,1.1022618668365722
2026-03-05,0.3489377923087066,0.5071620214933799,0.5072793115076052,0.032254753910892914,0.032254753910892914,0.36653129444191945,0.5072793115076052,True,True,683.9,681.54,0.3462746133755926,3650.0,683.68,684.67,682.07,-0.3797449866358843,2504.55,1.4573476273182806
2026-03-06,0.0994965770207397,0.0994965770207397,0.18265789512764047,0.4440220377492997,0.5390635441571743,0.5390635441571743,0.5390635441571743,False,True,678.33,672.06,0.9329524149629641,7709.0,677.28,681.21,673.39,-1.1479573112549801,2780.65,2.772373365939618
2026-03-09,0.18607722204715094,0.18607722204715094,0.18607722204715094,0.4546886958087566,0.5537297978661055,0.6002491033779018,0.6002491033779018,True,True,667.23,664.92,0.34741021476268713,3799.0,666.31,,666.39,,2922.1,1.300092399301872
2026-03-10,0.158622419619001,0.158622419619001,0.158622419619001,0.2774047896592931,0.38364492186923943,0.4352894305824092,0.4352894305824092,True,True,677.79,675.19,0.3850767931989379,3302.0,676.77,678.85,677.71,-0.16793105988067855,3025.9,1.0912455798274894
2026-03-11,0.14168905156891645,0.34536706319922544,0.37488561560942196,0.057561177199868106,0.20810579449183345,0.3461050270094627,0.37488561560942196,True,True,677.24,675.35,0.2798548900570054,2002.0,676.07,677.25,677.54,0.04282022886673512,3052.3,0.6558988303901975
2026-03-12,0.07748126294458328,0.07748126294458328,0.07748126294458328,0.23244378883374986,0.4391101574955676,0.47829779625408436,0.47829779625408436,False,True,672.31,670.65,0.2475210616565971,3155.0,672.25,676.05,671.13,-0.7277568227202069,3088.3,1.0215976427160574
2026-03-13,0.4258307434855401,0.4564606741573129,0.4564606741573129,0.04781257470713847,0.04781257470713847,0.23159215873774125,0.4564606741573129,True,True,669.78,668.48,0.19447103877452646,1847.0,669.53,666.29,669.28,0.4487535457533521,3097.15,0.5963547132040747
2026-03-16,0.3178023161863757,0.38303857318130674,0.45785079450578225,0.09725588772181483,0.09725588772181483,0.09725588772181483,0.45785079450578225,True,True,668.65,667.7,0.14227946682640882,3025.0,667.77,,668.34,,3108.3,0.9732007849950133
2026-03-17,0.24094593589648314,0.3108500037183062,0.3108500037183062,0.06544210604596631,0.06544210604596631,0.11749832676434555,0.3108500037183062,True,False,672.09,669.41,0.40035254925980546,2662.0,669.42,669.04,672.35,0.4947387301207789,3127.9,0.8510502253908373
2026-03-18,0.18404081815867976,0.2079810871874652,0.2079810871874652,0.06733200664343146,0.06733200664343146,0.390525638531865,0.390525638531865,False,True,672.1,667.2,0.7344124700239774,6144.0,672.1,670.86,668.33,-0.3771278657245883,3388.6,1.8131381691554034
2026-03-19,0.1035054873129595,0.3348706942478244,0.38053487982708495,0.2739851134755115,0.2739851134755115,0.2739851134755115,0.38053487982708495,False,True,659.59,656.43,0.4813917706381613,2076.0,658.86,661.48,656.97,-0.6818044385317759,3421.95,0.6066716345943103
2026-03-20,0.027417708793478192,0.027417708793478192,0.027417708793478192,0.2833163241991765,0.5559702060897743,0.7661726401730321,0.7661726401730321,False,True,656.87,655.6,0.1937156802928587,2170.0,656.14,660.01,656.51,-0.5302949955303707,3460.95,0.6269954781201693
2026-03-23,0.22794966871314817,0.34648349644399834,0.6428180657710806,0.2993738982432548,0.2993738982432548,0.2993738982432548,0.6428180657710806,True,False,659.6,655.36,0.6469726562500013,4613.0,655.52,,658.04,,3674.6,1.2553747346649975
2026-03-24,0.26407910090276876,0.26407910090276876,0.34786280169500766,0.22108947982559332,0.22108947982559332,0.22108947982559332,0.34786280169500766,False,True,655.02,651.0,0.6175115207373244,3094.0,655.02,654.8,651.32,-0.5314599877825145,3707.4,0.8345471219722717
2026-03-25,0.335519523896283,0.335519523896283,0.335519523896283,0.01214550312745601,0.45697455517094665,0.45697455517094665,0.45697455517094665,True,True,660.15,656.53,0.5513837905350867,10888.0,659.97,653.37,658.68,0.8127094907938757,4072.95,2.6732466639659216
2026-03-26,0.2561153285791079,0.40487692661607244,0.4278812974465267,0.2024384633080188,0.2024384633080188,0.2024384633080188,0.4278812974465267,True,False,652.06,650.31,0.2691024280727653,4664.0,650.67,657.04,652.05,-0.7594666991355182,4221.65,1.1047813058875084
2026-03-27,0.021010855608729763,0.021010855608729763,0.021010855608729763,0.4287770903855874,0.611804988132746,0.611804988132746,0.611804988132746,False,True,642.83,641.22,0.25108387137020266,10038.0,642.3,645.22,642.525,-0.41768699048387364,4469.05,2.2461149461294907
2026-03-30,0.03905517715428357,0.03905517715428357,0.03905517715428357,0.5217771667812334,0.849840654877219,0.849840654877219,0.849840654877219,True,True,639.99,637.84,0.33707512855888266,4688.0,637.86,,640.12,,4546.25,1.0311795435798736
