date,side,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,hit_+1.00%
2026-01-29,long,691.99,0.00867064552955179,0.4378675992427597,0.00867064552955179,0.45231867512536245,0.00867064552955179,0.9821673723608777,False,False,False,False
2026-01-29,long,691.57,0.01012189655420801,0.377402142950101,0.01012189655420801,0.4366875370533851,0.01012189655420801,0.9220324768280981,False,False,False,False
2026-01-30,long,690.4401,0.20275473571132416,0.026808987484943876,0.28820747809982655,0.026808987484943876,0.28820747809982655,0.24768260128576122,True,False,False,False
2026-02-02,short,693.72,0.23352361183186365,0.09802225681830566,0.23352361183186365,0.2810932364642697,0.23352361183186365,0.2926252666781948,False,False,False,False
2026-02-02,short,694.36,0.017282101503543486,0.18866294141366804,0.017282101503543486,0.18866294141366804,0.06336770551299824,0.20018434241603583,False,False,False,False
2026-02-02,short,694.51,0.03887633007443835,0.1670242329124085,0.03887633007443835,0.1670242329124085,0.08495198053304226,0.17854314552706355,False,False,False,False
2026-02-03,long,692.95,0.06564687206868494,0.1919330399018747,0.06564687206868494,0.3102676960819815,0.06926906703223963,0.3102676960819815,False,False,False,False
2026-02-03,long,692.57,0.12055099123553542,0.1371702499386409,0.12055099123553542,0.2555698340962062,0.12417517362864401,0.2555698340962062,False,False,False,False
2026-02-03,long,692.31,0.15815169504991297,0.09966633444554332,0.15815169504991297,0.21811038407649622,0.1617772385203167,0.21811038407649622,False,False,False,False
2026-02-04,long,687.28,0.3404725875916703,0.11203585147246856,0.5194389477360101,0.11203585147246856,0.5194389477360101,0.11203585147246856,True,True,False,False
2026-02-04,long,686.89,0.3974435499133804,0.05532181280845484,0.5765115229512784,0.05532181280845484,0.5765115229512784,0.05532181280845484,True,True,False,False
2026-02-04,long,687.07,0.18775379510093054,0.07859461190272858,0.20521926441264618,0.09897099276639405,0.20521926441264618,0.3980671547295055,False,False,False,False
2026-02-05,long,678.6,0.08989095195991949,0.2799882110226904,0.08989095195991949,0.39198349543176664,0.08989095195991949,0.39198349543176664,False,False,False,False
2026-02-05,long,678.55,0.09726622945988975,0.27264018863752254,0.09726622945988975,0.38464372559131976,0.09726622945988975,0.38464372559131976,False,False,False,False
2026-02-05,long,678.45,0.1120200456923857,0.25794089468641757,0.1120200456923857,0.3699609403788032,0.1120200456923857,0.3699609403788032,False,False,False,False
2026-02-05,short,681.05,0.23052639306951564,0.07121356728581069,0.3039424418177721,0.08002349313561014,0.3039424418177721,0.22979223258205048,True,False,False,False
2026-02-05,short,681.29,0.26567247427673174,0.007339018626439287,0.33906266054102446,0.08513261606658558,0.33906266054102446,0.19448399360038243,True,False,False,False
2026-02-06,short,686.34,0.4341871375703031,0.024769064894944057,0.4706122330040531,0.024769064894944057,0.4706122330040531,0.10199026721449016,True,False,False,False
2026-02-06,short,686.41,0.4443408458501412,0.011654841858370499,0.48076222665753043,0.011654841858370499,0.48076222665753043,0.09178187963462005,True,False,False,False
2026-02-06,short,686.91,0.3755950561208786,0.018925332285160423,0.3755950561208786,0.08880348226114246,0.3755950561208786,0.16013742702828943,True,False,False,False
2026-02-09,short,693.05,0.014428973378530994,0.10316715965659504,0.014428973378530994,0.22222061900296547,0.014428973378530994,0.24817834211096276,False,False,False,False
2026-02-09,short,693.0401,0.010114854825864321,0.10964733498103534,0.010114854825864321,0.22796660683847186,0.010114854825864321,0.24961037608068123,False,False,False,False
2026-02-09,short,693.25,0.00721240533717339,0.10818608005769925,0.00721240533717339,0.1976199062387313,0.00721240533717339,0.21925712225026786,False,False,False,False
2026-02-11,long,693.11,0.0,0.539596889382639,0.0,0.5670095655812301,0.0,0.5670095655812301,False,False,False,False
2026-02-11,long,692.66,0.012993387809319412,0.4749805099182808,0.012993387809319412,0.5024109952935089,0.012993387809319412,0.5024109952935089,False,False,False,False
