direction,max_fav,final_pnl,level_hit
short,0.47732696897375626,-0.8345422496763082,0.2
long,0.672275423564521,0.5389059047028122,0.2
long,0.3446783517264858,0.31994806640080625,0.2
short,0.04176398706862934,-0.617178920014232,0.04
long,1.169329368808627,0.6393566377543911,0.2
long,0.956246348737803,0.5319312486547862,0.2
long,0.880251939473063,0.46854597127274816,0.2
long,0.03721848771410194,-0.33952375526945633,0.03
long,0.282496659667879,-0.6986066043138073,0.2
short,1.6529556311909581,0.06257726766282785,0.2
short,0.0,-1.283799488649565,
long,0.5566145634769313,0.2897445672893599,0.2
short,0.004572613095977076,-0.3330386538226962,
short,0.32505120669695353,-0.34805711402024925,0.2
long,0.21940552961233686,0.173448965977329,0.2
long,0.23112138317257735,0.14593241181089733,0.2
long,0.404264771212797,0.31097290093292207,0.2
short,0.2159890683083835,0.10725987745926595,0.2
short,0.6584083310011509,-0.10899824719035059,0.2
short,0.13534739163854878,-0.051799619022147754,0.1
short,0.10530186534732826,-0.06518686902453473,0.1
short,0.1653748496592291,-1.3555726312976095,0.15
short,0.013209385268239839,-1.0319832240807094,
long,0.0646155375515659,-0.4738472753781688,0.06
long,0.0,-0.18111426814881806,
short,0.1895837509186863,-0.2204850671477334,0.15
long,0.5840887881615776,-0.8898813491534515,0.2
short,0.34138876276003105,0.23039537191194603,0.2
long,1.5573383671543004,1.0854176498348178,0.2
long,0.09967439696988321,-0.3006844308592031,0.08
short,0.11836884398653535,-0.19505851755525974,0.1
long,0.5076480085218403,-0.039946072801700275,0.2
short,0.2595198882068272,-0.7070253364608807,0.2
long,0.0,-0.4390380774753608,
long,0.05468827682212074,-0.18478008683835623,0.05
short,0.47420082239023975,0.42280143255072866,0.2
short,0.006678019299469701,-0.09265751778021804,
long,0.18820786142571544,-0.21485676215855493,0.15
long,0.0,-1.7908752234417593,
long,0.006688515818352838,-1.0718346598889654,
long,0.0,-1.1436597110754465,
long,0.25185510724970994,-0.265377529115473,0.2
long,0.12520938732001305,-0.12182534982488069,0.1
short,1.0588675904803913,1.0282251200163366,0.2
short,0.1413744353642868,-2.1326850798248342,0.1
long,2.0512996718607623,1.8726270036249895,0.2
long,0.44563731199675677,-0.6819601289647311,0.2
long,0.06894928023677656,-1.1603659356921796,0.06
long,0.41422629657924703,0.30048382989561084,0.2
long,0.0,-1.021151208277586,
long,0.6367791300775284,-0.03081189339085976,0.2
short,0.4765727755666713,0.0,0.2
short,0.2277514255869378,-0.11644433789406133,0.2
short,0.0,-0.9972754845010944,
long,0.23908030385240914,-0.09156266956049303,0.2
short,0.7690744003252603,0.1880336088900958,0.2
short,0.5298013245033121,-0.1307522499575449,0.2
short,0.282308124011491,-0.32992636179657736,0.2
short,0.13784653086231669,-0.2518677354027362,0.1
short,1.1477810701270408,1.135860495214753,0.2
long,0.18056076039928784,-0.6966919905971993,0.15
short,0.9083402146986,0.9083402146986,0.2
short,0.7370704096207197,0.6462591031722176,0.2
long,0.0,-0.6634201425647525,
short,0.22031910735226343,0.06929391279629367,0.2
short,0.20170068329438362,-0.07374958904595819,0.2
short,0.8670469194229049,0.6021649684790422,0.2
short,0.6731128799615518,0.6392791637729992,0.2
short,0.7538137258404535,0.2750884212782818,0.2
long,2.0666642746941437,2.030784686591807,0.2
long,0.547645125958383,0.10776242801116731,0.2
long,0.0580138178365992,-0.08614172951497093,0.05
short,0.5889482579081124,0.3533689547448636,0.2
long,0.357378538433197,-1.5966336141511515,0.2
long,0.17006948064711944,-0.059823435403493525,0.15
long,0.9745588838736229,0.3128846942962729,0.2
long,0.011893434823985666,-1.1859453581622783,
short,0.5039906426310828,-0.5831154534195655,0.2
short,0.47394175820415113,0.34904013961606906,0.2
short,0.36313184083861033,-4.280502218187426,0.2
short,0.053252709875791567,-4.224142373696602,0.05
long,4.583962134723559,3.9305803265194053,0.2
short,0.7277012716229596,0.07499526128844182,0.2
short,0.5826813244858351,-0.15598692680993304,0.2
long,0.14041927543652372,-0.11729139477640894,0.1
long,0.29014498983252524,-0.2546001620182789,0.2
long,0.9110449735449722,0.6795634920634943,0.2
long,0.6514281944719197,0.5673197440464313,0.2
long,0.5188088806904239,0.13011397325253266,0.2
short,0.20695432222459323,-0.01970993544996215,0.2
short,0.12657395535391094,-0.15945030739387736,0.1
short,0.10686922495149406,-0.3206076748544822,0.1
long,0.19592796381862487,-0.31511747514165,0.15
