sym,date,gap_pct,gap_bucket,level,entry_time,ret_eod,TP1.0_SL0.5_result,TP1.0_SL0.5_ret,TP1.5_SL0.5_result,TP1.5_SL0.5_ret,TP2.0_SL1.0_result,TP2.0_SL1.0_ret
META,2025-12-18,1.169,gap_1_2,PMH,09:45,0.602,TP,1.0,TP,1.5,EOD,0.6019
META,2026-01-22,2.659,gap_2plus,PMH,09:33,2.304,SL,-0.5,SL,-0.5,TP,2.0
META,2026-03-16,3.085,gap_2plus,PDH,09:33,-0.518,SL,-0.5,SL,-0.5,SL,-1.0
META,2026-03-23,1.961,gap_1_2,PDH,09:53,-0.069,SL,-0.5,SL,-0.5,EOD,-0.0687
META,2026-03-30,2.03,gap_2plus,PMH,09:31,-0.107,SL,-0.5,SL,-0.5,SL,-1.0
META,2026-04-01,1.402,gap_1_2,PMH,09:34,-0.448,SL,-0.5,SL,-0.5,SL,-1.0
META,2026-04-09,2.331,gap_2plus,BOTH,09:44,-0.315,SL,-0.5,SL,-0.5,SL,-1.0
META,2026-04-14,1.371,gap_1_2,PMH,09:35,2.833,TP,1.0,TP,1.5,TP,2.0
META,2026-06-09,1.148,gap_1_2,PDH,09:35,-1.411,SL,-0.5,SL,-0.5,SL,-1.0
MRK,2026-01-08,1.851,gap_1_2,BOTH,09:36,-0.818,SL,-0.5,SL,-0.5,SL,-1.0
MRK,2026-02-13,1.861,gap_1_2,PMH,09:31,-0.781,SL,-0.5,SL,-0.5,SL,-1.0
MRK,2026-03-23,1.752,gap_1_2,PDH,09:35,0.425,TP,1.0,EOD,0.4253,EOD,0.4253
MRK,2026-04-28,1.161,gap_1_2,PMH,09:33,-1.464,SL,-0.5,SL,-0.5,SL,-1.0
MRK,2026-05-01,2.951,gap_2plus,PMH,09:35,-0.737,TP,1.0,SL,-0.5,EOD,-0.7367
MRK,2026-05-22,4.039,gap_2plus,PMH,09:35,0.77,SL,-0.5,SL,-0.5,SL,-1.0
MRK,2026-06-04,2.074,gap_2plus,PDH,09:34,1.537,TP,1.0,SL,-0.5,EOD,1.5365
MSFT,2026-02-10,1.447,gap_1_2,PMH,09:58,-1.748,SL,-0.5,SL,-0.5,SL,-1.0
MSFT,2026-02-26,1.054,gap_1_2,PDH,09:39,-0.264,TP,1.0,SL,-0.5,SL,-1.0
MSFT,2026-03-30,1.471,gap_1_2,PDH,10:24,-1.024,SL,-0.5,SL,-0.5,SL,-1.0
MSFT,2026-04-15,1.244,gap_1_2,PMH,09:33,2.897,TP,1.0,TP,1.5,TP,2.0
MSFT,2026-04-16,2.098,gap_2plus,PDH,10:06,1.357,TP,1.0,TP,1.5,EOD,1.3573
MSFT,2026-04-17,1.137,gap_1_2,PMH,10:41,-1.227,SL,-0.5,SL,-0.5,SL,-1.0
MSFT,2026-05-01,1.224,gap_1_2,PDH,09:34,-0.029,SL,-0.5,SL,-0.5,SL,-1.0
MSFT,2026-05-15,1.155,gap_1_2,PMH,09:34,1.648,TP,1.0,TP,1.5,TP,2.0
MSFT,2026-05-19,1.47,gap_1_2,PDH,09:36,-1.965,TP,1.0,SL,-0.5,SL,-1.0
NEE,2026-01-29,1.142,gap_1_2,PDH,09:35,-1.1,SL,-0.5,SL,-0.5,SL,-1.0
NEE,2026-02-04,1.042,gap_1_2,PMH,11:44,0.52,TP,1.0,EOD,0.5195,EOD,0.5195
NEE,2026-02-06,1.48,gap_1_2,BOTH,09:31,-1.509,SL,-0.5,SL,-0.5,SL,-1.0
NEE,2026-03-13,1.123,gap_1_2,PDH,11:05,0.038,EOD,0.0377,EOD,0.0377,EOD,0.0377
NEE,2026-03-23,1.641,gap_1_2,PMH,09:52,-1.074,SL,-0.5,SL,-0.5,SL,-1.0
NEE,2026-03-30,1.467,gap_1_2,PMH,09:31,-0.481,SL,-0.5,SL,-0.5,SL,-1.0
NEE,2026-04-28,1.065,gap_1_2,PMH,10:56,0.51,EOD,0.5103,EOD,0.5103,EOD,0.5103
NFLX,2025-12-17,1.539,gap_1_2,PMH,09:33,-2.36,SL,-0.5,SL,-0.5,SL,-1.0
NFLX,2026-01-07,1.049,gap_1_2,PMH,09:31,-1.224,SL,-0.5,SL,-0.5,SL,-1.0
NFLX,2026-01-20,1.051,gap_1_2,PMH,09:38,-2.769,SL,-0.5,SL,-0.5,SL,-1.0
NFLX,2026-02-05,1.465,gap_1_2,PMH,09:33,-1.995,TP,1.0,SL,-0.5,SL,-1.0
NFLX,2026-03-27,1.317,gap_1_2,PMH,09:32,-1.926,SL,-0.5,SL,-0.5,SL,-1.0
NFLX,2026-04-06,2.34,gap_2plus,PDH,10:40,0.208,SL,-0.5,SL,-0.5,EOD,0.2075
NVDA,2025-12-18,2.13,gap_2plus,PMH,10:26,-0.367,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2025-12-19,1.526,gap_1_2,PMH,09:32,1.823,TP,1.0,TP,1.5,TP,2.0
NVDA,2025-12-31,1.077,gap_1_2,PMH,09:31,-2.025,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-01-02,1.794,gap_1_2,BOTH,09:31,-1.064,TP,1.0,SL,-0.5,SL,-1.0
NVDA,2026-01-05,1.568,gap_1_2,PDH,09:31,-2.669,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-01-06,1.276,gap_1_2,PMH,09:47,-2.053,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-01-15,1.801,gap_1_2,PMH,09:39,-0.112,TP,1.0,SL,-0.5,EOD,-0.1121
NVDA,2026-01-16,1.021,gap_1_2,BOTH,09:35,-1.891,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-01-23,1.439,gap_1_2,PMH,09:31,-0.877,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-01-28,1.457,gap_1_2,PDH,11:54,0.761,TP,1.0,EOD,0.7612,EOD,0.7612
NVDA,2026-02-06,2.798,gap_2plus,PDH,09:33,4.722,TP,1.0,TP,1.5,TP,2.0
NVDA,2026-02-11,2.025,gap_2plus,PDH,09:31,-1.362,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-02-18,2.005,gap_2plus,PMH,10:04,-0.978,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-03-13,1.044,gap_1_2,PMH,09:31,-3.013,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-03-16,1.492,gap_1_2,PMH,09:33,-0.589,TP,1.0,TP,1.5,TP,2.0
NVDA,2026-03-23,2.538,gap_2plus,PDH,11:11,-1.565,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-03-25,1.021,gap_1_2,PMH,09:34,-0.05,TP,1.0,SL,-0.5,EOD,-0.0503
NVDA,2026-03-31,1.163,gap_1_2,PMH,09:34,3.35,TP,1.0,TP,1.5,TP,2.0
NVDA,2026-05-06,1.73,gap_1_2,PDH,09:32,3.196,SL,-0.5,SL,-0.5,TP,2.0
NVDA,2026-05-13,1.82,gap_1_2,PMH,09:34,-0.423,SL,-0.5,SL,-0.5,SL,-1.0
NVDA,2026-05-14,1.78,gap_1_2,PMH,10:22,0.853,TP,1.0,EOD,0.8535,EOD,0.8535
PG,2025-12-17,1.026,gap_1_2,PMH,09:31,0.777,TP,1.0,EOD,0.7773,EOD,0.7773
PG,2026-01-22,1.404,gap_1_2,PMH,09:31,0.531,SL,-0.5,SL,-0.5,EOD,0.5306
PG,2026-02-05,1.103,gap_1_2,PMH,09:33,-0.139,SL,-0.5,SL,-0.5,SL,-1.0
PG,2026-04-08,1.324,gap_1_2,PDH,09:32,0.597,SL,-0.5,SL,-0.5,EOD,0.597
PG,2026-04-28,1.092,gap_1_2,PMH,09:33,-0.686,SL,-0.5,SL,-0.5,SL,-1.0
PG,2026-05-06,1.021,gap_1_2,PMH,10:12,1.025,TP,1.0,TP,1.5,EOD,1.0245
PG,2026-06-05,1.019,gap_1_2,PDH,09:37,2.3,TP,1.0,TP,1.5,TP,2.0
SCHW,2026-01-22,1.208,gap_1_2,PDH,10:16,-0.881,SL,-0.5,SL,-0.5,SL,-1.0
SCHW,2026-02-06,1.235,gap_1_2,PMH,09:31,1.556,TP,1.0,TP,1.5,EOD,1.5562
SCHW,2026-03-04,1.008,gap_1_2,BOTH,10:12,-0.052,EOD,-0.052,EOD,-0.052,EOD,-0.052
SCHW,2026-03-16,1.139,gap_1_2,PDH,10:48,-0.266,TP,1.0,SL,-0.5,EOD,-0.2664
SCHW,2026-03-31,1.016,gap_1_2,PDH,09:50,0.107,SL,-0.5,SL,-0.5,SL,-1.0
SCHW,2026-04-01,1.096,gap_1_2,PDH,11:43,-1.943,SL,-0.5,SL,-0.5,SL,-1.0
SCHW,2026-04-15,1.037,gap_1_2,PMH,09:31,0.582,TP,1.0,SL,-0.5,EOD,0.5817
SCHW,2026-05-15,1.151,gap_1_2,PDH,09:54,-1.549,SL,-0.5,SL,-0.5,SL,-1.0
SCHW,2026-06-04,1.016,gap_1_2,BOTH,09:57,0.399,TP,1.0,EOD,0.3995,EOD,0.3995
T,2026-01-30,1.573,gap_1_2,PMH,09:32,2.482,SL,-0.5,SL,-0.5,SL,-1.0
T,2026-04-28,1.646,gap_1_2,PMH,09:49,0.366,TP,1.0,EOD,0.3657,EOD,0.3657
T,2026-06-04,1.358,gap_1_2,PMH,09:39,-4.863,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2025-12-18,2.346,gap_2plus,PMH,09:43,0.826,SL,-0.5,SL,-0.5,TP,2.0
TSLA,2025-12-22,1.849,gap_1_2,BOTH,09:31,-1.102,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-01-05,2.214,gap_2plus,PMH,09:33,0.409,TP,1.0,TP,1.5,EOD,0.409
TSLA,2026-01-29,1.432,gap_1_2,PDH,09:31,-5.004,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-01-30,2.24,gap_2plus,PMH,10:06,0.363,TP,1.0,TP,1.5,TP,2.0
TSLA,2026-03-04,1.401,gap_1_2,PMH,09:33,0.732,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-03-16,1.291,gap_1_2,PMH,09:31,-0.793,TP,1.0,SL,-0.5,SL,-1.0
TSLA,2026-03-23,1.413,gap_1_2,PDH,09:39,0.158,TP,1.0,SL,-0.5,EOD,0.1578
TSLA,2026-03-25,1.801,gap_1_2,PMH,09:32,-1.868,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-03-30,1.133,gap_1_2,PMH,09:31,-3.175,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-04-01,1.867,gap_1_2,PMH,10:58,-0.063,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-04-08,4.972,gap_2plus,PDH,10:34,-1.379,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-04-14,1.491,gap_1_2,PMH,09:31,0.884,SL,-0.5,SL,-0.5,SL,-1.0
TSLA,2026-04-17,1.834,gap_1_2,PDH,09:37,1.574,TP,1.0,TP,1.5,TP,2.0
