date,side,entry,et,pnl,mfe,mae
2026-05-21,short,708.99,time,-0.22426268353573842,0.31312148267253803,0.23554634056897264
2026-05-21,short,708.78,sl,-0.2999999999999879,0.2722988797652233,0.30192725528372505
2026-05-21,long,709.5366,time,0.051216526392007966,0.24007218232293975,0.21797325183789137
2026-05-22,short,718.26,sl,-0.29999999999999444,0.3216105588505479,0.33553309386572666
2026-05-22,long,719.91,sl,-0.29999999999999555,0.065980469780948,0.3081635204400479
2026-05-22,short,719.55,time,0.302967132235418,0.3648113404210966,0.04445834201932807
2026-05-27,short,728.95,tp,0.39999999999999863,0.44173125728788354,0.11386240482885344
2026-05-27,short,728.31,time,0.030206917384069096,0.33708173717234796,0.1716302124095509
2026-05-29,short,739.35,tp,0.40000000000000097,0.42469736931087926,0.00541015757083433
2026-05-29,short,738.48,time,-0.037915718773693624,0.15978767197487592,0.1435380782147039
2026-05-29,short,738.215,time,0.006095785103265683,0.12394763043287893,0.179487005818079
2026-05-29,short,738.51,time,0.19379561549606503,0.3696632408498217,0.027081556106220022
2026-05-29,short,738.323,time,0.008532850798361717,0.344429199686317,0.019909985196187606
2026-06-03,short,744.53,tp,0.39999999999999863,0.42442883429814354,0.0818100009401921
2026-06-03,long,744.65,time,-0.05103068555697246,0.14906331833747583,0.11810917880883734
2026-06-03,short,743.99,time,-0.03763491444777117,0.029503084718885887,0.23790642347343133
2026-06-04,long,735.345,tp,0.4500000000000009,0.4684875806594097,0.07955449482896279
2026-06-05,short,726.52,tp,0.39999999999999647,0.41155095523867324,0.04817486098111859
2026-06-08,short,718.38,time,-0.1851387844873244,0.21993930788719632,0.24499568473509717
2026-06-08,long,718.89,sl,-0.2999999999999948,0.15510022395637846,0.30462240398391494
2026-06-09,long,703.08,tp,0.44999999999999996,0.49780963759458385,0.10523695738749989
2026-06-09,long,704.75,tp,0.4500000000000017,0.5008868393047141,0.06383824051081331
2026-06-11,long,703.13,tp,0.44999999999999996,0.6158178430731217,0.06115512067469031
2026-06-12,long,718.64,tp,0.4499999999999999,0.45224312590448623,0.11410441945896921
