date,side,level,gap_regime,gap_pct,touch_lbl,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2026-02-27,long,PML,Gap Down,-0.99,1st,605.01,0.22148394241418026,0.38346473612007237,0.4776780549081811,False,False
2026-02-27,long,PDL,Gap Down,-0.99,1st,605.71,0.267454722557,0.27901140809957586,0.3615591619751929,False,False
2026-03-03,long,PML,Gap Down,-1.927,1st,596.75,0.03519061583578322,0.03519061583578322,0.03519061583578322,False,False
2026-03-03,short,PMH,Gap Down,-1.927,1st,594.91,0.19666840362407073,0.5110016641172553,0.5110016641172553,True,False
2026-03-03,short,PMH,Gap Down,-1.927,2nd,594.72,0.47921711057304656,0.47921711057304656,0.47921711057304656,False,False
2026-03-04,long,PML,Flat,0.439,1st,605.98,0.2772368725040348,0.6452358163635711,0.8581141291791695,True,True
2026-03-04,short,PMH,Flat,0.439,1st,603.92,0.008279242283738662,0.008279242283738662,0.008279242283738662,False,False
2026-03-05,long,PML,Flat,-0.459,1st,608.66,0.08050471527618196,0.33351953471561896,0.33351953471561896,False,False
2026-03-05,short,PMH,Flat,-0.459,1st,607.7,0.22873128188252426,0.22873128188252426,0.22873128188252426,False,False
2026-03-05,short,PDH,Flat,-0.459,1st,610.88,0.7873886851754756,0.7873886851754756,0.7873886851754756,True,True
2026-03-06,long,PML,Gap Down,-1.38,1st,600.2,0.2532489170276544,0.3932022659113462,0.856381206264576,True,True
2026-03-06,long,PML,Gap Down,-1.38,2nd,601.71,0.2310082930315245,0.49026939887984766,0.6032806501470801,True,False
2026-03-06,long,PDL,Gap Down,-1.38,1st,604.91,0.09753517052123983,0.09753517052123983,0.16035443289084778,False,False
2026-03-06,long,PDL,Gap Down,-1.38,2nd,604.08,0.2979737783075014,0.31783869686133603,0.31783869686133603,False,False
2026-03-06,long,1H_Sup,Gap Down,-1.38,1st,605.09,0.06775851526218714,0.06775851526218714,0.15039085094778762,False,False
2026-03-06,long,1H_Sup,Gap Down,-1.38,2nd,605.25,0.12391573729863693,0.12391573729863693,0.12391573729863693,False,False
2026-03-10,long,PML,Flat,-0.099,1st,608.15,0.3617528570254124,0.5434514511222666,0.6988407465263504,True,False
2026-03-10,long,1H_Sup,Flat,-0.099,1st,608.15,0.3617528570254124,0.5434514511222666,0.6988407465263504,True,False
2026-03-10,long,4H_Sup,Flat,-0.099,1st,607.91,0.32897961869356074,0.5313286506226281,0.738596173775725,True,False
2026-03-10,short,PMH,Flat,-0.099,1st,606.37,0.15667001995482058,0.15667001995482058,0.15667001995482058,False,False
2026-03-10,short,PDH,Flat,-0.099,1st,607.67,0.3603929764510245,0.370266756627775,0.370266756627775,False,False
2026-03-10,short,1H_Res,Flat,-0.099,1st,607.67,0.3603929764510245,0.370266756627775,0.370266756627775,False,False
2026-03-10,short,4H_Res,Flat,-0.099,1st,607.67,0.3603929764510245,0.370266756627775,0.370266756627775,False,False
2026-03-11,long,1H_Sup,Flat,0.174,1st,611.04,0.10964912280702946,0.10964912280702946,0.10964912280702946,False,False
2026-03-13,long,1H_Sup,Flat,0.377,1st,600.68,0.17328694146635126,0.17328694146635126,0.17328694146635126,False,False
2026-03-13,long,4H_Sup,Flat,0.377,1st,603.2,0.009946949602112967,0.009946949602112967,0.009946949602112967,False,False
2026-03-13,short,PMH,Flat,0.377,1st,599.03,0.5308582207902692,0.6276814182929054,0.7912792347628681,True,True
2026-03-13,short,PDH,Flat,0.377,1st,602.35,0.3785174732298452,0.47978749896239503,1.079106831576326,True,True
2026-03-18,long,PML,Flat,-0.354,1st,602.09,0.11626168845188123,0.11626168845188123,0.11626168845188123,False,False
2026-03-18,short,PMH,Flat,-0.354,1st,601.75,0.10137100124636704,0.1927710843373441,0.5051931865392544,True,False
2026-03-19,long,PML,Gap Down,-0.923,1st,591.28,0.18434582600460558,0.18434582600460558,0.18434582600460558,False,False
2026-03-19,long,PML,Gap Down,-0.923,2nd,591.29,0.15559201068850698,0.15559201068850698,0.3111840213769947,False,False
2026-03-19,long,PML,Gap Down,-0.923,3rd+,591.19,0.26932119961432605,0.3281516940408229,0.3281516940408229,False,False
2026-03-19,short,PMH,Gap Down,-0.923,1st,589.65,0.14415331128636016,0.14415331128636016,0.14415331128636016,False,False
2026-03-24,long,PML,Flat,-0.499,1st,586.5,0.24381926683716112,0.24381926683716112,0.24381926683716112,False,False
2026-03-24,long,PDL,Flat,-0.499,1st,587.66,0.0,0.0,0.0,False,False
2026-03-24,short,PMH,Flat,-0.499,1st,585.38,0.389490587310802,0.389490587310802,0.389490587310802,False,False
2026-03-24,short,PMH,Flat,-0.499,2nd,585.71,0.10585443308121843,0.10585443308121843,0.19292824093834754,False,False
2026-03-25,long,4H_Sup,Gap Up,0.871,1st,588.39,0.34500926256394104,0.4316864664593151,0.4775743979333536,False,False
2026-03-25,short,PMH,Gap Up,0.871,1st,588.39,0.23623786944033487,0.2855249069494638,0.2855249069494638,False,False
2026-03-26,long,PML,Gap Down,-0.93,1st,583.88,0.1284510515859423,0.1284510515859423,0.1284510515859423,False,False
2026-03-26,short,PMH,Gap Down,-0.93,1st,580.81,0.1997210791825155,0.1997210791825155,0.1997210791825155,False,False
2026-03-26,short,PMH,Gap Down,-0.93,2nd,580.82,0.1206914362453121,0.12396267346166234,0.2685857925002684,False,False
