date,attn_growth,price_growth,attn_4wk,fwd_1wk,fwd_2wk,fwd_1mo,fwd_3mo,sym
2025-10-27,50.8,18.4,46.5,-13.78,-23.49,-29.97,38.58,ASTS
2026-01-05,50.8,27.3,43.5,18.53,16.28,4.22,-2.84,ASTS
2026-01-12,83.2,52.7,53.5,-1.9,-3.94,-28.73,-26.12,ASTS
2026-01-19,54.1,57.8,56.0,-2.08,-10.37,-29.38,-32.73,ASTS
2026-01-26,57.1,33.2,59.5,-8.47,-25.81,-28.79,-36.26,ASTS
2025-09-22,67.4,18.6,37.5,4.27,6.58,-3.67,56.02,AUGO
2025-12-22,51.7,34.8,53.2,-7.51,-2.42,26.34,30.63,AUGO
2026-01-05,52.0,13.2,56.0,14.16,29.48,25.1,94.82,AUGO
2024-06-10,110.5,24.3,19.0,-4.4,-7.46,-1.67,-3.04,AVGO
2024-06-17,180.0,17.8,27.0,-3.2,3.02,-4.83,3.48,AVGO
2024-06-24,229.3,20.8,32.8,6.43,6.26,-5.26,8.26,AVGO
2024-07-01,261.4,21.5,38.8,-0.15,-7.62,-15.56,4.05,AVGO
2024-12-16,105.8,34.4,34.5,9.49,5.61,7.83,-12.96,AVGO
2024-12-23,148.4,49.2,38.8,-3.55,-6.97,1.49,-29.64,AVGO
2024-12-30,153.8,29.9,40.2,-3.54,2.1,-4.85,-36.9,AVGO
2025-09-22,52.3,12.5,39.8,1.32,-2.79,6.04,5.44,AVGO
2025-12-29,80.0,44.7,12.5,37.17,31.8,10.62,215.27,AXTI
2026-01-05,224.1,55.2,22.5,-3.91,-24.31,4.65,179.16,AXTI
2026-01-12,246.9,50.8,26.8,-21.23,-16.07,9.73,273.74,AXTI
2026-01-19,178.0,13.2,27.5,6.55,38.28,70.57,337.7,AXTI
2026-01-26,101.9,10.6,26.2,29.77,30.74,104.42,417.8,AXTI
2024-08-12,63.6,5.6,56.2,5.23,0.18,7.75,-18.65,AYA
2024-10-14,61.9,16.0,38.2,-4.89,-4.73,-13.51,-16.9,BABA
2025-09-29,57.3,38.7,47.8,-15.43,-11.16,-9.36,-17.17,BABA
2024-05-13,53.3,8.6,27.8,2.35,1.83,4.3,-2.19,BKNG
2024-05-20,64.9,7.8,29.5,-0.5,0.47,5.35,1.16,BKNG
2025-02-24,56.0,5.9,41.5,-6.83,-10.79,-7.42,10.25,BKNG
2025-12-01,351.4,32.5,40.8,-5.79,4.0,6.18,15.53,BLTE
2025-12-08,518.9,21.1,56.2,10.39,9.63,12.06,16.13,BLTE
2025-12-15,518.9,29.4,56.2,-0.69,2.1,-0.57,-0.9,BLTE
2025-12-22,66.0,12.7,40.5,2.8,2.21,6.23,-1.85,BLTE
2025-08-04,137.8,26.6,47.8,12.41,4.01,-18.26,-21.78,BMNR
2025-08-11,109.0,36.5,62.8,-7.47,-24.55,-4.71,-40.49,BMNR
2025-08-18,66.5,34.4,67.2,-18.45,-21.41,14.58,-51.39,BMNR
2025-08-25,61.8,37.7,69.0,-3.62,26.3,15.77,-24.07,BMNR
2024-12-09,197.6,12.6,30.2,-1.26,1.18,5.28,-20.37,BRKR
2025-01-20,50.5,12.4,35.5,0.41,3.25,2.5,-0.04,BSX
2025-01-27,71.3,12.9,39.2,2.82,3.66,1.4,2.51,BSX
2025-04-28,55.7,11.8,43.8,7.33,9.94,5.53,0.1,CAAP
2025-08-04,120.8,8.7,57.5,1.86,3.29,2.19,4.48,CAAP
2025-08-11,90.2,7.9,57.0,1.4,0.7,-9.41,8.43,CAAP
2025-08-18,50.7,6.5,54.8,-0.69,-1.06,-16.9,3.6,CAAP
2026-02-02,50.0,7.0,50.0,-3.25,1.21,-12.04,-12.7,CAAP
2026-02-09,53.4,7.5,50.0,4.61,1.93,-12.77,-14.66,CAAP
2025-01-27,50.0,8.5,62.8,0.49,2.53,-3.03,-3.78,CACC
2024-10-14,55.6,30.7,44.5,-7.29,-9.51,-7.64,-10.84,CCJ
2025-06-09,60.9,30.0,45.2,2.42,9.92,9.06,17.18,CCJ
2025-06-16,61.2,16.3,51.0,7.32,7.59,15.67,26.23,CCJ
2025-06-23,60.7,25.2,55.2,0.25,-0.78,8.64,16.8,CCJ
2026-01-26,72.4,25.2,78.8,-7.91,-8.5,-4.04,-2.26,CCJ
2026-02-02,78.9,5.6,84.0,-0.64,6.79,-3.48,2.75,CCJ
2026-01-26,62.5,16.5,80.2,4.89,9.69,32.83,-13.65,CDE
2026-02-02,59.9,5.1,83.8,4.57,14.88,5.6,-13.43,CDE
2024-02-26,55.6,48.6,27.0,12.14,17.19,4.6,0.9,CELH
2024-03-04,64.9,52.2,29.5,4.51,4.02,-5.57,-17.65,CELH
2024-03-11,70.7,44.2,31.0,-0.47,-10.74,-14.19,-35.46,CELH
2024-03-18,87.3,44.4,32.2,-10.32,-9.21,-25.55,-32.42,CELH
2024-05-27,73.1,5.3,28.0,-8.48,-25.03,-28.62,-52.45,CELH
2025-02-17,109.4,26.6,43.5,-21.24,-16.03,0.95,10.67,CELH
2025-03-03,110.9,22.2,47.5,-1.13,20.23,29.76,48.23,CELH
2025-03-10,92.0,21.2,47.0,21.6,24.26,37.7,51.99,CELH
2025-12-29,95.7,7.0,21.5,8.63,14.07,18.53,29.78,CGAU
2026-01-26,176.7,18.5,61.2,3.4,12.47,25.48,3.33,CGAU
2026-02-02,563.8,12.8,77.0,8.77,9.92,8.02,6.41,CGAU
2026-02-09,340.3,16.9,78.2,1.06,11.56,-6.42,-8.98,CGAU
2024-04-01,78.7,8.0,26.2,-0.34,-1.8,10.63,15.21,CHDN
2024-04-29,71.6,10.6,45.8,3.33,-0.3,-3.37,1.0,CHDN
2024-05-06,135.7,14.7,56.8,-3.51,-3.96,-2.88,-3.48,CHDN
2024-05-13,70.6,12.3,45.5,-0.47,-3.08,2.19,2.46,CHDN
2025-11-10,60.7,9.7,21.5,6.95,9.87,18.05,-9.77,CHDN
2025-12-15,144.1,8.5,19.8,-0.22,-2.45,-6.87,-27.04,CHDN
2025-12-22,144.1,5.4,19.8,-2.24,-5.48,-10.45,-26.19,CHDN
2025-07-07,96.4,57.8,12.8,8.35,10.22,-19.08,189.1,CIFR
2025-07-14,168.0,67.8,15.8,1.73,-22.48,-18.08,194.97,CIFR
2025-07-21,186.2,51.9,19.8,-23.8,-26.58,-1.39,219.32,CIFR
2025-09-15,73.4,92.5,26.8,-6.6,19.71,52.77,32.0,CIFR
2025-09-22,137.3,50.1,38.8,28.16,47.95,80.12,32.43,CIFR
2025-09-29,153.3,95.5,46.5,15.44,27.62,26.87,10.2,CIFR
2025-10-06,138.9,56.4,55.8,10.55,21.74,21.92,-2.0,CIFR
2025-10-13,140.5,52.8,65.8,10.13,-0.59,-23.45,0.21,CIFR
2025-10-20,66.7,80.1,65.2,-9.73,0.15,-31.51,-14.96,CIFR
2024-02-26,119.9,115.7,76.5,13.33,-2.41,18.76,-10.02,CLSK
2024-03-04,108.2,45.1,81.8,-13.88,-3.56,-22.92,-23.02,CLSK
