date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-09-23,NQ,PriorRTHLow,reject,short,TP25_SL12,25,12,24821.5,TP,25.0,1,12:00-14:00
2025-09-23,NQ,PriorRTHLow,reject,short,TP40_SL20,40,20,24821.5,TP,40.0,1,12:00-14:00
2025-09-23,NQ,GlobexLow,reject,short,TP25_SL12,25,12,24807.75,TP,25.0,0,12:00-14:00
2025-09-23,NQ,GlobexLow,reject,short,TP40_SL20,40,20,24807.75,SL,-20.0,7,12:00-14:00
2025-09-24,NQ,OR15High,reject,short,TP25_SL12,25,12,24850.25,TP,25.0,4,09:30-09:45
2025-09-24,NQ,OR15High,reject,short,TP40_SL20,40,20,24850.25,TP,40.0,16,09:30-09:45
2025-09-24,NQ,OR15Low,breakout,long,TP25_SL12,25,12,24850.25,SL,-12.0,0,09:30-09:45
2025-09-24,NQ,OR15Low,breakout,long,TP40_SL20,40,20,24850.25,SL,-20.0,0,09:30-09:45
2025-09-24,NQ,VWAP,reject,short,TP25_SL12,25,12,24850.25,TP,25.0,4,09:30-09:45
2025-09-24,NQ,VWAP,reject,short,TP40_SL20,40,20,24850.25,TP,40.0,16,09:30-09:45
2025-09-24,NQ,PriorRTHLow,breakout,long,TP25_SL12,25,12,24831.75,SL,-12.0,15,09:30-09:45
2025-09-24,NQ,PriorRTHLow,breakout,long,TP40_SL20,40,20,24831.75,SL,-20.0,15,09:30-09:45
2025-09-24,NQ,OR15Low,reject,short,TP25_SL12,25,12,24842.5,TP,25.0,12,09:30-09:45
2025-09-24,NQ,OR15Low,reject,short,TP40_SL20,40,20,24842.5,TP,40.0,13,09:30-09:45
2025-09-24,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,24791.0,TP,25.0,1,09:45-10:00
2025-09-24,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,24791.0,TP,40.0,11,09:45-10:00
2025-09-24,NQ,PriorRTHLow,reject,short,TP25_SL12,25,12,24802.75,SL,-12.0,0,09:45-10:00
2025-09-24,NQ,PriorRTHLow,reject,short,TP40_SL20,40,20,24802.75,SL,-20.0,4,09:45-10:00
2025-09-24,NQ,GlobexLow,reject,short,TP25_SL12,25,12,24736.5,TP,25.0,4,11:00-12:00
2025-09-24,NQ,GlobexLow,reject,short,TP40_SL20,40,20,24736.5,TP,40.0,8,11:00-12:00
2025-09-25,NQ,GlobexLow,reject,short,TP25_SL12,25,12,24518.75,TP,25.0,1,09:30-09:45
2025-09-25,NQ,GlobexLow,reject,short,TP40_SL20,40,20,24518.75,TP,40.0,1,09:30-09:45
2025-09-25,NQ,OR15High,reject,short,TP25_SL12,25,12,24518.75,TP,25.0,1,09:30-09:45
2025-09-25,NQ,OR15High,reject,short,TP40_SL20,40,20,24518.75,TP,40.0,1,09:30-09:45
2025-09-25,NQ,VWAP,reject,short,TP25_SL12,25,12,24518.75,TP,25.0,1,09:30-09:45
2025-09-25,NQ,VWAP,reject,short,TP40_SL20,40,20,24518.75,TP,40.0,1,09:30-09:45
2025-09-25,NQ,OR15Low,breakout,long,TP25_SL12,25,12,24450.25,SL,-12.0,0,09:30-09:45
2025-09-25,NQ,OR15Low,breakout,long,TP40_SL20,40,20,24450.25,SL,-20.0,1,09:30-09:45
2025-09-25,NQ,OR15Low,reject,short,TP25_SL12,25,12,24429.0,SL,-12.0,1,09:30-09:45
2025-09-25,NQ,OR15Low,reject,short,TP40_SL20,40,20,24429.0,SL,-20.0,1,09:30-09:45
2025-09-25,NQ,PriorRTHLow,reject,short,TP25_SL12,25,12,24598.0,SL,-12.0,3,10:00-10:30
2025-09-25,NQ,PriorRTHLow,reject,short,TP40_SL20,40,20,24598.0,SL,-20.0,3,10:00-10:30
2025-09-26,NQ,OR15Low,breakout,long,TP25_SL12,25,12,24689.25,SL,-12.0,3,09:30-09:45
2025-09-26,NQ,OR15Low,breakout,long,TP40_SL20,40,20,24689.25,SL,-20.0,7,09:30-09:45
2025-09-26,NQ,VWAP,breakout,long,TP25_SL12,25,12,24691.0,SL,-12.0,2,09:30-09:45
2025-09-26,NQ,VWAP,breakout,long,TP40_SL20,40,20,24691.0,SL,-20.0,6,09:30-09:45
2025-09-26,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,24686.25,SL,-12.0,1,09:30-09:45
2025-09-26,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,24686.25,SL,-20.0,7,09:30-09:45
2025-09-26,NQ,OR15High,reject,short,TP25_SL12,25,12,24686.25,SL,-12.0,1,09:30-09:45
2025-09-26,NQ,OR15High,reject,short,TP40_SL20,40,20,24686.25,SL,-20.0,7,09:30-09:45
2025-09-26,NQ,VWAP,reject,short,TP25_SL12,25,12,24686.25,SL,-12.0,1,09:30-09:45
2025-09-26,NQ,VWAP,reject,short,TP40_SL20,40,20,24686.25,SL,-20.0,7,09:30-09:45
2025-09-26,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,24708.5,TP,25.0,0,10:00-10:30
2025-09-26,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,24708.5,TP,40.0,2,10:00-10:30
2025-09-26,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,24618.0,SL,-12.0,3,10:00-10:30
2025-09-26,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,24618.0,SL,-20.0,3,10:00-10:30
2025-09-26,NQ,OR15Low,reject,short,TP25_SL12,25,12,24595.75,SL,-12.0,0,10:00-10:30
2025-09-26,NQ,OR15Low,reject,short,TP40_SL20,40,20,24595.75,TP,40.0,11,10:00-10:30
2025-09-26,NQ,GlobexLow,reject,short,TP25_SL12,25,12,24547.0,TP,25.0,1,10:00-10:30
2025-09-26,NQ,GlobexLow,reject,short,TP40_SL20,40,20,24547.0,SL,-20.0,3,10:00-10:30
2025-09-29,NQ,OR15Low,breakout,long,TP25_SL12,25,12,24879.25,SL,-12.0,2,09:30-09:45
2025-09-29,NQ,OR15Low,breakout,long,TP40_SL20,40,20,24879.25,TP,40.0,11,09:30-09:45
2025-09-29,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,24872.0,SL,-12.0,0,09:30-09:45
