entry_bar,exit_bar,hold_bars,entry_price,exit_price,pnl_pct,exit_type,direction,slack,model,symbol
2116,2145,29,1.734,1.813177286432162,0.04566164154103924,time,long,0.701559020044604,Balanced (+30/-15%),AAPL
2137,2166,29,1.734,1.8046722288486763,0.040756764041912516,time,short,0.7124681933840106,Balanced (+30/-15%),AAPL
2164,2193,29,1.734,1.6627176777841357,-0.04110860566082138,time,short,0.7402298850574872,Balanced (+30/-15%),AAPL
2207,2236,29,1.734,1.9562854559232137,0.12819230445398713,time,long,0.6758620689654832,Balanced (+30/-15%),AAPL
2240,2269,29,1.734,1.7208921787933453,-0.007559297120331406,time,short,0.6299999999999933,Balanced (+30/-15%),AAPL
2340,2369,29,1.734,1.6262869737302414,-0.06211823890989535,time,short,0.628571428571495,Balanced (+30/-15%),AAPL
2359,2388,29,1.734,1.6703644797113317,-0.03669868528758262,time,long,0.7880794701984906,Balanced (+30/-15%),AAPL
2390,2419,29,1.734,1.748195127922144,0.008186348282666636,time,short,0.6562499999998122,Balanced (+30/-15%),AAPL
2435,2453,18,1.734,1.4167135410764866,-0.18297950341609767,sl,long,0.6311475409836561,Balanced (+30/-15%),AAPL
2464,2493,29,1.734,1.7917984466541252,0.03333243751679657,time,short,0.6602985074626606,Balanced (+30/-15%),AAPL
2587,2616,29,1.734,1.670924645333779,-0.03637563706241122,time,short,0.6496519721575935,Balanced (+30/-15%),AAPL
2621,2649,28,1.734,1.4434068779491984,-0.16758542217462605,sl,long,0.7516778523488679,Balanced (+30/-15%),AAPL
2634,2650,16,1.734,1.3997549085059324,-0.1927595683356791,sl,short,0.7098591549293892,Balanced (+30/-15%),AAPL
2651,2680,29,1.734,1.9061337931034497,0.09926977687626856,time,long,0.7504187604689923,Balanced (+30/-15%),AAPL
2724,2753,29,1.734,1.7963783254938879,0.035973659454375945,time,long,0.6652267818575345,Balanced (+30/-15%),AAPL
2748,2777,29,1.734,1.7198204926108318,-0.00817733990148107,time,long,0.7967479674795117,Balanced (+30/-15%),AAPL
2760,2789,29,1.734,1.768824170577982,0.02008314335523756,time,long,0.7272727272727004,Balanced (+30/-15%),AAPL
2786,2815,29,1.734,1.679990163934431,-0.03114754098360379,time,short,0.7066246056780767,Balanced (+30/-15%),AAPL
2861,2890,29,1.734,1.67082608672323,-0.03643247593816027,time,short,0.6200692041522438,Balanced (+30/-15%),AAPL
2944,2973,29,1.734,1.8326088593459193,0.05686785429407113,time,short,0.6319444444444483,Balanced (+30/-15%),AAPL
2970,2999,29,1.734,1.5117112074835597,-0.12819422867153418,time,short,0.703703703703711,Balanced (+30/-15%),AAPL
3017,3046,29,1.734,1.7692996353492085,0.02035734449204645,time,short,0.7410207939507517,Balanced (+30/-15%),AAPL
3023,3052,29,1.734,1.7839615407604184,0.02881288394487795,time,short,0.7808764940238135,Balanced (+30/-15%),AAPL
3122,3151,29,1.734,1.572375128417017,-0.09320926850229694,time,short,0.6086956521739382,Balanced (+30/-15%),AAPL
3141,3170,29,1.734,1.6104004570293136,-0.07128001324722401,time,long,0.6592797783932322,Balanced (+30/-15%),AAPL
3166,3195,29,1.734,1.7241589077137762,-0.00567537040728014,time,short,0.7858627858627233,Balanced (+30/-15%),AAPL
3189,3218,29,1.734,1.5443933502411855,-0.10934639547797836,time,short,0.6666666666665538,Balanced (+30/-15%),AAPL
3195,3224,29,1.734,1.6101642437323636,-0.071416237755269,time,long,0.6866485013621934,Balanced (+30/-15%),AAPL
3197,3226,29,1.734,1.5695664643781913,-0.09482902861696006,time,short,0.7147147147149875,Balanced (+30/-15%),AAPL
3219,3248,29,1.734,1.633669856790783,-0.05786052088190136,time,long,0.7179487179487354,Balanced (+30/-15%),AAPL
3220,3249,29,1.734,1.6619760383578082,-0.041536310058934156,time,short,0.6324435318275932,Balanced (+30/-15%),AAPL
3229,3258,29,1.734,1.6222944300759892,-0.06442074390081362,time,long,0.7604938271605326,Balanced (+30/-15%),AAPL
3296,3325,29,1.734,1.7335551756094296,-0.00025653079040966793,time,long,0.7746135069161445,Balanced (+30/-15%),AAPL
3344,3373,29,1.734,1.572641343183343,-0.0930557421087987,time,short,0.706730769230725,Balanced (+30/-15%),AAPL
3363,3392,29,1.734,1.565900776034914,-0.09694303573534373,time,long,0.6629086809469474,Balanced (+30/-15%),AAPL
3430,3459,29,1.734,1.6109392907801374,-0.07096926713948244,time,long,0.6386861313868724,Balanced (+30/-15%),AAPL
3450,3479,29,1.734,1.7511548754448387,0.009893238434163053,time,long,0.6757164404222004,Balanced (+30/-15%),AAPL
3520,3549,29,1.734,1.74983008579342,0.009129230561372511,time,long,0.7463235294117104,Balanced (+30/-15%),AAPL
3526,3555,29,1.734,1.6671869863245008,-0.03853114975518984,time,long,0.6528497409324973,Balanced (+30/-15%),AAPL
3549,3578,29,1.734,1.6202378815316913,-0.06560675805554131,time,short,0.6206896551726417,Balanced (+30/-15%),AAPL
3669,3698,29,1.734,1.5687951536200935,-0.09527384450975,time,long,0.687237026648006,Balanced (+30/-15%),AAPL
3675,3704,29,1.734,1.4359297898368373,-0.17189746837552636,sl,short,0.6891991182953225,Balanced (+30/-15%),AAPL
82,111,29,1.734,1.6411724710368099,-0.05353375372732995,time,long,0.6170798898071771,Balanced (+30/-15%),NVDA
