Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
ES,breakout,PriorRTHLow,09:30-09:45,TP12_SL6,39,43.6,1.55,1.85,-42.0
ES,reject,GlobexLow,09:45-10:00,TP12_SL6,23,43.5,1.54,1.83,-18.0
ES,breakout,GlobexLow,11:00-12:00,TP8_SL4,14,42.9,1.5,1.14,-16.0
ES,reject,PriorRTHHigh,09:45-10:00,TP12_SL6,19,42.1,1.45,1.58,-24.0
ES,breakout,GlobexLow,14:00-close,TP12_SL6,11,45.5,1.43,1.41,-26.5
ES,reject,GlobexHigh,10:30-11:00,TP8_SL4,12,41.7,1.43,1.0,-8.0
ES,reject,PriorRTHLow,10:00-10:30,TP12_SL6,12,41.7,1.43,1.5,-18.0
ES,reject,OR15High,09:45-10:00,TP12_SL6,29,41.4,1.41,1.45,-24.0
ES,reject,GlobexHigh,10:00-10:30,TP12_SL6,17,41.2,1.4,1.41,-18.0
ES,reject,GlobexHigh,10:00-10:30,TP8_SL4,17,41.2,1.4,0.94,-8.0
ES,reject,PriorRTHLow,09:30-09:45,TP12_SL6,34,41.2,1.4,1.41,-30.0
ES,breakout,GlobexLow,09:30-09:45,TP8_SL4,86,40.7,1.37,0.88,-40.0
ES,reject,OR15High,09:30-09:45,TP12_SL6,215,40.5,1.34,1.23,-84.0
ES,breakout,GlobexHigh,09:30-09:45,TP8_SL4,5,40.0,1.33,0.8,-12.0
ES,breakout,GlobexLow,12:00-14:00,TP12_SL6,15,40.0,1.33,1.2,-24.0
ES,breakout,PriorRTHLow,09:45-10:00,TP8_SL4,10,40.0,1.33,0.8,-8.0
ES,reject,GlobexLow,10:30-11:00,TP12_SL6,10,40.0,1.33,1.2,-18.0
ES,reject,GlobexLow,10:30-11:00,TP8_SL4,10,40.0,1.33,0.8,-12.0
ES,breakout,GlobexLow,09:30-09:45,TP12_SL6,86,38.4,1.28,1.01,-32.5
ES,reject,GlobexHigh,09:30-09:45,TP12_SL6,57,38.6,1.26,0.95,-42.0
ES,reject,PriorRTHHigh,09:30-09:45,TP12_SL6,70,38.6,1.26,0.94,-42.0
ES,reject,PriorRTHHigh,09:30-09:45,TP8_SL4,70,38.6,1.26,0.63,-52.0
ES,reject,PriorRTHLow,09:30-09:45,TP8_SL4,34,38.2,1.24,0.59,-20.0
ES,reject,VWAP,09:30-09:45,TP12_SL6,240,37.9,1.21,0.78,-72.0
ES,reject,GlobexHigh,09:30-09:45,TP8_SL4,57,36.8,1.17,0.42,-36.0
ES,breakout,GlobexLow,14:00-close,TP8_SL4,11,36.4,1.14,0.36,-24.0
ES,reject,PriorRTHHigh,14:00-close,TP8_SL4,11,36.4,1.14,0.36,-16.0
ES,breakout,VWAP,09:30-09:45,TP12_SL6,25,36.0,1.12,0.48,-30.0
ES,reject,GlobexHigh,14:00-close,TP12_SL6,23,47.8,1.11,0.32,-27.5
ES,reject,PriorRTHHigh,11:00-12:00,TP12_SL6,14,35.7,1.11,0.43,-24.0
ES,reject,GlobexHigh,11:00-12:00,TP8_SL4,17,35.3,1.09,0.24,-24.0
