Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
NQ,breakout,OR15Low,09:45-10:00,TP40_SL20,4,0.0,0.0,-20.0,-60.0
NQ,breakout,OR15Low,10:00-10:30,TP25_SL12,2,0.0,0.0,-12.0,-12.0
NQ,breakout,OR15Low,10:00-10:30,TP40_SL20,2,0.0,0.0,-20.0,-20.0
NQ,breakout,OR15Low,11:00-12:00,TP25_SL12,1,0.0,0.0,-12.0,0.0
NQ,breakout,OR15Low,11:00-12:00,TP40_SL20,1,0.0,0.0,-20.0,0.0
NQ,breakout,PriorRTHHigh,10:30-11:00,TP40_SL20,2,0.0,0.0,-20.0,-20.0
NQ,breakout,PriorRTHHigh,11:00-12:00,TP40_SL20,2,0.0,0.0,-20.0,-20.0
NQ,breakout,PriorRTHLow,14:00-close,TP25_SL12,2,0.0,0.0,-12.0,-12.0
NQ,reject,OR15High,11:00-12:00,TP25_SL12,2,0.0,0.0,-12.0,-12.0
NQ,reject,OR15High,11:00-12:00,TP40_SL20,2,0.0,0.0,-20.0,-20.0
NQ,reject,OR15Low,12:00-14:00,TP25_SL12,1,0.0,0.0,-12.0,0.0
NQ,reject,OR15Low,12:00-14:00,TP40_SL20,1,0.0,0.0,-20.0,0.0
NQ,reject,VWAP,11:00-12:00,TP25_SL12,1,0.0,0.0,-12.0,0.0
NQ,reject,VWAP,11:00-12:00,TP40_SL20,1,0.0,0.0,-20.0,0.0
