symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,rvol,cluster,score,strategy
AAPL,long,270.58,272.62,tp,0.0005,30,1.0192719486082416,expanded,1.387605897439014,121,85,boof22
AAPL,long,270.09,272.88,tp,0.0005,30,0.9459459459459169,expanded,2.150906275970179,88,85,boof22
AAPL,short,272.07,272.22,sl,-0.0003,30,0.7499999999998832,expanded,1.1122843903059902,51,85,boof22
AAPL,short,271.7,272.63,tp,0.0005,30,0.6049382716049989,expanded,0.9198027724018136,139,80,boof22
AAPL,long,272.2,272.31,tp,0.0005,30,0.6780626780625166,expanded,0.9499243262122359,175,80,boof22
AAPL,short,272.07,271.99,tp,0.0005,30,0.7025089605733602,expanded,1.8003641748039059,51,95,boof22
AAPL,long,271.8,271.87,sl,-0.0003,30,0.7368421052629925,expanded,1.453879955036556,67,95,boof22
AAPL,long,271.41,270.84,sl,-0.0003,30,0.6387832699619749,expanded,1.0348028448907018,5,85,boof22
AAPL,long,271.27,270.87,sl,-0.0003,30,1.0035842293908814,expanded,1.3183886219684708,155,85,boof22
AAPL,long,270.795,270.725,tp,0.0005,30,0.732984293193809,expanded,1.8512046087281404,5,95,boof22
AAPL,long,270.76,270.87,sl,-0.0003,30,0.6026490066224991,expanded,1.0817938574592567,30,85,boof22
AAPL,long,270.8,270.87,sl,-0.0003,30,0.7499999999993909,expanded,1.3769140012187375,5,95,boof22
AAPL,short,270.98,270.92,tp,0.0005,30,0.9702970297029392,expanded,1.4897426435414873,52,85,boof22
AAPL,short,270.96,270.96,tp,0.0005,30,1.0224719101123394,expanded,1.5578389128273118,52,85,boof22
AAPL,long,270.865,270.9,tp,0.0005,30,0.8799999999991996,expanded,2.6780054301673304,96,85,boof22
AAPL,long,270.945,270.65,tp,0.0005,30,1.076923076923171,expanded,1.8950649816660874,12,85,boof22
AAPL,long,270.96,270.67,tp,0.0005,30,0.8383233532935673,expanded,1.2159226675355708,52,85,boof22
AAPL,short,270.61,270.375,sl,-0.0003,30,0.6553191489362133,expanded,0.9050565837780554,7,80,boof22
AAPL,short,270.67,271.35,sl,-0.0003,30,0.8584905660375659,expanded,1.5597556615944168,79,85,boof22
AAPL,short,270.98,271.65,tp,0.0005,30,1.0320512820512868,expanded,2.9048112381445717,52,85,boof22
AAPL,long,271.68,271.91,tp,0.0005,30,0.8235294117649262,expanded,2.0215421285781745,7,85,boof22
AAPL,short,271.69,272.02,sl,-0.0003,30,0.6040609137054475,expanded,0.9027729676063817,7,80,boof22
AAPL,long,271.71,271.48,sl,-0.0003,30,0.9130434782612331,expanded,1.2192174259227662,139,85,boof22
AAPL,short,271.71,271.955,tp,0.0005,30,0.7179487179479506,expanded,1.0259766411598872,139,85,boof22
AAPL,long,271.6,271.935,sl,-0.0003,30,0.7777777777779743,expanded,2.5385754364089776,3,90,boof22
AAPL,long,271.59,271.88,sl,-0.0003,30,0.7734806629835761,expanded,1.4506752526607638,3,90,boof22
AAPL,long,272.01,272.02,tp,0.0005,30,1.199999999999123,expanded,1.2586206896551724,122,85,boof22
AAPL,short,271.91,273.75,sl,-0.0003,30,0.6511627906971149,expanded,1.09800206682742,8,85,boof22
AAPL,short,274.15,274.9,sl,-0.0003,30,0.6723163841806143,expanded,1.3989986862195078,15,95,boof22
AAPL,long,275.04,275.035,tp,0.0005,30,0.8974358974357928,expanded,1.6103090414735957,19,85,boof22
AAPL,long,274.845,274.97,sl,-0.0003,30,0.7938144329894498,expanded,0.8827485341934473,18,80,boof22
AAPL,long,274.52,274.46,tp,0.0005,30,1.0949720670390217,expanded,1.38057562206169,6,85,boof22
AAPL,long,274.52,274.86,tp,0.0005,30,1.0566037735850757,expanded,1.6798146411430461,6,85,boof22
AAPL,short,274.68,274.555,sl,-0.0003,30,0.654970760233265,expanded,1.0357947380333912,23,85,boof22
AAPL,long,274.49,273.85,sl,-0.0003,30,0.6140350877202658,expanded,1.2343067296974037,6,95,boof22
AAPL,short,274.16,273.725,tp,0.0005,30,0.9528795811516448,expanded,1.7428276995933007,15,85,boof22
AAPL,long,273.98,273.025,sl,-0.0003,30,0.8750000000002331,expanded,2.8640191700857502,5,85,boof22
AAPL,short,274.01,273.28,tp,0.0005,30,1.0306748466258806,expanded,2.1434797538233976,12,85,boof22
AAPL,long,273.93,273.175,sl,-0.0003,30,0.8484848484847859,expanded,1.3562499224113318,5,85,boof22
AAPL,short,273.07,273.1,sl,-0.0003,30,1.19512195121924,expanded,1.5778210457997859,127,85,boof22
AAPL,short,273.89,273.62,sl,-0.0003,30,0.6327683615813519,expanded,2.9049054535489174,50,95,boof22
AAPL,short,273.93,273.75,tp,0.0005,30,0.9395973154363778,expanded,1.4797580269892974,5,85,boof22
AAPL,long,273.97,273.62,sl,-0.0003,30,0.9395973154363778,expanded,1.533471557900355,218,85,boof22
AAPL,long,273.615,273.39,sl,-0.0003,30,0.7446808510639109,expanded,1.4156276373827608,172,95,boof22
AAPL,long,273.66,273.78,tp,0.0005,30,0.90058479532173,expanded,2.6096181820170403,26,85,boof22
AAPL,long,273.3,273.18,tp,0.0005,30,0.7777777777772046,expanded,2.4638055842812823,5,95,boof22
AAPL,short,272.485,272.14,tp,0.0005,30,1.1830985915488432,expanded,1.5718521004642836,161,85,boof22
AAPL,short,272.74,272.72,tp,0.0005,30,0.9911504424766795,expanded,1.567100212424999,4,80,boof22
AAPL,short,273.13,273.01,sl,-0.0003,30,0.6844444444444602,expanded,0.8606046880308006,51,80,boof22
AAPL,long,273.23,272.84,sl,-0.0003,30,0.7826086956523888,expanded,0.9875382083235363,27,80,boof22
AAPL,long,272.68,272.155,sl,-0.0003,30,0.7777777777779251,expanded,1.6479782534828404,2,85,boof22
AAPL,long,272.12,272.52,sl,-0.0003,30,0.6637931034477554,expanded,1.2806686438393098,14,95,boof22
AAPL,long,272.09,273.23,tp,0.0005,30,0.9911504424784371,expanded,1.5138978272195152,51,85,boof22
AAPL,short,277.505,274.46,sl,-0.0003,30,0.6116504854369744,expanded,0.8018707330621607,101,80,boof22
AAPL,long,270.39,269.49,sl,-0.0003,30,0.742049469964556,expanded,1.1978129345007702,8,85,boof22
AAPL,short,269.635,270.05,tp,0.0005,30,1.018181818181621,expanded,1.4472059988577115,81,85,boof22
AAPL,short,270.14,270.12,sl,-0.0003,30,0.6666666666670276,expanded,1.592759377980878,7,95,boof22
AAPL,short,269.72,269.95,sl,-0.0003,30,0.7915194346294323,expanded,1.1901569423693317,4,80,boof22
AAPL,short,270.11,270.43,tp,0.0005,30,0.9405684754526565,expanded,2.542061952932544,88,85,boof22
AAPL,long,270.48,269.95,tp,0.0005,30,1.158273381295067,expanded,2.1800211406940293,12,85,boof22
AAPL,long,268.2,270.47,tp,0.0005,30,0.6670540383498448,expanded,2.0064104642116183,14,95,boof22
AAPL,short,268.325,270.75,tp,0.0005,30,1.1764705882353312,expanded,1.57751220855588,7,85,boof22
AAPL,short,269.91,269.02,tp,0.0005,30,0.8265682656828442,expanded,1.478977392774139,128,85,boof22
AAPL,long,269.03,269.09,tp,0.0005,30,0.6187845303868084,expanded,1.190977346218433,60,85,boof22
AAPL,short,267.84,267.3,tp,0.0005,30,0.6885245901641839,expanded,1.0775957110367724,31,85,boof22
AAPL,long,267.395,267.015,tp,0.0005,30,1.157024793388147,expanded,1.8012922313833837,5,85,boof22
AAPL,short,267.345,267.19,sl,-0.0003,30,0.622222222222576,expanded,0.8402996312527752,40,80,boof22
AAPL,long,266.45,266.435,sl,-0.0003,30,0.9210526315787132,expanded,1.5792416270324503,65,85,boof22
AAPL,long,266.19,266.26,tp,0.0005,30,0.7021943573666194,expanded,1.21163574433692,8,95,boof22
AAPL,long,266.56,266.79,sl,-0.0003,30,0.7329842931934577,expanded,0.9324130407963171,74,80,boof22
AAPL,long,266.79,267.125,tp,0.0005,30,1.0181818181815947,expanded,1.8039334005573773,67,85,boof22
AAPL,short,267.42,266.035,tp,0.0005,30,1.0181818181820916,expanded,1.3371993986120678,5,85,boof22
AAPL,long,261.795,261.38,tp,0.0005,30,0.8186596583443805,expanded,1.565762855651266,30,85,boof22
AAPL,long,261.53,261.95,sl,-0.0003,30,0.8750000000000328,expanded,1.3943120559847755,4,80,boof22
AAPL,long,262.26,262.36,sl,-0.0003,30,0.9696969696967043,expanded,1.4737119984283678,64,85,boof22
AAPL,short,261.43,261.875,sl,-0.0003,30,0.6930693069308763,expanded,1.0465849257162634,27,85,boof22
AAPL,long,261.37,260.57,tp,0.0005,30,0.7414330218071887,expanded,1.7012313674659751,140,95,boof22
AAPL,long,260.69,256.945,tp,0.0005,30,0.6070460704610624,expanded,2.1972355846697407,9,95,boof22
AAPL,short,257.16,255.935,tp,0.0005,30,0.8662345315261838,expanded,2.037556521531823,53,85,boof22
AAPL,long,255.93,256.84,tp,0.0005,30,0.7278761061947537,expanded,0.9862894515780631,154,80,boof22
