symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,strategy
NVDA,short,177.0,177.0531,sl,-0.00030000000000000333,31952,2.498083792489767,core,boof22
NVDA,long,176.25,176.338125,tp,0.0004999999999999484,31959,1.1966228113240587,expanded,boof22
NVDA,short,176.41,176.462923,sl,-0.0002999999999999588,32020,2.5472974971495805,core,boof22
NVDA,long,176.7,176.78834999999998,tp,0.0004999999999999506,32075,1.5261416308124711,core,boof22
NVDA,long,177.075,177.0218775,sl,-0.00030000000000000355,32133,0.7690037499905296,expanded,boof22
NVDA,long,177.105,177.05186849999998,sl,-0.00030000000000003575,32156,1.4564106073950152,core,boof22
NVDA,long,176.565,176.6532825,tp,0.0004999999999999499,32165,0.6436715301224145,expanded,boof22
NVDA,short,177.025,176.93648750000003,tp,0.0004999999999998807,32196,1.025987549157868,expanded,boof22
NVDA,short,176.915,176.8265425,tp,0.0005000000000000231,32233,1.1035786548489392,expanded,boof22
NVDA,long,176.875,176.9634375,tp,0.0004999999999999871,32255,0.8395417109275704,expanded,boof22
NVDA,long,177.03,177.118515,tp,0.0005000000000000056,32263,0.8444622410762845,expanded,boof22
NVDA,long,177.105,177.19355249999998,tp,0.0004999999999999526,32292,0.8966093452321865,expanded,boof22
NVDA,short,177.37,177.281315,tp,0.0004999999999999894,32317,0.7382566457966534,expanded,boof22
NVDA,short,177.3,177.21135,tp,0.0005000000000000068,32331,1.822263325954622,core,boof22
NVDA,long,177.23,177.318615,tp,0.0005000000000000244,32335,0.9618423827056015,expanded,boof22
NVDA,short,177.63,177.541185,tp,0.0004999999999999018,32341,0.7064129145737764,expanded,boof22
NVDA,short,175.745,175.6571275,tp,0.0005000000000000178,32347,1.1858422703052074,expanded,boof22
NVDA,short,175.85,175.762075,tp,0.0004999999999999106,32373,1.4885013406015786,core,boof22
NVDA,short,174.79,174.702605,tp,0.0004999999999999231,32423,0.8786660936983933,expanded,boof22
NVDA,short,174.8,174.7126,tp,0.0005000000000000135,32453,1.172227684670282,expanded,boof22
NVDA,short,175.31,175.22234500000002,tp,0.0004999999999999077,32493,0.8291806041390006,expanded,boof22
NVDA,long,175.105,175.19255249999998,tp,0.0004999999999999248,32498,0.752047821824039,expanded,boof22
NVDA,short,175.69,175.602155,tp,0.0004999999999999277,32500,1.1010796978331978,expanded,boof22
NVDA,long,175.27,175.217419,sl,-0.0003000000000000202,32512,1.407643488655002,core,boof22
NVDA,short,175.415,175.4676245,sl,-0.0003000000000000422,32520,1.1793610613004195,expanded,boof22
NVDA,long,175.475,175.5627375,tp,0.0005000000000000166,32557,0.721165344923041,expanded,boof22
NVDA,short,176.02,175.93199,tp,0.0004999999999999831,32593,1.0842265082813471,expanded,boof22
NVDA,short,175.75,175.662125,tp,0.0004999999999999819,32645,1.6625825636838245,core,boof22
NVDA,long,175.65,175.737825,tp,0.0004999999999998915,32649,1.3104998588119938,expanded,boof22
NVDA,long,175.525,175.47234250000002,sl,-0.00029999999999989134,32663,1.473898267320106,core,boof22
NVDA,short,175.525,175.5776575,sl,-0.00029999999999989134,32685,1.2264597149991494,expanded,boof22
NVDA,short,176.6,176.5117,tp,0.0005000000000000217,32697,0.7277123641692074,expanded,boof22
NVDA,long,176.365,176.3120905,sl,-0.00029999999999999087,32701,1.15704839760645,expanded,boof22
NVDA,short,177.145,177.0564275,tp,0.0004999999999999884,32723,0.7516041174927968,expanded,boof22
NVDA,short,184.335,184.24283250000002,tp,0.0004999999999999347,32751,1.827606716135725,core,boof22
NVDA,short,184.385,184.2928075,tp,0.0004999999999999007,32756,0.6533489490393237,expanded,boof22
NVDA,long,181.23,181.32061499999998,tp,0.0004999999999999198,32817,0.6030727457455327,expanded,boof22
NVDA,long,180.38,180.47018999999997,tp,0.0004999999999998805,32837,0.6125207441152191,expanded,boof22
NVDA,short,181.31,181.219345,tp,0.0004999999999999898,32875,1.131709587469566,expanded,boof22
NVDA,short,181.585,181.49420750000002,tp,0.0004999999999999562,32929,0.8055897679192954,expanded,boof22
NVDA,long,181.61,181.555517,sl,-0.000300000000000026,32963,0.6915297858267735,expanded,boof22
NVDA,short,181.755,181.80952649999998,sl,-0.00029999999999989085,33012,1.0185556293624725,expanded,boof22
NVDA,long,181.745,181.69047650000002,sl,-0.0002999999999999325,33101,1.06225990281448,expanded,boof22
NVDA,short,181.825,181.7340875,tp,0.0005000000000000096,33107,0.9073765718746629,expanded,boof22
NVDA,short,182.05,181.958975,tp,0.0005000000000000104,33118,0.6293009637194912,expanded,boof22
NVDA,long,181.74,181.83087,tp,0.0004999999999999743,33138,0.6888455565658597,expanded,boof22
NVDA,short,181.22,181.274366,sl,-0.0002999999999999309,33144,2.7459849673466223,core,boof22
NVDA,short,181.615,181.52419250000003,tp,0.0004999999999999043,33152,0.9514421969567495,expanded,boof22
NVDA,short,183.36,183.415008,sl,-0.000299999999999927,33251,1.1664806755754489,expanded,boof22
NVDA,short,183.21,183.11839500000002,tp,0.0004999999999999293,33267,0.609819008319158,expanded,boof22
NVDA,long,183.44,183.53171999999998,tp,0.000499999999999896,33293,0.6595110663988125,expanded,boof22
NVDA,short,183.485,183.39325750000003,tp,0.0004999999999998963,33307,1.132206170483008,expanded,boof22
