sym,date,level,entry_time,gap_pct,gapped_up,open_above,max_30m,max_1hr,max_2hr,max_3hr,max_eod,ret_30m,ret_1hr,ret_2hr,ret_3hr,ret_eod,rr_1_05,rr_2_1
KDP,2026-02-10,PDH,09:40,-0.386,False,False,0.716,0.716,0.716,0.716,0.716,-0.052,-0.681,-0.498,-0.629,0.28,False,False
KDP,2026-02-10,PMH,09:38,-0.386,False,False,1.016,1.016,1.016,1.016,1.016,0.334,-0.526,-0.298,-0.175,0.578,True,
KDP,2026-02-11,PDH,09:38,0.0,False,False,0.849,1.715,2.876,3.136,3.778,0.797,1.594,2.859,2.755,3.587,True,True
KDP,2026-02-11,PMH,09:36,0.0,False,False,1.054,1.922,2.964,3.346,3.988,1.003,1.731,2.964,2.912,3.797,True,True
KDP,2026-02-12,PDH,09:31,-0.619,False,False,0.15,0.15,0.417,0.417,0.484,-0.5,-0.483,0.15,-0.667,-0.333,False,
KDP,2026-02-12,PMH,09:45,-0.619,False,False,0.05,0.301,0.668,0.668,0.736,-0.184,0.251,-0.05,-0.151,-0.084,False,
KDP,2026-02-18,PMH,10:10,0.0,False,False,0.085,0.136,0.256,0.256,0.256,-0.171,0.051,0.153,-0.409,-0.614,False,
KDP,2026-02-20,PDH,09:42,0.172,True,False,0.496,0.718,0.855,0.872,1.18,0.274,0.547,0.787,0.359,1.009,True,
KDP,2026-02-20,PMH,09:42,0.172,True,False,0.496,0.718,0.855,0.872,1.18,0.274,0.547,0.787,0.359,1.009,True,
KDP,2026-02-23,PDH,09:31,0.102,True,False,0.304,0.675,0.929,1.047,1.587,0.118,0.49,0.743,0.49,0.743,True,
KDP,2026-02-23,PMH,09:40,0.102,True,False,0.202,0.421,0.623,0.741,1.279,0.084,0.341,0.387,0.168,0.438,False,
KDP,2026-02-24,PMH,09:33,2.849,True,False,0.564,0.564,0.564,0.564,1.531,-0.838,-1.128,-0.886,-0.806,0.016,False,False
KDP,2026-02-26,PMH,10:01,0.647,True,False,0.936,0.936,0.936,0.936,0.936,0.575,0.509,-0.312,0.115,-0.361,False,
KDP,2026-02-27,PMH,09:35,-0.033,False,False,0.327,0.327,0.327,0.327,0.327,-0.344,-0.229,-0.278,-0.278,-0.884,False,False
KDP,2026-03-02,PMH,10:32,-0.297,False,False,0.227,0.227,0.227,0.227,0.227,-0.467,-0.88,-0.434,-0.599,-1.061,False,False
KDP,2026-03-10,PDH,10:45,-0.603,False,False,-0.018,0.124,0.283,0.283,0.283,-0.496,0.071,-0.124,-0.177,-0.69,False,False
KDP,2026-03-10,PMH,10:30,-0.603,False,False,0.035,0.035,0.319,0.319,0.319,-0.124,-0.053,-0.159,0.0,-0.655,False,
KDP,2026-03-13,PMH,09:49,0.742,True,False,0.147,0.147,0.147,0.147,0.605,-0.55,-0.303,-0.55,0.092,0.421,False,
KDP,2026-03-16,PMH,09:44,0.985,True,False,0.036,0.1,0.179,0.179,0.179,-0.072,-0.518,0.054,-0.769,-1.466,False,False
KDP,2026-03-19,PDH,09:32,0.129,True,False,0.11,0.567,0.567,0.567,0.567,0.018,-0.329,-0.329,-0.567,-0.695,False,False
KDP,2026-03-19,PMH,09:50,0.129,True,False,0.771,0.918,0.918,0.918,0.918,0.752,-0.404,-0.11,-0.514,-0.349,False,
KDP,2026-03-20,PMH,09:57,0.11,True,False,0.092,0.092,0.092,0.092,0.092,-0.495,-0.349,-0.917,-1.064,-2.403,False,False
KDP,2026-03-24,PMH,11:43,-0.377,False,False,0.15,0.337,0.337,0.337,0.337,0.131,-0.019,-0.412,-0.431,-1.798,False,False
KDP,2026-03-26,PDH,09:59,0.493,True,True,0.189,0.717,0.717,0.717,0.717,0.151,0.509,-0.699,-0.227,-0.736,False,False
KDP,2026-03-26,PMH,10:34,0.493,True,False,0.188,0.188,0.188,0.188,0.188,0.056,-0.977,-0.845,-1.315,-1.258,False,False
KDP,2026-03-27,PMH,09:33,-0.723,False,True,0.651,0.728,1.169,1.782,1.782,0.498,0.498,1.054,1.59,0.536,True,
