symbol,date,direction,tp,sl,pnl
AVGO,2026-01-05,long,0.005,0.0025,-0.0025
AVGO,2026-01-05,long,0.005,0.004,-0.004
AVGO,2026-01-05,long,0.005,0.005,-0.005
AVGO,2026-01-05,long,0.0075,0.0025,-0.0025
AVGO,2026-01-05,long,0.0075,0.004,-0.004
AVGO,2026-01-05,long,0.0075,0.005,-0.005
AVGO,2026-01-06,long,0.0025,0.0025,0.0014554769597997265
AVGO,2026-01-06,long,0.0025,0.004,0.0014554769597997265
AVGO,2026-01-06,long,0.0025,0.005,0.0014554769597997265
AVGO,2026-01-06,long,0.005,0.0025,0.0014554769597997265
AVGO,2026-01-06,long,0.005,0.004,0.0014554769597997265
AVGO,2026-01-06,long,0.005,0.005,0.0014554769597997265
AVGO,2026-01-06,long,0.0075,0.0025,0.0014554769597997265
AVGO,2026-01-06,long,0.0075,0.004,0.0014554769597997265
AVGO,2026-01-06,long,0.0075,0.005,0.0014554769597997265
AVGO,2026-01-09,long,0.0025,0.0025,0.0025
AVGO,2026-01-09,long,0.0025,0.004,0.0025
AVGO,2026-01-09,long,0.0025,0.005,0.0025
AVGO,2026-01-09,long,0.005,0.0025,0.002506041349682195
AVGO,2026-01-09,long,0.005,0.004,0.002506041349682195
AVGO,2026-01-09,long,0.005,0.005,0.002506041349682195
AVGO,2026-01-09,long,0.0075,0.0025,0.002506041349682195
AVGO,2026-01-09,long,0.0075,0.004,0.002506041349682195
AVGO,2026-01-09,long,0.0075,0.005,0.002506041349682195
AVGO,2026-01-09,long,0.0025,0.0025,0.0025
AVGO,2026-01-09,long,0.0025,0.004,0.0025
AVGO,2026-01-09,long,0.0025,0.005,0.0025
AVGO,2026-01-09,long,0.005,0.0025,0.002118391216135516
AVGO,2026-01-09,long,0.005,0.004,0.002118391216135516
AVGO,2026-01-09,long,0.005,0.005,0.002118391216135516
AVGO,2026-01-09,long,0.0075,0.0025,0.002118391216135516
AVGO,2026-01-09,long,0.0075,0.004,0.002118391216135516
AVGO,2026-01-09,long,0.0075,0.005,0.002118391216135516
AVGO,2026-01-09,long,0.0025,0.0025,0.0025
AVGO,2026-01-09,long,0.0025,0.004,0.0025
AVGO,2026-01-09,long,0.0025,0.005,0.0025
AVGO,2026-01-09,long,0.005,0.0025,0.002447542011163329
AVGO,2026-01-09,long,0.005,0.004,0.002447542011163329
AVGO,2026-01-09,long,0.005,0.005,0.002447542011163329
AVGO,2026-01-09,long,0.0075,0.0025,0.002447542011163329
AVGO,2026-01-09,long,0.0075,0.004,0.002447542011163329
AVGO,2026-01-09,long,0.0075,0.005,0.002447542011163329
AVGO,2026-01-09,long,0.0025,0.0025,0.0025
AVGO,2026-01-09,long,0.0025,0.004,0.0025
AVGO,2026-01-09,long,0.0025,0.005,0.0025
AVGO,2026-01-09,long,0.005,0.0025,0.002472003812246796
AVGO,2026-01-09,long,0.005,0.004,0.002472003812246796
AVGO,2026-01-09,long,0.005,0.005,0.002472003812246796
AVGO,2026-01-09,long,0.0075,0.0025,0.002472003812246796
AVGO,2026-01-09,long,0.0075,0.004,0.002472003812246796
AVGO,2026-01-09,long,0.0075,0.005,0.002472003812246796
AVGO,2026-01-09,long,0.0025,0.0025,0.0025
AVGO,2026-01-09,long,0.0025,0.004,0.0025
AVGO,2026-01-09,long,0.0025,0.005,0.0025
AVGO,2026-01-09,long,0.005,0.0025,0.0006548593540706275
AVGO,2026-01-09,long,0.005,0.004,0.0006548593540706275
AVGO,2026-01-09,long,0.005,0.005,0.0006548593540706275
AVGO,2026-01-09,long,0.0075,0.0025,0.0006548593540706275
AVGO,2026-01-09,long,0.0075,0.004,0.0006548593540706275
AVGO,2026-01-09,long,0.0075,0.005,0.0006548593540706275
AVGO,2026-01-15,long,0.0025,0.0025,0.0025
AVGO,2026-01-15,long,0.0025,0.004,0.0025
AVGO,2026-01-15,long,0.0025,0.005,0.0025
AVGO,2026-01-15,long,0.005,0.0025,0.005
AVGO,2026-01-15,long,0.005,0.004,0.005
AVGO,2026-01-15,long,0.005,0.005,0.005
AVGO,2026-01-15,long,0.0075,0.0025,0.002995823131211351
AVGO,2026-01-15,long,0.0075,0.004,0.002995823131211351
AVGO,2026-01-15,long,0.0075,0.005,0.002995823131211351
AVGO,2026-01-15,long,0.0025,0.0025,-0.0025
AVGO,2026-01-15,long,0.0025,0.004,-0.004
AVGO,2026-01-15,long,0.0025,0.005,-0.005
AVGO,2026-01-15,long,0.005,0.0025,-0.0025
AVGO,2026-01-15,long,0.005,0.004,-0.004
AVGO,2026-01-15,long,0.005,0.005,-0.005
AVGO,2026-01-15,long,0.0075,0.0025,-0.0025
AVGO,2026-01-15,long,0.0075,0.004,-0.004
AVGO,2026-01-15,long,0.0075,0.005,-0.005
AVGO,2026-01-16,long,0.0025,0.0025,0.0006918420294033125
AVGO,2026-01-16,long,0.0025,0.004,0.0006918420294033125
AVGO,2026-01-16,long,0.0025,0.005,0.0006918420294033125
AVGO,2026-01-16,long,0.005,0.0025,0.0006918420294033125
AVGO,2026-01-16,long,0.005,0.004,0.0006918420294033125
AVGO,2026-01-16,long,0.005,0.005,0.0006918420294033125
AVGO,2026-01-16,long,0.0075,0.0025,0.0006918420294033125
AVGO,2026-01-16,long,0.0075,0.004,0.0006918420294033125
AVGO,2026-01-16,long,0.0075,0.005,0.0006918420294033125
AVGO,2026-01-16,long,0.0025,0.0025,-0.0025
AVGO,2026-01-16,long,0.0025,0.004,-0.004
AVGO,2026-01-16,long,0.0025,0.005,-0.005
AVGO,2026-01-16,long,0.005,0.0025,-0.0025
AVGO,2026-01-16,long,0.005,0.004,-0.004
AVGO,2026-01-16,long,0.005,0.005,-0.005
AVGO,2026-01-16,long,0.0075,0.0025,-0.0025
AVGO,2026-01-16,long,0.0075,0.004,-0.004
AVGO,2026-01-16,long,0.0075,0.005,-0.005
AVGO,2026-01-21,short,0.0025,0.0025,-0.0025
AVGO,2026-01-21,short,0.0025,0.004,-0.001399392604061128
AVGO,2026-01-21,short,0.0025,0.005,-0.001399392604061128
AVGO,2026-01-21,short,0.005,0.0025,-0.0025
AVGO,2026-01-21,short,0.005,0.004,-0.001399392604061128
AVGO,2026-01-21,short,0.005,0.005,-0.001399392604061128
AVGO,2026-01-21,short,0.0075,0.0025,-0.0025
AVGO,2026-01-21,short,0.0075,0.004,-0.001399392604061128
AVGO,2026-01-21,short,0.0075,0.005,-0.001399392604061128
AVGO,2026-01-22,long,0.0025,0.0025,-0.0025
AVGO,2026-01-22,long,0.0025,0.004,-0.003401665025512447
AVGO,2026-01-22,long,0.0025,0.005,-0.003401665025512447
AVGO,2026-01-22,long,0.005,0.0025,-0.0025
AVGO,2026-01-22,long,0.005,0.004,-0.003401665025512447
AVGO,2026-01-22,long,0.005,0.005,-0.003401665025512447
AVGO,2026-01-22,long,0.0075,0.0025,-0.0025
AVGO,2026-01-22,long,0.0075,0.004,-0.003401665025512447
AVGO,2026-01-22,long,0.0075,0.005,-0.003401665025512447
