label,n,wr,avg,tot,pf,tpd
QQQ | 09:30-10:00,17,52.94117647058824,0.16826651771755197,2.8605308011983834,4.215997591656232,1.0
SPY | 09:30-10:30 + 13:30-15:30,108,25.0,0.006662348447590278,0.71953363233975,1.088498445206263,1.5211267605633803
SPY | 09:45-11:00 + 14:00-15:30,119,26.05042016806723,0.006069431971414992,0.7222624045983841,1.0766103635458273,1.5454545454545454
QQQ | 10:00-11:00 + 13:30-15:00,92,28.26086956521739,0.00812271258297772,0.7472895576339502,1.072533297117718,1.4838709677419355
SPY | 10:00-11:00 + 14:00-15:30,104,24.03846153846154,0.005259416533648858,0.5469793194994812,1.0710084189289668,1.4647887323943662
SPY | 09:45-11:00 + 13:30-15:00,115,26.956521739130434,0.005187047007270123,0.5965104058360642,1.0617922047791593,1.5333333333333334
SPY | 09:30-11:00 + 14:00-15:30,123,26.01626016260163,0.004510876558352418,0.5548378166773473,1.0560716243350179,1.5569620253164558
SPY | 10:00-11:00 + 13:30-15:00,100,25.0,0.004212273207371615,0.4212273207371615,1.0531264216766925,1.4705882352941178
SPY | 09:30-11:00 + 13:30-15:00,119,26.89075630252101,0.0036057631757565357,0.42908581791502776,1.0423959545743946,1.5454545454545454
SPY | 09:30-10:30 + 14:00-15:30,97,24.742268041237114,0.0023105478198631574,0.22412313852672627,1.0293898187182928,1.4057971014492754
QQQ | 09:45-11:00,56,32.142857142857146,0.0033164925228603348,0.18572358128017874,1.0250494546994844,1.3658536585365855
QQQ | 10:00-12:00,81,29.629629629629626,0.0019541705859122153,0.15828781745888942,1.0157630307044745,1.528301886792453
SPY | 09:30-10:30 + 13:30-15:00,93,25.806451612903224,0.0010577541910151186,0.09837113976440603,1.0125287556907592,1.3880597014925373
SPY | 09:30-10:00,19,36.84210526315789,0.00041360511462451566,0.007858497177865797,1.0035848494122066,1.0555555555555556
SPY | 09:45-11:00,71,30.985915492957744,9.288051558227894e-05,0.006594516606341805,1.0009167447353782,1.42
SPY | 09:30-11:00,75,30.666666666666664,-0.0021444009508626008,-0.16083007131469507,0.9790061821215812,1.4423076923076923
SPY | 10:00-11:00,56,28.57142857142857,-0.0030122958659385968,-0.16868856849256142,0.969153743830935,1.3333333333333333
SPY | 09:30-10:30,49,30.612244897959183,-0.010031525499292175,-0.49154474946531657,0.9088304424230068,1.1951219512195121
QQQ | 10:00-11:30,66,27.27272727272727,-0.016645391705765705,-1.0985958525805366,0.8751396392120531,1.4042553191489362
QQQ | 10:00-11:00,48,27.083333333333332,-0.030340447494890163,-1.4563414797547278,0.7921395233214193,1.3333333333333333
