date,side,entry_dist,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_15m,mae_15m,hit_+0.25%,hit_+0.50%,hit_+0.60%,hit_+0.75%,hit_+1.00%
2026-03-24,short,0.41430429467917046,0.2665,0.0015,0.2681,0.0015,0.2681,0.0015,True,False,False,False,False
2026-03-25,long,0.40883616692495184,0.2317,0.0026,0.2317,0.0026,0.3439,0.0026,True,False,False,False,False
2026-03-25,long,0.48301847195859104,0.2306,0.1023,0.368,0.1023,0.5085,0.1023,True,True,False,False,False
2026-03-26,long,0.4735674753645107,0.0254,0.0755,0.0462,0.0755,0.0462,0.0755,False,False,False,False,False
2026-03-26,long,0.48218076221294753,0.0485,0.0362,0.0485,0.1279,0.0485,0.1549,False,False,False,False,False
2026-03-26,long,0.5801223849850817,0.0108,0.0771,0.0108,0.1435,0.0108,0.2191,False,False,False,False,False
2026-03-26,long,0.6942980530505074,0.0127,0.1051,0.0695,0.1051,0.0695,0.1051,False,False,False,False,False
2026-03-26,long,0.7076701710830189,0.1005,0.0,0.1377,0.0,0.1516,0.0,False,False,False,False,False
2026-03-27,long,0.4255529938563934,0.0055,0.0824,0.0212,0.0824,0.0212,0.1044,False,False,False,False,False
2026-03-27,long,0.45445055045184113,0.0055,0.0707,0.0055,0.0754,0.0055,0.1129,False,False,False,False,False
2026-03-27,long,0.5596290648200404,0.0393,0.1164,0.0393,0.1164,0.0739,0.1164,False,False,False,False,False
2026-03-27,long,0.5420375612140952,0.0503,0.0283,0.0503,0.033,0.0551,0.033,False,False,False,False,False
2026-03-27,long,0.5443415967851621,0.0205,0.0299,0.0425,0.1086,0.0425,0.1401,False,False,False,False,False
2026-03-30,long,0.4034802969395539,0.0505,0.0765,0.0505,0.1049,0.0505,0.1767,False,False,False,False,False
2026-03-30,long,0.5207526165521261,0.0648,0.0569,0.1398,0.0569,0.2464,0.0569,False,False,False,False,False
2026-03-30,long,0.44620152787941253,0.079,0.0079,0.079,0.0624,0.079,0.0624,False,False,False,False,False
2026-03-30,long,0.4698835564754379,0.0055,0.0932,0.0506,0.0932,0.0506,0.0932,False,False,False,False,False
2026-03-30,long,0.5184471846042598,0.0111,0.0965,0.0111,0.125,0.0111,0.1677,False,False,False,False,False
2026-03-31,long,0.4180733555018631,0.2256,0.0282,0.4889,0.0282,0.4889,0.0282,True,False,False,False,False
2026-03-31,short,0.4322602925574791,0.014,0.9105,0.014,0.9105,0.014,0.9105,False,False,False,False,False
2026-03-31,short,0.7645668544929637,0.0525,0.207,0.2735,0.207,0.2735,0.207,True,False,False,False,False
