pnl,slack,tier,result,symbol
-25.0,0.7005182172915451,expanded,loss,META
-50.0,1.0418542881008563,core,loss,META
-50.0,0.8400727160133018,core,loss,META
-25.0,0.6034231638196466,expanded,loss,META
-25.0,0.7740036929151989,expanded,loss,META
-25.0,0.6212169435455327,expanded,loss,META
-25.0,0.691744627334504,expanded,loss,META
-50.0,2.0698587637184978,core,loss,META
-25.0,0.7708751320643935,expanded,loss,META
-50.0,0.8428894400740128,core,loss,META
-50.0,0.8204397836179558,core,loss,META
-50.0,0.8482916107142531,core,loss,META
-50.0,0.8678800784959552,core,loss,META
-25.0,0.6251965304700707,expanded,loss,META
200.0,1.2137148881227553,core,win,META
200.0,1.423634643350002,core,win,META
-50.0,0.9928123386415786,core,loss,META
-25.0,0.7912356038229093,expanded,loss,META
-25.0,0.778692188660116,expanded,loss,META
100.0,0.7009477940855104,expanded,win,META
-25.0,0.7135433003044609,expanded,loss,META
200.0,0.8745846387768412,core,win,META
-50.0,0.8730247116687548,core,loss,META
-25.0,0.6275431139928963,expanded,loss,META
200.0,1.2439303645152548,core,win,META
-50.0,0.951970610584673,core,loss,META
-25.0,0.6343221465891834,expanded,loss,META
-50.0,1.1238608933447038,core,loss,META
100.0,0.7159149256498251,expanded,win,META
-25.0,0.61696413406407,expanded,loss,META
-50.0,1.1242057634891878,core,loss,META
-25.0,0.6087759512749019,expanded,loss,META
-50.0,1.1195327993670774,core,loss,META
100.0,0.7107612573051046,expanded,win,META
200.0,2.582821528635962,core,win,META
-50.0,1.394081231773202,core,loss,META
-25.0,0.7966678300672863,expanded,loss,META
200.0,0.8354415031859384,core,win,META
-50.0,2.51666831988006,core,loss,META
200.0,1.677288240393445,core,win,META
-25.0,0.6623155797285337,expanded,loss,META
-50.0,0.8613387541618138,core,loss,META
-50.0,0.8280129303578792,core,loss,META
-25.0,0.7593341997402655,expanded,loss,META
200.0,1.4855438216153423,core,win,META
200.0,0.8628704312460491,core,win,META
-50.0,0.9757926757402309,core,loss,META
-50.0,0.9219212533438323,core,loss,META
-50.0,1.0270028915753397,core,loss,META
-50.0,0.847751827500177,core,loss,META
100.0,0.7353921616869418,expanded,win,META
-50.0,2.1162281749331617,core,loss,META
-50.0,1.0129933472735801,core,loss,META
-50.0,0.8569869262454016,core,loss,META
-50.0,1.0325021741348879,core,loss,META
100.0,0.6307568385750144,expanded,win,META
-50.0,0.9845870198234307,core,loss,META
-50.0,0.9400967929674274,core,loss,META
200.0,2.267752590214677,core,win,META
-50.0,0.8022513437829679,core,loss,META
-25.0,0.7435417309733547,expanded,loss,META
-50.0,0.920771270246052,core,loss,META
-25.0,0.7717160879658889,expanded,loss,META
100.0,0.6157780902871606,expanded,win,GOOGL
-50.0,1.2736315345053224,core,loss,GOOGL
-25.0,0.6798989692206909,expanded,loss,GOOGL
100.0,0.7623290124407345,expanded,win,GOOGL
100.0,0.6458921590445084,expanded,win,GOOGL
-50.0,1.0467524165392323,core,loss,GOOGL
-50.0,1.2032082511261544,core,loss,GOOGL
-50.0,1.7035125614694913,core,loss,GOOGL
-25.0,0.6048735289530776,expanded,loss,GOOGL
200.0,0.9164129552415431,core,win,GOOGL
-50.0,1.451745164216458,core,loss,GOOGL
200.0,0.9849549295370612,core,win,GOOGL
-50.0,1.108773091277145,core,loss,GOOGL
200.0,1.5472896405767806,core,win,GOOGL
-50.0,0.9966683624475469,core,loss,GOOGL
200.0,1.3641485966319042,core,win,GOOGL
-25.0,0.7611056130267465,expanded,loss,GOOGL
200.0,0.9481046262980727,core,win,GOOGL
-25.0,0.6825691705042535,expanded,loss,GOOGL
-50.0,1.0521473596618502,core,loss,GOOGL
200.0,0.9303408247513311,core,win,GOOGL
-25.0,0.7045518652486306,expanded,loss,GOOGL
-50.0,4.305960431943796,core,loss,GOOGL
-50.0,1.1522928043890837,core,loss,GOOGL
-50.0,2.227849191797914,core,loss,GOOGL
-25.0,0.674790745976265,expanded,loss,GOOGL
-25.0,0.6338006749487659,expanded,loss,GOOGL
-50.0,0.940709069727879,core,loss,GOOGL
-50.0,1.1363737719283475,core,loss,GOOGL
-25.0,0.6564411179300289,expanded,loss,GOOGL
-25.0,0.6084094541387699,expanded,loss,GOOGL
-25.0,0.7291501461377431,expanded,loss,GOOGL
-50.0,5.329227416376374,core,loss,GOOGL
-50.0,1.2771378916889007,core,loss,GOOGL
-50.0,0.8162311087285808,core,loss,GOOGL
-25.0,0.6406346789525559,expanded,loss,GOOGL
100.0,0.7556767754546786,expanded,win,GOOGL
-50.0,1.169145589650712,core,loss,GOOGL
-50.0,0.8706163687670914,core,loss,GOOGL
-50.0,1.0534657266468976,core,loss,GOOGL
-50.0,1.184532172644776,core,loss,GOOGL
-25.0,0.6403504115729203,expanded,loss,GOOGL
-50.0,1.0956232370745151,core,loss,GOOGL
200.0,0.8487665918576804,core,win,GOOGL
100.0,0.7351266217181353,expanded,win,GOOGL
-25.0,0.690683675966268,expanded,loss,GOOGL
100.0,0.7581737871692726,expanded,win,GOOGL
-50.0,1.7123816739149493,core,loss,GOOGL
-50.0,2.120112019746547,core,loss,GOOGL
200.0,1.03741459714647,core,win,GOOGL
100.0,0.7741775869080019,expanded,win,GOOGL
-50.0,1.09123645908653,core,loss,GOOGL
200.0,1.2769407814996219,core,win,GOOGL
-50.0,1.3283553447475536,core,loss,GOOGL
-50.0,1.1297991758535575,core,loss,GOOGL
-25.0,0.6661841299811141,expanded,loss,GOOGL
-25.0,0.7982231904203828,expanded,loss,GOOGL
100.0,0.7268732086857639,expanded,win,GOOGL
-50.0,0.8527291719314752,core,loss,GOOGL
-25.0,0.6867580353910009,expanded,loss,GOOGL
-50.0,0.871426083247322,core,loss,GOOGL
-50.0,1.5774422821005762,core,loss,GOOGL
-50.0,0.8084543185189561,core,loss,GOOGL
-50.0,0.8561597737047646,core,loss,GOOGL
200.0,0.8499372048606879,core,win,GOOGL
-50.0,1.2348502346085501,core,loss,GOOGL
-50.0,0.8943826123282113,core,loss,GOOGL
100.0,0.6605427483159142,expanded,win,GOOGL
100.0,0.685448408894945,expanded,win,GOOGL
-25.0,0.7580535152930459,expanded,loss,GOOGL
-50.0,1.1192076260473236,core,loss,GOOGL
100.0,0.6334898148807383,expanded,win,GOOGL
-50.0,1.2256991268928985,core,loss,AMD
-50.0,0.9211625856984255,core,loss,AMD
-50.0,1.5279146439432003,core,loss,AMD
-50.0,0.8143824781830009,core,loss,AMD
-50.0,0.9863423195485589,core,loss,AMD
200.0,0.9670421017493966,core,win,AMD
