symbol,pnl,gross_pnl,costs,slack,result,is_test
NVDA,-54.5,-50.0,4.5,1.5162437219810447,loss,True
NVDA,195.5,200.0,4.5,0.8135467831769261,win,True
NVDA,195.5,200.0,4.5,1.7035852923949353,win,True
NVDA,195.5,200.0,4.5,1.069333488279589,win,True
NVDA,195.5,200.0,4.5,1.024464853312195,win,True
NVDA,-54.5,-50.0,4.5,1.0844010769206407,loss,True
NVDA,195.5,200.0,4.5,0.8982517826948511,win,True
NVDA,-54.5,-50.0,4.5,1.1547371022389123,loss,True
NVDA,-54.5,-50.0,4.5,0.8916128774573107,loss,True
META,-54.5,-50.0,4.5,1.1194238838884594,loss,True
META,-54.5,-50.0,4.5,1.1161599508903772,loss,True
META,-54.5,-50.0,4.5,2.811113349696954,loss,True
META,195.5,200.0,4.5,1.9267172488322415,win,True
META,195.5,200.0,4.5,0.9054694029408118,win,True
META,-54.5,-50.0,4.5,1.2268663637663186,loss,True
META,-54.5,-50.0,4.5,1.0679928577657802,loss,True
META,-54.5,-50.0,4.5,0.8464641138273186,loss,True
META,-54.5,-50.0,4.5,1.1290411651333463,loss,True
META,-54.5,-50.0,4.5,1.0833195497730963,loss,True
META,-54.5,-50.0,4.5,1.083775515230298,loss,True
META,-54.5,-50.0,4.5,0.9039300096429443,loss,True
META,-54.5,-50.0,4.5,2.9187704469543254,loss,True
META,195.5,200.0,4.5,0.8666466899765684,win,True
META,-54.5,-50.0,4.5,0.9025474160813369,loss,True
META,195.5,200.0,4.5,1.1768279043689833,win,True
META,-54.5,-50.0,4.5,0.9397092824990682,loss,True
META,-54.5,-50.0,4.5,2.9234075254378613,loss,True
META,-54.5,-50.0,4.5,1.505298307567934,loss,True
META,-54.5,-50.0,4.5,0.8429248421928932,loss,True
META,-54.5,-50.0,4.5,0.9825247568800306,loss,True
META,195.5,200.0,4.5,0.871905242683303,win,True
META,-54.5,-50.0,4.5,1.0418542881008563,loss,True
META,-54.5,-50.0,4.5,0.8400727160133018,loss,True
META,-54.5,-50.0,4.5,1.2704086170985862,loss,True
META,-54.5,-50.0,4.5,2.8867490429488805,loss,True
META,-54.5,-50.0,4.5,2.0698587637184978,loss,True
META,-54.5,-50.0,4.5,0.8428894400740128,loss,True
META,-54.5,-50.0,4.5,0.8204397836179558,loss,True
META,-54.5,-50.0,4.5,0.8482916107142531,loss,True
META,-54.5,-50.0,4.5,0.8678800784959552,loss,True
META,195.5,200.0,4.5,1.2137148881227553,win,True
META,195.5,200.0,4.5,1.423634643350002,win,True
