symbol,date,time,window,direction,entry,mfe,bar1_body_pct,bar2_body_pct,bar1_rvol,bar2_rvol,bar1_close_vs_vwap,bar2_close_vs_vwap,vwap_slope,is_runner
NVDA,2025-03-03,14:30:00,2:30-4PM,short,122.71,-3.32,0.42,0.21,17.1,4.4,-0.6,-0.75,-0.3,1
NVDA,2025-03-03,14:34:00,2:30-4PM,short,121.79,-2.78,0.5,0.44,3.0,3.3,-0.89,-1.22,-0.531,1
NVDA,2025-03-03,14:35:00,2:30-4PM,short,121.69,-2.71,0.44,0.08,3.3,2.3,-1.22,-1.19,-0.646,1
NVDA,2025-03-04,14:33:00,2:30-4PM,long,113.36,1.57,0.98,0.34,2.8,2.3,1.35,1.6,0.146,0
NVDA,2025-03-05,14:31:00,2:30-4PM,short,115.92,-1.1,0.72,0.71,5.7,4.3,-0.63,-1.23,-0.088,0
NVDA,2025-03-07,14:30:00,2:30-4PM,long,111.95,1.37,0.49,0.12,15.4,4.9,0.07,0.18,-0.064,0
NVDA,2025-04-03,09:45:00,9:30-11AM,short,105.59,-0.96,0.6,0.42,7.5,4.2,-0.68,-1.06,-0.042,0
NVDA,2025-04-04,10:16:00,9:30-11AM,short,99.35,-2.49,0.65,0.11,7.3,1.9,-1.93,-1.95,-0.683,1
NVDA,2025-04-04,10:22:00,9:30-11AM,short,96.89,0.03,0.63,0.23,2.8,1.8,-3.19,-3.27,-1.474,0
NVDA,2025-04-04,14:49:00,2:30-4PM,short,92.14,-0.03,0.61,0.59,2.1,2.2,-4.14,-4.61,-0.31,0
NVDA,2025-04-07,10:02:00,9:30-11AM,long,91.23,1.42,1.43,0.27,5.5,4.0,2.23,2.46,0.082,0
NVDA,2025-05-01,15:16:00,2:30-4PM,long,114.62,0.28,0.48,0.17,5.2,3.0,1.02,1.16,0.058,0
AAPL,2025-01-10,14:31:00,2:30-4PM,short,238.49,-0.62,0.42,0.21,3.8,2.0,-0.4,-0.55,-0.678,0
AAPL,2025-01-15,14:30:00,2:30-4PM,long,236.54,0.67,0.45,0.35,17.7,4.6,0.26,0.52,0.09,0
AAPL,2025-01-27,14:30:00,2:30-4PM,long,226.62,0.48,0.61,0.55,16.4,4.7,0.99,1.38,0.492,0
AAPL,2025-01-28,14:30:00,2:30-4PM,long,233.04,1.1,0.79,0.15,13.4,3.8,0.62,0.67,0.404,0
AAPL,2025-02-11,14:30:00,2:30-4PM,long,230.22,0.73,0.58,0.29,13.4,5.1,0.8,1.01,0.228,0
AAPL,2025-02-13,14:30:00,2:30-4PM,long,238.67,0.14,0.65,0.1,19.0,4.5,0.53,0.55,0.287,0
AAPL,2025-02-24,14:30:00,2:30-4PM,long,246.76,0.56,0.44,0.27,16.4,3.5,0.55,0.76,0.44,0
AAPL,2025-03-03,14:32:00,2:30-4PM,long,243.25,0.32,0.44,0.22,3.0,2.2,0.44,0.61,0.033,0
AAPL,2025-03-04,14:31:00,2:30-4PM,short,238.17,-0.77,0.43,0.0,3.1,2.4,-0.07,-0.07,0.117,0
AAPL,2025-03-06,14:36:00,2:30-4PM,long,236.22,0.1,0.62,0.11,3.6,2.4,0.63,0.68,0.045,0
AAPL,2025-06-04,10:17:00,9:30-11AM,short,201.47,-0.1,0.57,0.31,12.6,8.5,-0.34,-0.6,-0.078,0
AMZN,2025-01-14,14:31:00,2:30-4PM,short,219.73,-0.05,0.43,0.1,4.4,3.3,-0.2,-0.3,0.198,0
AMZN,2025-02-03,14:30:00,2:30-4PM,long,235.51,1.18,0.42,0.26,17.7,3.1,0.33,0.53,0.277,0
AMZN,2025-04-04,10:21:00,9:30-11AM,short,170.05,-1.63,0.47,0.56,3.9,2.1,-2.27,-2.65,-0.875,0
AMZN,2025-04-04,10:22:00,9:30-11AM,short,169.13,-1.09,0.56,0.52,2.1,3.2,-2.65,-2.88,-1.014,0
AMZN,2025-04-07,10:02:00,9:30-11AM,long,165.64,1.41,0.82,0.08,2.9,1.7,1.02,1.11,0.029,0
AMZN,2025-05-15,15:22:00,2:30-4PM,short,203.92,-0.61,0.4,0.14,2.1,2.9,-0.28,-0.41,-0.016,0
SPY,2025-04-07,15:14:00,2:30-4PM,short,495.02,-0.31,1.48,0.25,5.5,3.6,-0.69,-0.93,0.022,0
MSFT,2025-01-10,14:30:00,2:30-4PM,short,421.53,-0.69,0.56,0.16,17.4,2.0,-0.14,-0.29,0.088,0
MSFT,2025-01-24,14:30:00,2:30-4PM,short,442.22,-0.19,0.48,0.25,18.4,3.5,-0.24,-0.41,-0.416,0
MSFT,2025-02-28,14:32:00,2:30-4PM,short,388.12,-0.4,0.62,0.14,5.4,3.5,-0.74,-0.73,-0.413,0
MSFT,2025-03-06,14:32:00,2:30-4PM,long,397.22,0.23,0.47,0.08,3.6,1.8,0.46,0.54,-0.329,0
META,2025-01-02,14:33:00,2:30-4PM,short,589.93,-0.36,0.4,0.13,2.7,1.5,-0.25,-0.33,-0.133,0
META,2025-01-07,14:30:00,2:30-4PM,short,626.24,-0.72,0.49,0.34,16.0,2.6,-0.08,-0.43,0.162,0
META,2025-01-10,14:35:00,2:30-4PM,short,606.86,-0.91,0.73,0.39,2.9,1.9,-0.26,-0.61,0.941,0
META,2025-01-14,14:31:00,2:30-4PM,short,598.6,-0.42,0.45,0.44,6.4,5.2,-0.54,-0.87,-0.254,0
META,2025-01-14,14:32:00,2:30-4PM,short,597.84,-0.3,0.44,0.2,5.2,4.6,-0.87,-0.83,-0.409,0
META,2025-01-15,14:31:00,2:30-4PM,long,611.56,0.38,0.53,0.11,3.5,2.6,0.51,0.59,0.61,0
META,2025-01-27,14:30:00,2:30-4PM,long,640.1,0.13,1.32,0.78,16.6,5.0,1.07,1.75,0.211,0
META,2025-01-27,14:35:00,2:30-4PM,short,627.67,-0.41,0.55,0.27,2.1,2.2,-0.05,-0.32,0.466,0
META,2025-01-30,14:36:00,2:30-4PM,long,695.55,2.19,0.64,0.52,2.4,1.6,0.07,0.53,0.183,1
META,2025-01-30,14:38:00,2:30-4PM,long,705.26,0.78,1.04,0.45,3.0,1.7,1.42,1.69,0.295,0
META,2025-02-03,14:30:00,2:30-4PM,long,683.62,2.03,0.97,0.25,18.2,3.9,0.62,0.74,0.415,1
META,2025-02-03,14:34:00,2:30-4PM,long,688.68,1.28,0.51,0.5,2.8,1.9,0.8,1.25,0.664,0
META,2025-02-28,14:30:00,2:30-4PM,short,650.9,-1.27,0.89,0.23,18.5,5.2,-0.69,-0.78,-0.67,0
META,2025-03-04,14:31:00,2:30-4PM,short,641.49,-1.36,0.48,0.15,3.9,3.0,-0.57,-0.69,-0.146,0
META,2025-03-07,14:34:00,2:30-4PM,long,627.84,1.11,0.62,0.09,3.4,2.1,0.17,0.22,-0.149,0
META,2025-04-07,10:02:00,9:30-11AM,long,489.82,1.47,0.58,0.26,4.5,1.7,1.56,1.8,0.046,0
META,2025-04-07,10:05:00,9:30-11AM,long,490.87,1.25,0.42,0.18,2.3,1.8,1.82,1.99,0.067,0
GOOGL,2025-01-14,14:31:00,2:30-4PM,short,190.82,-0.12,0.46,0.05,2.8,2.7,-0.33,-0.35,-0.012,0
GOOGL,2025-01-21,14:30:00,2:30-4PM,long,201.18,0.55,0.71,0.47,18.5,4.8,0.46,0.74,0.718,0
GOOGL,2025-01-30,14:30:00,2:30-4PM,long,199.6,0.9,0.59,0.21,18.1,4.5,0.48,0.61,0.468,0
GOOGL,2025-01-30,14:34:00,2:30-4PM,short,198.05,-0.03,0.45,0.18,2.2,2.3,-0.09,-0.26,0.657,0
GOOGL,2025-02-03,15:21:00,2:30-4PM,long,201.62,0.85,0.42,0.14,2.1,1.6,0.03,0.18,-0.019,0
GOOGL,2025-02-05,14:31:00,2:30-4PM,short,188.94,-0.22,0.73,0.31,3.3,3.4,-0.75,-0.94,-0.219,0
GOOGL,2025-02-07,15:00:00,2:30-4PM,short,187.73,-0.84,0.49,0.15,4.4,1.6,-1.0,-1.1,-0.279,0
GOOGL,2025-02-10,14:30:00,2:30-4PM,short,186.1,-0.11,0.45,0.22,17.3,5.3,-0.06,-0.25,0.112,0
GOOGL,2025-02-11,14:32:00,2:30-4PM,long,186.8,0.07,0.42,0.08,4.0,2.1,0.58,0.61,0.09,0
GOOGL,2025-03-03,14:31:00,2:30-4PM,long,173.0,0.21,0.77,0.06,4.6,2.9,0.6,0.62,0.093,0
GOOGL,2025-04-07,10:02:00,9:30-11AM,long,140.95,1.05,0.59,0.07,2.7,2.3,0.58,0.73,0.016,0
GOOGL,2025-04-07,15:14:00,2:30-4PM,short,143.7,-0.51,2.01,0.29,4.1,3.8,-0.83,-1.09,0.059,0
GOOGL,2025-04-17,14:30:00,2:30-4PM,short,149.82,-0.88,1.17,0.68,10.5,7.3,-1.71,-2.1,-0.273,0
GOOGL,2025-04-17,14:37:00,2:30-4PM,short,149.03,-0.36,0.53,0.34,2.0,2.1,-1.85,-2.06,-0.983,0
GOOGL,2025-05-07,14:49:00,2:30-4PM,short,160.8,-4.08,0.88,0.5,11.7,5.8,-1.09,-1.44,-0.221,1
GOOGL,2025-05-07,14:50:00,2:30-4PM,short,159.99,-3.59,0.5,0.5,5.8,5.2,-1.44,-1.73,-0.397,1
GOOGL,2025-05-07,14:51:00,2:30-4PM,short,158.71,-2.82,0.5,0.8,5.2,4.8,-1.73,-2.22,-0.612,1
GOOGL,2025-05-07,14:54:00,2:30-4PM,short,157.68,-2.44,0.66,0.07,3.1,2.8,-2.32,-2.2,-1.361,1
NFLX,2025-01-13,14:33:00,2:30-4PM,long,844.3,0.33,0.5,0.15,2.6,4.1,1.09,1.02,0.449,0
NFLX,2025-01-21,14:31:00,2:30-4PM,long,867.85,0.25,0.67,0.19,3.8,3.6,0.33,0.44,-0.338,0
NFLX,2025-01-22,14:30:00,2:30-4PM,short,971.82,-0.55,2.06,0.64,16.6,5.5,-1.48,-1.77,-0.59,0
NFLX,2025-01-23,14:32:00,2:30-4PM,long,971.63,0.66,0.64,0.64,5.0,6.0,0.79,1.13,0.283,0
NFLX,2025-01-30,14:30:00,2:30-4PM,short,981.94,-0.28,0.43,0.01,17.5,4.2,-0.15,-0.16,-0.009,0
NFLX,2025-01-30,14:37:00,2:30-4PM,long,992.66,0.19,0.59,0.33,5.6,5.7,0.55,0.67,-0.023,0
NFLX,2025-02-04,14:32:00,2:30-4PM,long,992.72,1.34,0.56,0.33,6.5,4.9,0.52,0.67,0.272,0
NFLX,2025-02-20,14:32:00,2:30-4PM,short,1035.16,-1.72,0.48,0.19,2.9,2.9,-0.45,-0.55,-0.026,0
NFLX,2025-02-28,14:35:00,2:30-4PM,long,965.55,0.42,0.57,0.21,2.8,1.9,0.12,0.22,-0.165,0
NFLX,2025-03-03,14:31:00,2:30-4PM,long,993.47,0.03,0.64,0.27,6.1,3.8,0.46,0.71,-0.256,0
NFLX,2025-03-04,14:30:00,2:30-4PM,short,965.79,-0.6,0.48,0.02,17.0,3.5,-0.33,-0.44,-0.296,0
NFLX,2025-03-06,14:30:00,2:30-4PM,short,960.96,-1.53,0.7,0.53,15.0,3.8,-0.59,-0.96,-0.726,0
AMD,2025-01-03,14:33:00,2:30-4PM,long,123.0,0.3,0.46,0.13,3.6,4.7,0.91,0.87,0.369,0
AMD,2025-01-06,14:36:00,2:30-4PM,long,129.67,0.38,0.54,0.23,2.0,1.8,0.58,0.77,-0.158,0
AMD,2025-01-08,14:31:00,2:30-4PM,short,122.38,-0.64,0.99,0.97,6.7,5.3,-0.83,-1.56,-0.101,0
AMD,2025-01-10,14:34:00,2:30-4PM,short,116.78,-1.87,0.65,0.58,2.2,2.1,-0.58,-1.1,-0.569,0
AMD,2025-01-10,14:35:00,2:30-4PM,short,116.43,-1.57,0.58,0.29,2.1,2.0,-1.1,-1.31,-0.64,0
AMD,2025-01-21,14:31:00,2:30-4PM,short,121.96,-0.61,0.42,0.14,4.8,3.7,-0.22,-0.31,0.032,0
AMD,2025-01-30,14:30:00,2:30-4PM,long,120.15,0.24,0.9,0.46,18.5,7.3,0.68,0.9,0.476,0
AMD,2025-02-11,14:30:00,2:30-4PM,long,109.93,1.3,0.72,0.19,17.3,3.9,0.21,0.33,-0.066,0
AMD,2025-02-20,14:34:00,2:30-4PM,long,115.84,0.61,0.68,0.32,3.6,4.1,0.56,0.73,0.102,0
AMD,2025-02-28,14:31:00,2:30-4PM,short,98.8,-0.04,0.53,0.32,4.1,5.6,-0.57,-0.76,-0.117,0
AMD,2025-02-28,14:35:00,2:30-4PM,long,100.18,0.46,0.49,0.42,2.4,2.6,0.26,0.63,-0.278,0
AMD,2025-03-04,14:30:00,2:30-4PM,long,97.42,1.55,0.83,0.64,17.1,4.2,0.26,0.82,0.008,0
AMD,2025-03-04,14:34:00,2:30-4PM,long,97.87,1.08,0.51,0.42,2.6,1.5,0.68,1.08,0.262,0
AMD,2025-03-05,14:30:00,2:30-4PM,short,100.23,-0.64,0.53,0.69,17.7,4.5,-0.1,-0.7,-0.364,0
AMD,2025-03-05,14:31:00,2:30-4PM,short,100.12,-0.53,0.69,0.1,4.5,4.4,-0.7,-0.7,-0.442,0
AMD,2025-03-06,14:37:00,2:30-4PM,long,99.82,0.67,0.43,0.31,2.1,2.5,0.18,0.46,-0.604,0
AMD,2025-04-04,10:16:00,9:30-11AM,short,91.0,-3.08,0.47,0.21,4.5,2.5,-1.86,-1.93,-0.796,1
AMD,2025-04-04,10:23:00,9:30-11AM,short,89.47,-1.64,0.48,0.26,3.4,4.1,-2.35,-2.22,-1.458,0
AMD,2025-06-23,10:01:00,9:30-11AM,long,129.8,0.31,0.79,0.76,13.6,9.3,0.43,0.89,0.029,0
CRM,2025-01-10,14:35:00,2:30-4PM,short,319.79,-1.05,0.69,0.17,3.2,2.9,-0.4,-0.49,-0.655,0
CRM,2025-01-27,14:30:00,2:30-4PM,long,336.2,2.29,0.53,0.6,18.6,6.1,0.7,1.12,0.744,1
CRM,2025-01-27,14:31:00,2:30-4PM,long,338.5,1.6,0.6,0.65,6.1,5.3,1.12,1.46,0.957,0
CRM,2025-01-27,14:32:00,2:30-4PM,long,340.76,0.92,0.65,0.68,5.3,5.3,1.46,1.7,1.292,0
CRM,2025-01-28,14:35:00,2:30-4PM,short,353.04,-0.73,0.46,0.33,2.2,2.4,-0.22,-0.49,0.778,0
CRM,2025-01-28,14:58:00,2:30-4PM,long,359.77,1.82,0.43,0.21,2.7,2.4,1.3,1.45,0.132,0
CRM,2025-01-29,14:31:00,2:30-4PM,short,355.0,-0.79,0.49,0.39,4.6,2.7,-0.61,-0.89,-0.407,0
CRM,2025-01-30,14:30:00,2:30-4PM,long,345.38,0.76,1.08,0.33,18.8,2.4,0.36,0.53,-0.174,0
CRM,2025-02-27,14:32:00,2:30-4PM,long,299.64,0.1,0.4,0.81,2.3,3.3,0.15,0.92,-0.052,0
CRM,2025-03-07,14:30:00,2:30-4PM,long,287.1,0.42,0.46,0.86,18.0,4.2,0.13,0.9,-0.858,0
AVGO,2025-01-07,14:30:00,2:30-4PM,short,236.52,-2.55,0.96,0.19,15.9,2.3,-0.13,-0.29,0.232,1
AVGO,2025-01-07,14:33:00,2:30-4PM,short,233.89,-2.3,0.7,0.51,2.6,2.0,-0.82,-1.27,0.157,1
AVGO,2025-01-07,14:34:00,2:30-4PM,short,233.73,-2.23,0.51,0.09,2.0,1.6,-1.27,-1.27,0.085,1
AVGO,2025-01-10,14:30:00,2:30-4PM,short,224.44,-0.29,0.56,0.64,18.4,5.6,-0.2,-0.7,0.075,0
AVGO,2025-01-13,14:30:00,2:30-4PM,long,224.61,2.07,1.64,0.56,17.3,3.2,1.27,1.7,0.891,1
AVGO,2025-01-13,14:31:00,2:30-4PM,long,225.05,1.87,0.56,0.19,3.2,3.1,1.7,1.7,1.07,0
AVGO,2025-01-27,14:32:00,2:30-4PM,long,216.84,0.73,1.47,0.5,2.9,2.3,0.69,1.12,-0.95,0
AVGO,2025-01-28,14:30:00,2:30-4PM,short,205.52,-3.22,0.46,0.81,17.3,3.3,-0.43,-1.16,-0.199,1
AVGO,2025-01-28,14:31:00,2:30-4PM,short,204.6,-2.79,0.81,0.44,3.3,3.5,-1.16,-1.45,-0.285,1
AVGO,2025-01-28,14:32:00,2:30-4PM,short,203.64,-2.33,0.44,0.45,3.5,1.9,-1.45,-1.81,-0.436,1
AVGO,2025-01-28,14:36:00,2:30-4PM,short,199.02,-0.02,0.57,0.74,2.0,2.4,-2.82,-3.29,-1.061,0
AVGO,2025-01-30,14:31:00,2:30-4PM,long,219.24,1.24,0.69,0.43,4.9,3.6,0.49,0.81,0.276,0
AVGO,2025-01-30,14:32:00,2:30-4PM,long,220.07,0.86,0.43,0.41,3.6,5.6,0.81,0.96,0.363,0
AVGO,2025-01-31,14:35:00,2:30-4PM,short,217.48,-0.54,0.46,0.52,2.3,1.6,-0.54,-1.01,0.36,0
