sym,time,open,high,low,close,volume,trade_count,vwap
SPY,2026-04-30 08:17:00-04:00,715.3,715.3,715.3,715.3,40.0,1.0,715.3
SPY,2026-04-30 08:19:00-04:00,715.36,715.39,715.36,715.39,140.0,2.0,715.368571
SPY,2026-04-30 08:22:00-04:00,715.66,715.66,715.66,715.66,50.0,1.0,715.66
SPY,2026-04-30 08:23:00-04:00,715.37,715.37,715.37,715.37,80.0,1.0,715.37
SPY,2026-04-30 08:30:00-04:00,715.62,715.62,715.62,715.62,100.0,1.0,715.62
SPY,2026-04-30 08:32:00-04:00,714.96,714.96,714.96,714.96,41.0,2.0,714.96
SPY,2026-04-30 08:34:00-04:00,714.75,714.78,714.75,714.78,140.0,2.0,714.771429
SPY,2026-04-30 08:44:00-04:00,714.59,714.6,714.59,714.6,160.0,2.0,714.595
SPY,2026-04-30 08:53:00-04:00,715.11,715.11,715.11,715.11,40.0,1.0,715.11
SPY,2026-05-01 08:01:00-04:00,720.66,720.69,720.66,720.69,200.0,2.0,720.675
SPY,2026-05-01 08:12:00-04:00,720.78,720.78,720.78,720.78,78.0,2.0,720.78
SPY,2026-05-01 08:14:00-04:00,721.56,721.56,721.56,721.56,40.0,1.0,721.56
SPY,2026-05-01 08:15:00-04:00,721.51,721.51,721.51,721.51,100.0,1.0,721.51
SPY,2026-05-01 08:22:00-04:00,721.41,721.41,721.41,721.41,200.0,2.0,721.41
SPY,2026-05-01 08:23:00-04:00,721.59,721.59,721.59,721.59,100.0,2.0,721.59
SPY,2026-05-01 08:25:00-04:00,721.54,721.54,721.54,721.54,40.0,1.0,721.54
SPY,2026-05-01 08:36:00-04:00,721.21,721.21,721.21,721.21,100.0,1.0,721.21
SPY,2026-05-01 08:42:00-04:00,720.71,720.71,720.71,720.71,110.0,2.0,720.71
SPY,2026-05-01 09:26:00-04:00,721.0,721.0,721.0,721.0,100.0,1.0,721.0
SPY,2026-05-04 08:03:00-04:00,719.73,719.73,719.73,719.73,40.0,1.0,719.73
SPY,2026-05-04 08:07:00-04:00,719.94,719.94,719.94,719.94,40.0,1.0,719.94
SPY,2026-05-04 08:16:00-04:00,720.18,720.18,720.18,720.18,40.0,1.0,720.18
SPY,2026-05-04 08:17:00-04:00,720.08,720.11,720.08,720.11,140.0,2.0,720.088571
SPY,2026-05-04 08:19:00-04:00,720.23,720.23,720.23,720.23,120.0,1.0,720.23
SPY,2026-05-04 08:21:00-04:00,720.41,720.41,720.41,720.41,100.0,3.0,720.41
SPY,2026-05-04 08:59:00-04:00,720.07,720.07,720.07,720.07,70.0,1.0,720.07
SPY,2026-05-04 09:06:00-04:00,719.93,719.94,719.93,719.94,243.0,3.0,719.934527
SPY,2026-05-05 08:06:00-04:00,721.2,721.22,721.2,721.22,200.0,2.0,721.21
SPY,2026-05-05 08:12:00-04:00,721.57,721.57,721.57,721.57,60.0,1.0,721.57
SPY,2026-05-05 08:26:00-04:00,721.71,721.73,721.71,721.73,200.0,2.0,721.72
SPY,2026-05-05 08:27:00-04:00,721.66,721.66,721.66,721.66,70.0,1.0,721.66
SPY,2026-05-05 08:28:00-04:00,721.71,721.71,721.71,721.71,100.0,1.0,721.71
SPY,2026-05-05 08:36:00-04:00,721.47,721.47,721.47,721.47,100.0,1.0,721.47
SPY,2026-05-06 08:03:00-04:00,729.24,729.24,729.24,729.24,40.0,1.0,729.24
SPY,2026-05-06 08:04:00-04:00,729.21,729.3,729.21,729.3,120.0,2.0,729.24
SPY,2026-05-06 08:06:00-04:00,729.18,729.18,729.18,729.18,105.0,2.0,729.18
SPY,2026-05-06 08:10:00-04:00,729.27,729.27,729.27,729.27,110.0,2.0,729.27
