date,sym,setup,side,gap_pct,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,open_pos
2026-03-03,QQQ,A,short,-1.927,593.85,0.333417529679215,0.03536246526899431,0.333417529679215,0.15660520333416686,0.333417529679215,0.7577671129072998,True,False,False,
2026-03-04,QQQ,A,long,0.439,606.87,0.16477993639494457,0.29973470430239757,0.710201525862202,0.29973470430239757,0.710201525862202,0.29973470430239757,True,True,False,
2026-03-05,QQQ,A,short,-0.459,606.61,0.08901930400091716,0.4714726100789657,0.08901930400091716,0.5720314534874181,0.08901930400091716,0.5720314534874181,False,False,False,
2026-03-10,QQQ,A,short,-0.099,605.93,0.08416813823378788,0.44064495898867406,0.08416813823378788,0.7294571980261867,0.08416813823378788,1.0677801066129797,False,False,False,
2026-03-11,QQQ,A,long,0.174,612.27,0.0261322619105898,0.46221438254363717,0.0261322619105898,0.7660019272543063,0.0261322619105898,0.8460319793555049,False,False,False,
2026-03-12,QQQ,A,short,-0.782,599.68,0.07504002134470582,0.386039220917832,0.07504002134470582,0.39521077908217794,0.3101654215581477,0.39521077908217794,True,False,False,
2026-03-18,QQQ,A,short,-0.354,598.98,0.045076630271458445,0.19366255968479218,0.045076630271458445,0.19366255968479218,0.045076630271458445,0.4290627399913079,False,False,False,
2026-03-19,QQQ,A,short,-0.923,589.445,0.10433543417961116,0.20951912392163813,0.10433543417961116,0.3995283699072694,0.10433543417961116,0.3995283699072694,False,False,False,
2026-03-20,QQQ,A,short,-0.383,587.06,0.294688788198805,0.04769529519982394,0.31087112049874494,0.04769529519982394,0.35601131059856206,0.04769529519982394,True,False,False,
2026-03-24,QQQ,A,short,-0.499,583.77,0.1438922863456553,0.2877845726913106,0.1438922863456553,0.2877845726913106,0.1438922863456553,0.5447350840228281,False,False,False,
2026-03-25,QQQ,A,long,0.871,590.18,0.14910705208580358,0.08133111931951346,0.17282862855401668,0.08133111931951346,0.17282862855401668,0.7607848453014158,False,False,False,
2026-03-26,QQQ,A,short,-0.93,580.55,0.15502540694168931,0.24804065110671855,0.15502540694168931,0.24804065110671855,0.15502540694168931,0.24804065110671855,False,False,False,
2026-03-27,QQQ,A,short,-0.535,567.25,0.123402379903049,0.20802115469368884,0.1410312913177531,0.2150727192595905,0.28029969149405587,0.2150727192595905,True,False,False,
2026-03-31,QQQ,A,long,1.129,568.7,0.08967821346931437,0.2584842623527391,0.08967821346931437,0.5064181466502542,0.08967821346931437,0.7895199577984893,False,False,False,
2026-04-01,QQQ,A,long,0.735,584.2,0.05648750427934393,0.28757274905855246,0.23450872988702576,0.28757274905855246,0.34577199589181473,0.28757274905855246,True,False,False,
