sym,time,open,high,low,close,volume,trade_count,vwap
QQQ,2025-12-12 08:56:00-05:00,623.34,623.34,623.34,623.34,120.0,2.0,623.34
QQQ,2025-12-12 09:10:00-05:00,623.44,623.44,623.44,623.44,40.0,1.0,623.44
QQQ,2025-12-12 09:11:00-05:00,623.39,623.39,623.39,623.39,120.0,2.0,623.39
QQQ,2025-12-12 09:15:00-05:00,623.1,623.1,623.09,623.09,350.0,2.0,623.091429
QQQ,2025-12-12 09:18:00-05:00,622.85,622.86,622.8,622.8,190.0,4.0,622.825789
QQQ,2025-12-12 09:22:00-05:00,623.05,623.05,623.05,623.05,50.0,1.0,623.05
QQQ,2025-12-12 09:23:00-05:00,623.1,623.1,623.1,623.1,50.0,1.0,623.1
QQQ,2025-12-12 09:29:00-05:00,622.55,622.55,622.55,622.55,300.0,1.0,622.55
QQQ,2025-12-15 08:32:00-05:00,617.08,617.08,617.08,617.08,50.0,1.0,617.08
QQQ,2025-12-15 08:47:00-05:00,617.64,617.64,617.62,617.62,200.0,5.0,617.63
QQQ,2025-12-15 08:53:00-05:00,617.63,617.63,617.63,617.63,40.0,1.0,617.63
QQQ,2025-12-15 09:22:00-05:00,617.84,617.84,617.84,617.84,40.0,1.0,617.84
QQQ,2025-12-16 08:16:00-05:00,609.36,609.36,609.36,609.36,50.0,1.0,609.36
QQQ,2025-12-16 08:18:00-05:00,609.13,609.13,609.13,609.13,50.0,1.0,609.13
QQQ,2025-12-16 08:19:00-05:00,609.21,609.21,609.21,609.21,47.0,1.0,609.21
QQQ,2025-12-16 08:20:00-05:00,609.34,609.34,609.34,609.34,100.0,2.0,609.34
QQQ,2025-12-16 08:24:00-05:00,609.87,609.87,609.87,609.87,40.0,1.0,609.87
QQQ,2025-12-16 08:31:00-05:00,611.62,611.62,611.55,611.55,100.0,3.0,611.581111
QQQ,2025-12-16 08:32:00-05:00,611.63,611.63,611.63,611.63,120.0,3.0,611.63
QQQ,2025-12-16 08:33:00-05:00,611.08,611.08,611.08,611.08,40.0,1.0,611.08
QQQ,2025-12-16 08:39:00-05:00,609.52,609.52,609.52,609.52,280.0,3.0,609.52
QQQ,2025-12-16 08:44:00-05:00,609.38,609.38,609.38,609.38,60.0,1.0,609.38
QQQ,2025-12-16 08:46:00-05:00,609.75,609.75,609.75,609.75,100.0,1.0,609.75
QQQ,2025-12-16 08:53:00-05:00,608.56,608.56,608.48,608.48,400.0,3.0,608.53
QQQ,2025-12-16 08:57:00-05:00,608.81,608.82,608.81,608.82,320.0,4.0,608.811379
QQQ,2025-12-16 09:01:00-05:00,608.29,608.29,608.16,608.16,400.0,3.0,608.23
QQQ,2025-12-16 09:03:00-05:00,608.38,608.38,608.38,608.38,200.0,1.0,608.38
QQQ,2025-12-16 09:18:00-05:00,609.37,609.37,609.37,609.37,250.0,3.0,609.37
QQQ,2025-12-17 08:14:00-05:00,614.4,614.47,613.71,613.74,1539.0,22.0,614.040144
QQQ,2025-12-17 08:15:00-05:00,613.76,614.1,613.76,614.1,430.0,5.0,613.93
QQQ,2025-12-17 08:16:00-05:00,614.15,614.16,613.54,613.54,649.0,7.0,613.941387
QQQ,2025-12-17 08:17:00-05:00,613.53,613.53,612.98,613.03,485.0,5.0,613.156667
QQQ,2025-12-17 08:18:00-05:00,612.83,613.22,612.83,613.22,550.0,4.0,613.007273
QQQ,2025-12-17 08:19:00-05:00,613.58,613.58,613.22,613.22,454.0,8.0,613.342468
QQQ,2025-12-17 08:20:00-05:00,612.73,612.79,612.73,612.79,400.0,3.0,612.758
QQQ,2025-12-17 08:21:00-05:00,612.98,612.98,612.98,612.98,200.0,1.0,612.98
QQQ,2025-12-17 08:22:00-05:00,612.87,612.9,612.86,612.9,400.0,3.0,612.8825
QQQ,2025-12-17 08:23:00-05:00,613.09,613.1,612.87,612.87,977.0,6.0,612.982497
QQQ,2025-12-17 08:24:00-05:00,613.1,613.1,613.1,613.1,40.0,1.0,613.1
QQQ,2025-12-17 08:25:00-05:00,613.24,613.24,613.24,613.24,40.0,1.0,613.24
QQQ,2025-12-17 08:26:00-05:00,613.3,613.3,613.3,613.3,40.0,1.0,613.3
