symbol,date,time,entry,mfe,LONG_SCORE,bar1_rvol,bar1_body_pct,vwap_slope,is_runner
ASTS,2025-03-06,14:30:00,33.92,2.37,3,18.7,3.43,0.487,1
RDW,2025-01-16,14:35:00,15.3,0.62,3,9.1,1.74,1.024,0
RDW,2025-01-21,14:34:00,17.4,8.68,4,13.0,1.93,2.102,1
RDW,2025-01-22,14:33:00,22.02,-0.05,3,3.5,2.11,0.462,0
RDW,2025-01-23,14:30:00,22.86,1.57,4,18.4,4.7,2.765,0
RDW,2025-01-30,14:43:00,24.16,0.31,3,2.1,1.38,1.667,0
RDW,2025-01-31,14:30:00,24.16,6.39,3,4.7,2.05,0.885,1
RDW,2025-02-18,14:30:00,25.54,0.23,3,15.4,0.86,0.675,0
RDW,2025-02-19,14:35:00,25.56,0.18,3,5.8,1.21,1.247,0
RDW,2025-05-15,15:15:00,11.99,2.59,3,7.5,1.11,0.401,1
RDW,2025-05-15,15:16:00,12.07,1.91,3,2.9,0.93,0.523,0
SPIR,2025-01-22,15:02:00,19.04,2.42,3,3.1,1.16,0.364,1
TSLA,2025-01-27,14:30:00,400.11,1.35,3,15.5,0.41,0.303,0
TSLA,2025-01-31,14:30:00,406.0,2.18,3,15.3,0.43,0.288,1
RIVN,2025-01-07,14:31:00,16.04,1.9,3,9.8,0.96,0.311,0
RIVN,2025-02-10,14:31:00,12.84,0.16,3,8.1,0.87,0.405,0
RIVN,2025-02-14,14:30:00,13.76,1.21,4,16.8,1.26,0.728,0
RIVN,2025-03-03,14:30:00,12.26,0.73,4,18.7,1.33,0.341,0
LCID,2025-01-23,14:31:00,2.73,0.36,3,5.9,1.12,0.765,0
LCID,2025-02-04,14:30:00,2.86,1.92,3,18.2,1.43,0.653,0
NIO,2025-01-27,14:30:00,4.39,0.57,3,17.6,1.04,0.237,0
NIO,2025-02-20,14:30:00,4.47,1.12,3,16.5,0.48,0.277,0
NIO,2025-02-26,14:43:00,4.56,3.51,3,5.1,1.01,0.782,1
XPEV,2025-01-16,14:34:00,13.9,0.6,4,16.3,0.95,0.308,0
LI,2025-02-21,14:31:00,28.14,0.76,3,9.7,1.34,-0.217,0
MRNA,2025-01-22,14:46:00,38.4,7.01,3,2.9,1.2,0.746,1
