label,n,wr,avg_pnl,total_pnl,pf,tpd
QQQ | 14:00-15:30,77,24.675324675324674,0.05922082722894729,4.560003696628941,2.3255827272556826,1.711111111111111
QQQ | 09:45-11:00 + 13:30-15:00,167,26.34730538922156,-0.0034841606216783677,-0.5818548238202874,0.9696664166182751,2.0365853658536586
QQQ | 10:00-12:00 + 13:30-15:00,201,25.870646766169152,-0.0034506014072938113,-0.6935708828660561,0.9695716498456736,2.2333333333333334
QQQ | 09:30-11:30 + 13:30-15:00,211,26.540284360189574,-0.004342418551600588,-0.9162503143877241,0.9628541173376087,2.2934782608695654
QQQ | 10:00-11:00 + 14:00-15:30,156,23.717948717948715,-0.0038958167664799614,-0.607747415570874,0.9627326177479074,2.0
SPY | 10:00-11:30 + 14:00-15:30,191,21.465968586387437,-0.0028465413700877536,-0.5436894016867609,0.9607264733027983,2.053763440860215
QQQ | 09:30-11:00 + 13:30-15:00,187,26.737967914438503,-0.005113072803554238,-0.9561446142646424,0.9568452204569222,2.1744186046511627
SPY | 09:30-11:00 + 13:30-15:30,215,23.25581395348837,-0.003866032988301198,-0.8311970924847576,0.9513383786186774,2.216494845360825
SPY | 09:30-11:00 + 13:30-15:00,193,24.352331606217618,-0.004298365041036289,-0.8295844529200038,0.9487263829179742,2.0531914893617023
QQQ | 10:00-11:30 + 13:30-15:00,179,24.581005586592177,-0.00940804459832353,-1.684039983099912,0.9173843546982697,2.057471264367816
SPY | 10:00-11:30,115,25.217391304347824,-0.0076009517978091155,-0.8741094567480483,0.9153330679694621,1.6428571428571428
SPY | 09:30-11:30 + 14:00-15:30,217,22.58064516129032,-0.007297429710839137,-1.5835422472520928,0.9089054029023663,2.2604166666666665
QQQ | 10:00-11:00 + 13:30-15:00,155,24.516129032258064,-0.011122156664366655,-1.7239342829768316,0.9035503690448861,1.9871794871794872
SPY | 09:30-10:00 + 14:00-15:30,102,19.607843137254903,-0.0069552234363141575,-0.7094327905040441,0.8995051919180639,1.6451612903225807
QQQ | 09:30-10:30,74,32.432432432432435,-0.01805711405772175,-1.3362264402714095,0.8846714137225555,1.4509803921568627
SPY | 10:00-11:00 + 14:00-15:30,166,20.481927710843372,-0.009842650017806653,-1.6338799029559044,0.8716901101238271,2.0
SPY | 09:30-11:30,141,26.24113475177305,-0.013574200725626814,-1.9139623023133807,0.8619465899857339,1.855263157894737
SPY | 09:45-11:00 + 14:00-15:30,187,21.92513368983957,-0.012065805584939597,-2.256305644383705,0.8549583937929788,2.101123595505618
QQQ | 09:30-12:00,157,28.02547770700637,-0.02146240791959777,-3.3695980433768495,0.847319723804145,1.9625
SPY | 09:30-10:30 + 14:00-15:30,151,21.192052980132452,-0.013506593581956524,-2.039495630875435,0.8360462054932093,1.7976190476190477
SPY | 09:30-11:00 + 14:00-15:30,192,21.875,-0.013925691398548106,-2.6737327485212363,0.835702112078964,2.10989010989011
SPY | 10:00-11:00,90,24.444444444444443,-0.02182555508907991,-1.9642999580171918,0.7868202973461774,1.6071428571428572
SPY | 09:45-11:00,111,26.126126126126124,-0.02330383513013507,-2.586725699444993,0.7850967468375568,1.734375
QQQ | 09:30-11:30,135,26.666666666666668,-0.03229679365637562,-4.360067143610708,0.7782275395535935,1.8243243243243243
QQQ | 10:00-12:00,125,25.6,-0.03309910169671231,-4.137387712089039,0.7673978284232995,1.7857142857142858
SPY | 09:30-11:00,116,25.862068965517242,-0.025897868996401074,-3.0041528035825245,0.7644563385414854,1.7313432835820894
QQQ | 09:30-11:00,111,27.027027027027028,-0.039639292283672294,-4.399961443487625,0.7434423898486552,1.6818181818181819
SPY | 09:30-10:30,75,26.666666666666668,-0.031598875812489643,-2.369915685936723,0.7343110327046058,1.3888888888888888
QQQ | 09:45-11:00,91,26.373626373626376,-0.04423815003344254,-4.025671653043271,0.7160158899051754,1.5423728813559323
SPY | 09:30-10:00,26,30.76923076923077,-0.03999434021405123,-1.039852845565332,0.706242252464293,1.0833333333333333
QQQ | 10:00-11:30,103,23.300970873786408,-0.04978501759536793,-5.1278568123228965,0.6665428123579126,1.6349206349206349
QQQ | 10:00-11:00,79,22.78481012658228,-0.06541457104050398,-5.167751112199815,0.5983953672050011,1.5192307692307692
